Mode,Daily_Travel_cap,Mode_Share,Ownership,Avg_trip_dist
2_3_Wheel,0.04013512817034424,0.002998721641413844,,
Bike,1.2012974559632033,0.08975570387324752,,
Car,8.471107658746734,0.6329241993501403,0.7274911600019693,
Foot,0.9357867500741247,0.06991790252383134,,
Transit,2.735752281379721,0.20440347261136707,,
All,13.384079274334125,,,4.238214877274797
Commute,,,,8.243409677878914
