geocode,n,m,k_avg,intersection_density_km,clean_intersection_density_km,node_density_km,street_density_km,streets_per_node_avg,street_length_avg,int_node_dens
75101,531.0,943.0,3.5517890772128062,99.57442103681714,86.31143462822469,108.3483966609629,13662.021106692137,3.120527306967985,84.75393924050628,0.0003848306517939285
75102,530.0,938.0,3.539622641509434,97.53396158934137,84.67906707024409,108.14435071621534,13984.411454887917,3.09811320754717,86.8638795944233,0.00038279019234645277
75103,544.0,979.0,3.599264705882353,101.6148804842929,89.37212379943833,111.0009939426814,14822.240427697054,3.0863970588235294,90.46286550435869,0.000399521959815754
75104,535.0,931.0,3.480373831775701,100.59465076055503,90.80044541267137,109.16458043995321,14054.264339566871,3.091588785046729,86.74803526448369,0.0003799335491199867
75105,532.0,1027.0,3.8609022556390977,104.87961560025411,91.4125832469141,108.55244260571048,13294.722898654702,3.2011278195488724,79.65224449877748,0.0004191103705115213
75106,562.0,1052.0,3.7437722419928825,112.22526961116685,96.30968592085593,114.67382094813777,15421.948803215468,3.2775800711743774,84.54224384787466,0.0004293126677489001
75107,506.0,1001.0,3.9565217391304346,96.5137318656035,82.43456167802074,103.24724804227351,14067.480395408138,3.1600790513833994,89.76915364583317,0.00040849998138464737
75108,541.0,1083.0,4.003696857670979,107.94030477146777,90.39235352317621,110.38885610843867,15971.270685275767,3.3160813308687613,91.4403200934579,0.0004419635163232498
75109,653.0,1147.0,3.5130168453292496,124.672072240769,108.14435071621534,133.24200192016718,17041.262317834917,3.1776416539050536,83.43335664335663,0.0004680813972509396
75110,535.0,934.0,3.491588785046729,102.22701831853563,85.90334273872953,109.16458043995321,14996.74194796677,3.114018691588785,93.03403544303785,0.00038115782478847214
75111,575.0,1086.0,3.777391304347826,108.55244260571048,93.04495080489471,117.32641822985626,15744.000027051085,3.123478260869565,89.40798725376592,0.00044318779199173527
75112,428.0,800.0,3.7383177570093458,83.45479140175863,62.84615098225344,87.33166435196257,12798.762295881013,3.119158878504673,98.62406289308174,0.0003264735115961218
75113,478.0,965.0,4.03765690376569,93.861134583885,75.49699955660316,97.53396158934137,13833.906145812389,3.1631799163179917,93.1291153846154,0.0003938086733628218
75114,518.0,928.0,3.583011583011583,99.77846698156472,81.41433195428287,105.69579937924442,14839.29826058607,3.146718146718147,93.35722593068044,0.0003787092734515012
75115,549.0,1058.0,3.854280510018215,107.12412099247746,87.127618407215,112.02122366641929,15114.411979567592,3.2058287795992713,87.55741371158388,0.00043176121908587104
75116,514.0,965.0,3.754863813229572,98.75823725782683,80.39410223054499,104.87961560025411,14651.640673982782,3.157587548638132,91.94058386683746,0.0003938086733628219
75117,636.0,1258.0,3.9559748427672954,123.85588846177869,98.1460994235841,129.7732208594584,17363.469636818263,3.199685534591195,87.54720370370373,0.0005133795969849014
75118,574.0,1053.0,3.6689895470383274,106.92007504772988,89.78021568893348,117.12237228510868,16373.193653723363,3.087108013937282,93.9609847775175,0.00042972075963839524
75119,399.0,767.0,3.844611528822055,78.96578061731195,62.84615098225344,81.41433195428287,12923.188288712425,3.1979949874686717,103.65744353518826,0.00031300647924278175
75120,493.0,896.0,3.634888438133874,93.861134583885,74.06867794337013,100.59465076055503,14136.870707930353,3.073022312373225,96.35991933240606,0.00036565033298765635
91027,398.0,911.0,4.577889447236181,76.9253211698362,56.724772639826156,81.2102860095353,10845.635737032882,3.0854271356783918,89.18273489932884,0.0003717717113300837
91326,517.0,1218.0,4.711798839458414,97.94205347883653,79.16982656205953,105.49175343449684,14363.423940613324,3.0541586073500966,93.11254894179898,0.0004970559214050954
91432,428.0,1014.0,4.738317757009346,78.76173467256437,60.397599645282526,87.33166435196257,11612.114740066458,2.9789719626168223,92.68617915309444,0.0004138051759480844
91479,125.0,198.0,3.168,24.281467424961555,14.69130802182548,25.505743093447013,4058.93376058875,3.008,109.29809890109891,8.080219412004014e-05
91589,595.0,1500.0,5.042016806722689,116.30618850611837,87.127618407215,121.40733712480778,16352.700095216722,3.13781512605042,88.94810765815768,0.0006121378342427283
91687,407.0,930.0,4.57002457002457,74.2727238881177,55.296451026593125,83.04669951226347,10777.665380240183,2.9164619164619165,92.18114659685861,0.00037952545723049156
92002,535.0,1128.0,4.216822429906542,93.04495080489471,74.47676983286527,109.16458043995321,13170.636846367246,2.824299065420561,88.54239780521259,0.0004603276513505317
92004,766.0,1461.0,3.814621409921671,143.85239104704115,109.98076421894352,156.29919367664328,18728.37234210215,3.019582245430809,81.87785459411249,0.0005962222505524173
92007,360.0,758.0,4.211111111111111,63.66233476124374,49.78721051840857,73.4565401091274,9920.589161554923,2.852777777777778,100.03989506172853,0.00030933365223732536
92009,734.0,1416.0,3.8583106267029974,132.62986408592448,108.3483966609629,149.76972344472085,16457.63255871664,2.8814713896457764,79.38632283464561,0.0005778581155251355
