geocode,n,m,k_avg,intersection_density_km,clean_intersection_density_km,node_density_km,street_density_km,streets_per_node_avg,street_length_avg,int_node_dens
04158,29.0,52.0,3.586206896551724,5.305194563436815,2.856643226465977,5.917332397679524,792.6456509420336,2.9310344827586206,94.74739024390243,2.1220778253747258e-05
04289,275.0,670.0,4.872727272727273,43.665832175979936,38.97277544678583,56.11263480558169,7625.026372806884,2.658181818181818,104.96956179775295,0.0002734215659617435
04299,232.0,608.0,5.241379310344827,41.82941867325181,36.72827005456256,47.33865918143619,7795.033373051658,3.0086206896551726,113.69745238095244,0.0002481198688130448
04328,224.0,558.0,4.982142857142857,38.15659166779555,31.423075491125747,45.706291623455634,6593.88998523038,2.7901785714285716,104.9211428571429,0.00022771527433828787
04329,302.0,728.0,4.821192052980132,49.37911862891189,39.1768213915334,61.621875313766076,7912.860520029919,2.718543046357616,95.98959900990101,0.0002970908955524616
04316,173.0,405.0,4.682080924855492,25.097651203951084,20.40459447475698,35.29994844132957,5231.90187222132,2.4739884393063583,125.07708780487803,0.00016527721524553155
04178,169.0,436.0,5.159763313609467,27.75024848566949,26.321926872436503,34.48376466233929,5288.61174950718,2.7514792899408285,117.27932126696834,0.00017792806381988085
04105,294.0,685.0,4.659863945578231,54.684313192348704,42.03346461799938,59.98950775578552,8531.6247463283,3.119047619047619,96.34164285714282,0.0002795429443041706
04315,417.0,1103.0,5.290167865707434,78.3536427830668,65.09065637447476,85.0871589597366,12262.969680186809,3.07673860911271,96.77787600644109,0.00045012535411313894
04207,217.0,528.0,4.8663594470046085,32.85139710435873,30.19879982264033,44.277970010222646,7670.787144697576,2.6036866359447006,140.2739962686567,0.00021547251765343368
04279,162.0,416.0,5.135802469135802,28.56643226465977,25.913834982941363,33.0554430491063,5598.5257084113555,2.932098765432099,123.03844843049325,0.00016976622602997806
04177,283.0,743.0,5.250883392226148,53.460037523863285,45.094153789212925,57.74500236356225,8850.113736060493,3.0636042402826855,104.01233093525174,0.00030321227389488867
04155,327.0,936.0,5.724770642201835,63.050196926999064,55.90858886083412,66.72302393245532,10672.942880017063,3.2018348623853212,103.98919880715711,0.0003819740085674506
04275,286.0,714.0,4.993006993006993,53.460037523863285,41.42132678375667,58.35714019780496,10892.655472402346,3.2797202797202796,118.89386859688196,0.00029137760909952966
04347,135.0,306.0,4.533333333333333,23.261237701222957,19.38436475101913,27.54620254092192,5661.039060457729,2.903703703703704,154.99409497206713,0.0001248761181855127
04277,264.0,666.0,5.045454545454546,47.13461323668862,38.56468355729069,53.868129413358425,9065.21754269178,3.053030303030303,117.53263227513237,0.00027178919840376296
04349,16.0,32.0,4.0,2.2445053922232674,2.2445053922232674,3.2647351159611167,883.9023430871579,2.375,254.8164117647059,1.3058940463844465e-05
04249,153.0,381.0,4.980392156862745,24.077421480213236,22.036962032737538,31.219029546378177,4914.417400675121,2.627450980392157,123.51208717948721,0.00015548300989764817
04319,319.0,757.0,4.746081504702194,48.76698079466918,41.2172808390091,65.09065637447476,6987.0175532296225,2.5768025078369905,84.96866997518613,0.00030892556034782065
04317,388.0,989.0,5.097938144329897,72.84440227488241,59.98950775578552,79.16982656205708,11429.095321832876,3.0489690721649483,99.31269858156027,0.000403602878710693
04179,247.0,627.0,5.076923076923077,45.094153789212925,37.952545723047976,50.39934835264974,8015.891683416697,2.951417004048583,112.88718103448272,0.0002558736147134525
04103,390.0,946.0,4.851282051282051,74.68081577761053,60.8056915347758,79.57791845155222,12823.141705359058,3.1564102564102563,108.53952331606217,0.00038605492746240195
04357,120.0,317.0,5.283333333333333,20.40459447475698,18.772226916776418,24.485513369708375,5596.490554158443,2.841666666666667,170.35776397515522,0.00012936512896995924
04288,102.0,234.0,4.588235294117647,14.691308021825025,14.079170187582315,20.81268636425212,3694.840094113459,2.5,153.4566355932204,9.549350214186264e-05
04159,224.0,531.0,4.741071428571429,35.70804033082471,31.219029546378177,45.706291623455634,6749.4960348327095,2.6919642857142856,115.25545296167247,0.0002166967933219191
04129,331.0,806.0,4.8700906344410875,59.98950775578552,48.15484296042647,67.5392077114456,10529.628558126318,3.027190332326284,108.6404294736842,0.00032892206293308246
04356,117.0,221.0,3.7777777777777777,21.832916087989968,15.915583690310443,23.873375535465666,5496.170345193576,2.9572649572649574,167.30400621118005,9.018830757842585e-05
04107,408.0,971.0,4.759803921568627,77.33341305932895,61.621875313766076,83.25074545700848,12660.708074399528,3.2279411764705883,98.3333122028526,0.0003962572246997805
04157,283.0,787.0,5.561837455830389,51.41957807638759,46.52247540244591,57.74500236356225,10031.254295872228,3.088339222614841,116.77373634204278,0.0003211683170326749
04209,293.0,654.0,4.464163822525597,44.073924065475076,36.52422410981499,59.78546181103795,9114.509533702283,2.645051194539249,120.72677837837844,0.0002668920957298213
04109,469.0,1064.0,4.537313432835821,88.14784813095015,67.74325365619316,95.69754808661023,12999.63246954413,3.1257995735607675,90.11222065063644,0.00043420977042282847
04318,266.0,684.0,5.142857142857143,47.54270512618376,41.42132678375667,54.276221302853564,7889.966973121126,2.9097744360902253,104.22533692722368,0.00027913485241467547
04229,277.0,755.0,5.451263537906137,52.439807800125436,45.502245678708064,56.52072669507683,9329.251770919462,3.108303249097473,109.90704086538464,0.00030810937656883036
04205,288.0,679.0,4.715277777777778,42.44155650749452,35.91208627557228,58.7652320873001,7547.609300910199,2.5208333333333335,104.49083050847457,0.00027709439296719977
04416,179.0,423.0,4.726256983240224,30.810937656883038,26.117880927688933,36.52422410981499,5422.903771859008,2.787709497206704,113.09308936170201,0.00017262286925644402
