geocode,n,m,k_avg,intersection_density_km,clean_intersection_density_km,street_length_total,street_density_km,streets_per_node_avg,street_length_avg,int_node_dens,bike_lane_share
30732,118.0,268.0,4.5423728813559325,20.20054853000941,17.75199719303857,19787.452999999998,4037.5495415331334,2.7457627118644066,128.48995454545454,0.0001093686263846974,0.0
30734,104.0,210.0,4.038461538461538,14.283216132329885,12.650848574349327,13591.237000000001,2773.2367939531264,2.375,118.1846695652174,8.56992967939793e-05,
30735,146.0,334.0,4.575342465753424,24.281467424960805,22.036962032737538,26344.160000000007,5375.419015781139,2.732876712328767,141.63526881720435,0.0001363026910913766,0.0196
30736,135.0,288.0,4.266666666666667,21.42482419849483,19.79245664051427,21009.503,4286.903888311902,2.6592592592592594,124.31658579881658,0.00011753046417460019,
30740,69.0,127.0,3.681159420289855,11.834664795359048,10.8144350716212,15307.379999999997,3123.4088137100543,2.782608695652174,164.5954838709677,5.182766996588272e-05,0.0147
30741,100.0,226.0,4.52,14.487262077077455,13.671078298087176,13923.791,2841.093089062709,2.5,117.99822881355932,9.222876702590153e-05,
30821,53.0,133.0,5.018867924528302,9.59015940313578,9.18206751364064,11604.861999999994,2367.925030455171,3.056603773584906,170.65973529411755,5.427622130285356e-05,0.0373
31201,149.0,378.0,5.073825503355705,24.893605259203515,21.42482419849483,26109.415999999997,5327.520454527314,2.6912751677852347,135.2819481865285,0.00015425873422916274,0.0546
31206,86.0,210.0,4.883720930232558,14.895353966572594,12.854894519096897,13986.004999999997,2853.787603469234,2.7906976744186047,122.68425438596489,8.56992967939793e-05,0.0268
31214,158.0,338.0,4.2784810126582276,24.689559314455945,21.6288701432424,23140.152999999995,4721.65438048831,2.6139240506329116,124.40942473118277,0.00013793505864935718,0.0446
31235,150.0,348.0,4.64,28.15834037516463,23.873375535465666,28601.615000000005,5836.043553981264,2.9066666666666667,146.67494871794875,0.00014201597754430858,0.2091
31701,49.0,109.0,4.448979591836735,7.753745900407652,6.937562121417373,7982.292999999999,1628.7545164369128,2.6122448979591835,135.29310169491524,4.448201595497021e-05,
