geocode,n,m,k_avg,intersection_density_km,clean_intersection_density_km,street_length_total,street_density_km,streets_per_node_avg,street_length_avg,int_node_dens,bike_lane_share
34246,429.0,1034.0,4.82051282051282,71.41608066164942,63.050196926999064,58119.003,11858.946874921841,2.7086247086247086,105.4791343012704,0.0004219670137379743,0.0198
34225,196.0,407.0,4.153061224489796,31.014983601630608,26.321926872436503,25895.55299999999,5283.882576645763,2.61734693877551,109.26393670886071,0.0001660933990245218,0.0
34117,455.0,993.0,4.364835164835164,83.25074545700848,56.7247726398244,59167.258999999955,12072.839260779141,3.0505494505494504,88.57374101796401,0.0004052352462686735,0.0833
34130,385.0,958.0,4.976623376623377,62.846150982251494,56.11263480558169,57098.00700000002,11650.616781518356,2.787012987012987,111.51954492187504,0.00039095203013634374,0.0736
34119,390.0,971.0,4.97948717948718,70.39585093791158,58.35714019780496,60555.280000000064,12356.05931705363,2.994871794871795,110.10050909090921,0.0003962572246997805,0.0761
34121,334.0,813.0,4.868263473053892,58.35714019780496,49.78721051840703,50127.08800000003,10228.229028404576,2.946107784431138,107.33851820128487,0.0003317787061595484,0.0776
34127,198.0,438.0,4.424242424242424,31.014983601630608,26.117880927688933,29474.444000000014,6014.140771889342,2.686868686868687,119.32973279352233,0.0001787442475988711,0.0602
34134,326.0,759.0,4.656441717791411,49.37911862891189,44.073924065475076,46362.530999999995,9460.08643878349,2.598159509202454,114.47538518518517,0.00030974174412681094,0.0425
34132,180.0,433.0,4.811111111111111,29.79070793314519,27.75024848566949,26839.487999999998,5476.488685501062,2.683333333333333,118.75879646017698,0.00017670378815139542,0.0548
34131,307.0,765.0,4.98371335504886,50.39934835264974,44.890107844465355,49499.458000000035,10100.163672102659,2.781758957654723,120.14431553398067,0.0003121902954637818,0.0073
34128,343.0,866.0,5.049562682215743,57.33691047406711,52.439807800125436,51849.852000000006,10579.752036361671,2.8104956268221573,114.20672246696037,0.00035340757630279083,0.0433
34125,282.0,650.0,4.609929078014185,49.78721051840703,39.38086733628097,44113.48999999996,9001.178743162463,2.9148936170212765,111.67972151898725,0.0002652597281718407,0.1486
34123,196.0,455.0,4.642857142857143,32.44330521486359,27.138110651426782,28987.446999999996,5914.771008935107,2.7653061224489797,114.12380708661416,0.00018568180972028853,0.0352
