geocode,n,m,k_avg,intersection_density_km,clean_intersection_density_km,street_length_total,street_density_km,streets_per_node_avg,street_length_avg,int_node_dens,bike_lane_share
116003,217.0,439.0,4.046082949308755,40.197051115272494,26.321926872437317,26000.997,5305.397997243892,2.9308755760368665,86.66999,0.0001791523394883718,0.032
116005,239.0,521.0,4.359832635983263,39.99300517052492,28.566432264660655,29376.898999999998,5994.237110209123,2.707112970711297,95.69022475570031,0.00021261587442697428,
118003,137.0,337.0,4.91970802919708,23.0571917564761,18.568180972029424,20031.942000000006,4087.4365305186507,2.7153284671532845,111.2885666666667,0.0001375269667598663,
107005,391.0,921.0,4.710997442455243,61.62187531376799,55.70454291608828,47810.781999999985,9755.596182310403,2.6419437340153453,96.39270564516126,0.00037585263022503517,0.0334
103010,620.0,1403.0,4.525806451612903,101.81892642904047,82.8426535675159,67577.48600000006,13788.911974536111,2.7580645161290325,82.71418115055087,0.0005725529209616984,0.0142
105011,334.0,673.0,4.029940119760479,59.98950775578737,42.03346461800068,48235.352000000006,9842.227969071886,2.92814371257485,103.509339055794,0.0002746458416302374,0.0147
116002,393.0,825.0,4.198473282442748,65.70279420871951,46.9305672919425,43136.301999999996,8801.787494506756,2.6844783715012723,86.27260399999999,0.00033667580883350054,0.0151
101001,845.0,1693.0,4.007100591715976,156.29919367664328,119.77496956682717,83669.60099999988,17072.442782697715,3.03905325443787,67.47548467741926,0.0006908995689152926,0.0584
117002,279.0,620.0,4.444444444444445,45.298199733961894,37.544453833554,38304.82900000004,7815.945021699359,2.6451612903225805,106.69868802228424,0.00025301697148699437,0.0051
106005,582.0,1248.0,4.288659793814433,101.6148804842929,81.82242384377801,66548.255,13578.901562777606,2.8848797250859106,82.9778740648379,0.0005092986780899499,0.0545
117001,260.0,660.0,5.076923076923077,45.50224567870947,36.524224109816124,29319.006999999983,5982.424482375794,2.776923076923077,83.05667705382432,0.00026934064706680044,
111004,145.0,325.0,4.482758620689655,24.07742148021398,16.73176746930124,16238.876999999997,3313.4769991046837,2.6758620689655173,89.22459890109889,0.00013262986408592447,
103006,568.0,1253.0,4.411971830985915,102.4310642632832,81.61837789903045,67677.944,13809.410022053551,3.0,83.04042208588957,0.0005113391375374257,0.0366
103004,616.0,1381.0,4.483766233766234,105.899845323992,86.71952651771984,71725.87200000005,14635.373315083725,2.8733766233766236,84.78235460992913,0.0005635748993928052,0.0375
103003,633.0,1401.0,4.42654028436019,114.26572905864262,89.5761697441859,72969.258,14889.081186139627,2.985781990521327,80.45122160970232,0.0005717367371827082,0.0384
106002,650.0,1338.0,4.116923076923077,115.49000472712808,96.5137318656035,72072.29100000006,14706.058707217238,2.9153846153846152,79.02663486842111,0.0005460269481445137,0.0694
106003,611.0,1278.0,4.183306055646481,109.36862638470079,93.24899674964227,70407.61700000001,14366.388728190503,2.950900163666121,81.96462980209547,0.0005215414347748045,0.0609
