geocode,n,m,k_avg,intersection_density_km,clean_intersection_density_km,street_length_total,street_density_km,streets_per_node_avg,street_length_avg,int_node_dens,bike_lane_share
115008,123.0,244.0,3.967479674796748,20.608640419505186,15.915583690310935,18572.496000000003,3789.642492640579,2.682926829268293,122.99666225165565,9.957442103681714e-05,0.0897
121010,56.0,140.0,5.0,8.569929679398196,7.753745900407892,7850.786999999999,1601.9212504269885,2.5892857142857144,112.15409999999999,5.713286452932131e-05,
121005,66.0,142.0,4.303030303030303,8.773975624145773,8.36588373465062,12845.966,2621.1672686652414,2.3333333333333335,175.97213698630136,5.794904830831161e-05,
123005,461.0,1094.0,4.746203904555315,79.78196439630226,63.45828881649617,56497.18099999996,11528.020672719798,2.828633405639913,90.9777471819645,0.0004464525271076965,0.0049
123008,474.0,1134.0,4.784810126582278,83.6588373465062,64.68256448498163,58567.64199999997,11950.489843527812,2.8586497890295357,89.5529694189602,0.0004627762026875026,0.0047
123003,397.0,959.0,4.831234256926952,68.76348337993315,56.316680750331,48479.176999999945,9891.979471549952,2.795969773299748,90.78497565543061,0.00039136012202585095,0.0057
123004,416.0,1007.0,4.841346153846154,72.02821849589436,59.37736992154465,51571.62499999998,10522.98094529271,2.8052884615384617,91.11594522968194,0.0004109485327216183,0.0016
123009,429.0,1015.0,4.731934731934732,75.90509144609831,59.581415866292225,55497.44499999998,11324.02859610164,2.871794871794872,93.74568412162158,0.0004142132678375795,0.005
123006,430.0,1019.0,4.73953488372093,76.9253211698362,64.0704266507389,53614.352999999974,10939.791309915036,2.8511627906976744,90.71802538071061,0.0004158456353955601,0.0
123010,289.0,613.0,4.242214532871972,53.46003752386494,42.44155650749583,41261.634000000005,8419.269091358708,2.9515570934256057,102.38618858560795,0.0002501603282605283,
123007,457.0,1026.0,4.4901531728665205,83.45479140175863,67.13111582195253,57003.93799999997,11631.422383542249,2.901531728665208,88.79118068535821,0.00041870227862202613,
120006,293.0,681.0,4.648464163822526,45.910337568204625,36.93231599931128,31967.255000000005,6522.788747461677,2.6075085324232083,86.63212737127373,0.0002779105767461986,
120002,370.0,868.0,4.691891891891892,57.74500236356404,45.09415378921432,40575.10800000003,8279.18624509494,2.627027027027027,85.0631194968554,0.00035422376008179213,0.0
120001,340.0,774.0,4.552941176470588,55.5004969713407,43.86987812072886,38975.78700000001,7952.851280695298,2.6470588235294117,88.78311389521643,0.0003158631224692478,0.0082
115002,72.0,166.0,4.611111111111111,11.630618850611839,10.406343182126381,7537.157999999998,1537.9265248217507,2.5833333333333335,83.74619999999997,6.774325365619527e-05,
121008,144.0,307.0,4.263888888888889,21.42482419849549,19.180318806272155,19665.749,4012.7163338737,2.4930555555555554,115.68087647058823,0.00012528421007501172,0.0596
101001,672.0,1400.0,4.166666666666667,125.28421007501173,95.90159403136077,73545.75200000004,15006.712449010942,3.0773809523809526,74.5144397163121,0.000571328645293213,0.1416
101003,680.0,1412.0,4.152941176470589,127.93680735673021,94.88136430762289,75268.32600000002,15358.19668823855,3.110294117647059,74.3023948667325,0.000576225747967155,0.165
101005,686.0,1464.0,4.2682215743440235,128.54894519097294,98.96228320257441,74953.25299999997,15293.907320289087,3.075801749271137,74.50621570576537,0.0005974465262209029,0.1603
101002,738.0,1609.0,4.360433604336043,139.97551809683722,107.53221288197261,81650.48400000005,16660.450146876858,3.1205962059620598,73.42669424460436,0.0006566198501976998,0.138
101004,668.0,1454.0,4.3532934131736525,125.69230196450688,103.85938587651624,78254.98700000007,15967.6127536243,3.0823353293413174,79.60832858596142,0.0005933656073259512,0.1547
102001,692.0,1543.0,4.459537572254336,130.38535869370114,101.81892642904047,77192.09300000007,15750.73354322777,3.0852601156069364,75.38290332031256,0.0006296857854910198,0.1176
102002,719.0,1612.0,4.484005563282337,133.65009380966234,107.12412099247746,82588.40800000007,16851.829735558287,3.0598052851182196,78.28285118483419,0.0006578441258661854,0.1256
