param,coefficient,p
Intercept,8113.0548272892665,1.370738748011239e-19
Education[T.Primary/None],-564.9825654538862,0.19288787250855663
Education[T.Secondary],-224.48574307176932,0.46839799818526096
Education[T.University],39.635906729595334,0.6430215397542243
Season[T.Spring],6.054258447115873,0.695071928880378
Season[T.Summer],-7.085758279666147,0.7670864242215354
Season[T.Winter],82.66765231104647,0.5782056473155577
HHSize,-47.34131832117973,0.36551423943860456
Sex,-1302.4361184660602,4.826114390752227e-28
Age,-23.770027387091385,3.0302675390322088e-05
DistSubcenter_res,94.10357132005262,0.024776710366030425
DistCenter_res,655.9034612550658,7.912386584887025e-188
UrbPopDensity_res,-0.023253036739246224,0.197282327994643
UrbBuildDensity_res,-9.341550133782163e-06,0.7156823048196054
IntersecDensity_res,-18.183749841416095,0.029286846015113072
street_length_res,-8.782177858307302,0.07730343673487149
LU_Comm_res,129.23508864028656,0.6556697744814071
LU_UrbFab_res,29.375085031925664,0.7979361005528396
