param,coefficient,p
Intercept,8861.065829449617,1.2703540194448588e-09
Education[T.Secondary],-0.22340806193792812,0.6095420696233419
Education[T.Secondary+BAC],1139.3994957848442,0.2723224678440814
Education[T.University],1331.7286994521737,0.16205821644618731
Education[T.Unknown/Other],-1179.6549139545618,0.3880419958725725
HHSize,194.12879479510156,0.02075787474390864
Sex,-1616.7526105326313,1.0373905699636053e-15
Age,-40.10512116315144,1.21935602155554e-05
DistSubcenter_res,402.6566282772416,1.4403198588089698e-11
DistCenter_res,237.6981011528925,1.792057372282906e-09
UrbPopDensity_res,0.1025323652304144,0.20181355599465114
UrbBuildDensity_res,-0.00014329229334370268,0.03481676976720614
IntersecDensity_res,-0.9022534586412555,0.7175358235449631
street_length_res,24.47128532928539,0.00028136236537970155
LU_Comm_res,-2905.2785156694717,0.015546294369708814
LU_UrbFab_res,-3392.218344991257,6.726678880205599e-06
bike_lane_share_res,-2057.756353822273,0.24244896995658582
