param,coefficient,p
Intercept,4003.190070380523,0.02968611988908641
Education[T.Primary/None],1929.6142180581892,0.1414040446811815
Education[T.Secondary],1086.4457975070607,0.3857204033074407
Education[T.University],2244.255826308671,0.07249490452064739
HHSize,20.54372375777162,0.6747118958729719
Sex,-2067.9866472512745,2.1459391819272755e-49
Age,-12.388046989868737,0.06059861027673658
DistSubcenter_res,239.9154863290557,3.467394263408859e-09
DistCenter_res,352.99919221556036,4.260001414552914e-36
UrbPopDensity_res,-0.01421292681066137,0.3944351974962056
UrbBuildDensity_res,3.460834097343946e-05,0.21171842413472355
IntersecDensity_res,-2.0795439436076557,0.6662901357809643
street_length_res,-9.877473365356213,0.3205874750458676
LU_Comm_res,-456.3269860361991,0.639535035081296
LU_UrbFab_res,998.0764252383685,0.1752301514249224
