geo_unit,geometry,area,Population,Density
75101,"POLYGON ((3760184.9572865968 2889254.0083034923, 3760110.5781120853 2889312.0139003643, 3760030.2926872037 2889410.8956445465, 3759898.7141917422 2889596.627540496, 3759782.224117162 2889734.4701574915, 3759631.409772504 2889830.6763101616, 3759405.5578575227 2889929.666020254, 3759390.641809906 2889931.198986021, 3759305.289470043 2889980.3078501453, 3758689.9699897394 2890356.3464498874, 3758553.0405773073 2890441.0691058575, 3758696.6432798523 2890667.3213109095, 3758948.08776631 2891103.557506807, 3758989.918509062 2891119.241979924, 3759132.577285827 2891139.516565351, 3759147.493149721 2891137.983486832, 3759303.5484091784 2890945.677145154, 3759713.973005946 2890736.8840050423, 3760303.171071776 2890459.158640243, 3760748.9272430167 2890241.65206841, 3760736.452160642 2890217.8203428355, 3760679.98596659 2890108.1463148217, 3760678.485392591 2890093.212337558, 3760591.1599356607 2889926.390045191, 3760513.676034273 2889758.5221046014, 3760438.3972728527 2889620.5984812635, 3760311.0129459994 2889406.6581451995, 3760270.222064628 2889350.664455429, 3760184.9572865968 2889254.0083034923))",1.8278648535053685,17100.0,9355.0
75102,"POLYGON ((3760611.676503382 2891070.3513334496, 3761054.4224640657 2890873.238940808, 3761040.4560302477 2890834.573021639, 3760945.1631359817 2890638.4609257285, 3760805.7610118417 2890356.3167346055, 3760748.9272430167 2890241.65206841, 3760303.171071776 2890459.158640243, 3759713.973005946 2890736.8840050423, 3759303.5484091784 2890945.677145154, 3759147.493149721 2891137.983486832, 3759219.0561128603 2891150.6114595095, 3760050.2457936234 2891275.8486210112, 3760611.676503382 2891070.3513334496))",0.9943323100519352,22390.0,22518.0
75103,"POLYGON ((3760678.485392591 2890093.212337558, 3760679.98596659 2890108.1463148217, 3760736.452160642 2890217.8203428355, 3760748.9272430167 2890241.65206841, 3760805.7610118417 2890356.3167346055, 3760945.1631359817 2890638.4609257285, 3761040.4560302477 2890834.573021639, 3761054.4224640657 2890873.238940808, 3761084.2544737193 2890870.173523156, 3761703.3726242613 2890639.545343845, 3761743.986775458 2890595.136644114, 3761765.27625872 2890557.709773953, 3761869.8460270166 2890204.898228095, 3761898.9265857292 2890096.3595793326, 3761948.245663309 2889351.195119139, 3761947.1201443393 2889290.991129449, 3761944.5864792783 2889266.104337759, 3761644.733455179 2889377.9200786036, 3761569.3200254934 2889425.971230143, 3761419.063165874 2889528.1508333725, 3761303.511561369 2889625.6920589185, 3761189.0864603985 2889783.437532762, 3761056.1876644706 2889907.9759046733, 3760985.7503569685 2889955.55006034, 3760678.485392591 2890093.212337558))",1.1720652544244479,35991.0,30707.0
75104,"POLYGON ((3760184.9572865968 2889254.0083034923, 3760270.222064628 2889350.664455429, 3760311.0129459994 2889406.6581451995, 3760438.3972728527 2889620.5984812635, 3760513.676034273 2889758.5221046014, 3760591.1599356607 2889926.390045191, 3760678.485392591 2890093.212337558, 3760985.7503569685 2889955.55006034, 3761056.1876644706 2889907.9759046733, 3761189.0864603985 2889783.437532762, 3761303.511561369 2889625.6920589185, 3761419.063165874 2889528.1508333725, 3761569.3200254934 2889425.971230143, 3761644.733455179 2889377.9200786036, 3761944.5864792783 2889266.104337759, 3761953.036595915 2889250.2151264665, 3761963.3424941963 2889007.776433559, 3761960.818241846 2888982.989230724, 3761945.809974392 2888934.2704037703, 3761780.914416263 2888549.3254157244, 3761716.007704352 2888405.2781940303, 3761686.0925313877 2888358.1912778523, 3761538.271774738 2888237.8852672284, 3761423.8425830146 2888395.630647647, 3760837.533944521 2888848.9766077497, 3760316.9250674024 2889169.866404844, 3760184.9572865968 2889254.0083034923))",1.6202972351522689,27769.0,17138.0
75105,"POLYGON ((3760184.9572865968 2889254.0083034923, 3760316.9250674024 2889169.866404844, 3760837.533944521 2888848.9766077497, 3761423.8425830146 2888395.630647647, 3761538.271774738 2888237.8852672284, 3761546.613236404 2888221.905875751, 3761643.227283365 2888086.1761308582, 3761540.7049681633 2888016.405624176, 3761498.782128121 2887950.4676885786, 3761419.9925616076 2887817.9053316684, 3761270.295678973 2887581.174757948, 3761252.8551669265 2887557.9198213713, 3760616.7314206534 2887327.779614618, 3760513.276420097 2887298.4081398523, 3760184.556146937 2887382.9434443437, 3760025.669976524 2887449.866785192, 3759823.6346635604 2887536.3134091157, 3759694.1056664484 2887595.0911267106, 3759479.1314270534 2887703.0866488013, 3759441.990847675 2887732.085029387, 3759468.4410163583 2887794.683360556, 3760111.6076961276 2889125.9511829047, 3760156.065577638 2889216.7751653767, 3760184.9572865968 2889254.0083034923))",2.5175086920714596,60179.0,23904.0
75106,"POLYGON ((3760184.9572865968 2889254.0083034923, 3760156.065577638 2889216.7751653767, 3760111.6076961276 2889125.9511829047, 3759468.4410163583 2887794.683360556, 3759441.990847675 2887732.085029387, 3759427.541443736 2887738.5991252223, 3758720.0515395673 2888185.506461779, 3758625.7899316773 2888245.624105077, 3758614.853844977 2888246.7748848344, 3758272.0500437506 2888478.7311552404, 3758129.7683129176 2888609.2030494013, 3758065.2312212694 2888666.165186808, 3758324.490789793 2888794.9633054812, 3758972.7669945103 2889134.388759433, 3759000.1583273197 2889156.687573552, 3759056.899320972 2889221.100921517, 3759254.067932225 2889577.512876259, 3759359.125310947 2889869.188478468, 3759390.641809906 2889931.198986021, 3759405.5578575227 2889929.666020254, 3759631.409772504 2889830.6763101616, 3759782.224117162 2889734.4701574915, 3759898.7141917422 2889596.627540496, 3760030.2926872037 2889410.8956445465, 3760110.5781120853 2889312.0139003643, 3760184.9572865968 2889254.0083034923))",2.1365302224838145,43224.0,20231.0
75107,"POLYGON ((3758553.0405773073 2890441.0691058575, 3758689.9699897394 2890356.3464498874, 3759305.289470043 2889980.3078501453, 3759390.641809906 2889931.198986021, 3759359.125310947 2889869.188478468, 3759254.067932225 2889577.512876259, 3759056.899320972 2889221.100921517, 3759000.1583273197 2889156.687573552, 3758972.7669945103 2889134.388759433, 3758324.490789793 2888794.9633054812, 3758065.2312212694 2888666.165186808, 3758050.423912844 2888667.7883990454, 3757622.623149117 2888714.909102652, 3757052.7600831124 2889174.2504413393, 3756768.3375475174 2889495.500692208, 3756486.3237774647 2889831.699948293, 3756254.114927563 2890113.35701708, 3756235.7251187935 2890130.302719063, 3756300.076975795 2890219.1139543913, 3756428.0194700104 2890341.522135556, 3756527.0598254176 2890426.598598363, 3756714.7556486153 2890542.7636043024, 3756891.740074075 2890604.6706668134, 3757004.576575119 2890628.108718218, 3757105.961877579 2890637.568673533, 3757155.6750711305 2890632.390853567, 3758079.767549009 2890575.991090663, 3758357.4816301884 2890541.8776279744, 3758425.018542478 2890514.7838772866, 3758553.0405773073 2890441.0691058575))",4.097322020835136,57092.0,13934.0
75108,"POLYGON ((3759246.995550406 2892651.713843745, 3759141.81169157 2891868.5100099836, 3759048.085893135 2891344.4510743953, 3758989.918509062 2891119.241979924, 3758948.08776631 2891103.557506807, 3758696.6432798523 2890667.3213109095, 3758553.0405773073 2890441.0691058575, 3758425.018542478 2890514.7838772866, 3758357.4816301884 2890541.8776279744, 3758079.767549009 2890575.991090663, 3757155.6750711305 2890632.390853567, 3757157.3705363693 2890697.5672310637, 3757013.0591277243 2891250.529588829, 3756939.075519504 2891509.6453053188, 3756882.8613426965 2891646.729399076, 3756818.198808233 2891799.703463929, 3756806.2857606867 2891831.1050344934, 3756969.4119410636 2892100.612429881, 3757005.805887664 2892162.1532948185, 3757072.2263343474 2892270.8690261142, 3757088.076485008 2892279.297856971, 3757899.9960133974 2892450.690489335, 3758163.3612802075 2892473.4398860056, 3758462.0902971565 2892497.5175808463, 3759246.995550406 2892651.713843745))",3.8310602783574104,38749.0,10114.0
75109,"POLYGON ((3758989.918509062 2891119.241979924, 3759048.085893135 2891344.4510743953, 3759141.81169157 2891868.5100099836, 3759246.995550406 2892651.713843745, 3759261.9112072336 2892650.180704662, 3760022.96606951 2892432.338230608, 3760705.5380918896 2892479.1697585736, 3760883.888666392 2892495.717173231, 3760884.7338128164 2892405.16853639, 3760873.8401635024 2892200.149672451, 3760866.1461881497 2892125.599354934, 3760784.630028225 2891867.6530726994, 3760702.084340722 2891650.113725764, 3760668.4965406326 2891517.83824292, 3760648.327670036 2891419.4560932033, 3760611.676503382 2891070.3513334496, 3760050.2457936234 2891275.8486210112, 3759219.0561128603 2891150.6114595095, 3759147.493149721 2891137.983486832, 3759132.577285827 2891139.516565351, 3758989.918509062 2891119.241979924))",2.150314005603474,59474.0,27658.0
75110,"POLYGON ((3761994.378118493 2892455.0290680625, 3762269.0991197177 2892391.159446715, 3762309.136184494 2892341.680039652, 3762378.5053025545 2892223.846349162, 3762335.532135369 2891705.5753894434, 3762390.4920709156 2891604.303371303, 3762702.8113495843 2891074.037442294, 3762754.6715442613 2890992.1619665823, 3762671.100294151 2890960.680524937, 3761887.3060726183 2890670.6385190627, 3761792.7602279456 2890630.259847283, 3761743.986775458 2890595.136644114, 3761703.3726242613 2890639.545343845, 3761084.2544737193 2890870.173523156, 3761054.4224640657 2890873.238940808, 3760611.676503382 2891070.3513334496, 3760648.327670036 2891419.4560932033, 3760668.4965406326 2891517.83824292, 3760702.084340722 2891650.113725764, 3760784.630028225 2891867.6530726994, 3760866.1461881497 2892125.599354934, 3760873.8401635024 2892200.149672451, 3760884.7338128164 2892405.16853639, 3760883.888666392 2892495.717173231, 3760974.8654960347 2892501.2547771153, 3761601.9557012888 2892496.024619956, 3761910.4341429886 2892468.81835388, 3761994.378118493 2892455.0290680625))",2.878814342163287,94474.0,32817.0
