geocode,Area,Pop_2018,Density
40210,0.6432757694323386,5681.0,8831.0
40211,0.9155411507602458,12035.0,13145.0
40212,0.4340429963432814,619.0,1427.0
40213,1.193282627875053,4730.0,3964.0
40215,0.7932735928201121,16762.0,21130.0
40217,0.7666240729561559,9113.0,11887.0
40219,0.8256161795689678,11348.0,13744.0
40221,11.58381970505324,12356.0,1067.0
40223,3.400986743221631,23631.0,6948.0
40225,4.577245318186472,14611.0,3192.0
40227,2.1584287575814347,27057.0,12535.0
40229,4.302760560105911,22129.0,5143.0
40231,3.306072080274626,19831.0,5998.0
40233,2.1268563729568184,18737.0,8810.0
40235,2.6227108059491773,19587.0,7468.0
40237,1.8506109382578715,16302.0,8809.0
40239,1.1871504491439768,13543.0,11408.0
40468,6.585838898626106,22645.0,3438.0
40470,3.061335773783846,20168.0,6588.0
40472,11.988123606778194,26927.0,2246.0
40474,20.55445144080766,14769.0,719.0
40476,2.1086930589075275,24159.0,11457.0
40477,1.1441323445322826,18387.0,16071.0
40479,1.087981888458387,11148.0,10247.0
40489,32.187557207501214,25008.0,777.0
40545,2.710332315118058,13941.0,5143.0
40547,5.189792990314019,16170.0,3116.0
40549,4.761475378243963,14863.0,3121.0
40589,13.241511207333744,21583.0,1630.0
40591,4.7699882914363485,26322.0,5518.0
40593,8.779863974692898,13703.0,1561.0
40595,5.068538232682982,24835.0,4900.0
40597,4.715128357230939,15174.0,3218.0
40599,6.297433660338753,21975.0,3489.0
40625,6.396694118218049,27874.0,4358.0
40627,11.072614643613559,21464.0,1938.0
40629,20.838381591334517,13060.0,627.0
