geocode,Area,Pop_2018,Density
60310,0.007073201680991537,0.0,0.0
60311,0.992955318503089,6130.0,6173.0
60313,0.745563205584457,4838.0,6489.0
60314,4.226213002319928,11251.0,2662.0
60315,0.01749436820183202,0.0,0.0
60316,1.234700171515045,20749.0,16805.0
60318,1.0517518588475523,19677.0,18709.0
60320,3.000756586545748,16957.0,5651.0
60322,1.3507572626967825,14354.0,10627.0
60323,1.6540072906740924,9588.0,5797.0
60325,1.2294366714945282,9431.0,7671.0
60326,3.3502857643645534,30567.0,9124.0
60327,3.235653124529675,12863.0,3975.0
60329,0.9755057920323225,5691.0,5833.0
60385,2.5869945785418107,37994.0,14686.0
60386,9.206034152121516,23287.0,2530.0
60388,14.114989663650022,19352.0,1371.0
60389,7.698480299250822,24376.0,3166.0
60431,4.374981294890479,23482.0,5367.0
60433,6.090783931801052,25534.0,4192.0
60435,8.12200330807449,32462.0,3997.0
60437,25.071581664395424,37673.0,1503.0
60438,3.5710772025393385,9350.0,2618.0
60439,9.076370882599027,36964.0,4073.0
60486,4.491601297156326,22545.0,5019.0
60487,2.8672598193908474,18438.0,6431.0
60488,7.241953417387652,20711.0,2860.0
60489,3.7578055043750314,18932.0,5038.0
60528,18.276058665027726,26249.0,1436.0
60529,13.317210308300323,20466.0,1537.0
60549,22.566262104212612,0.0,0.0
60594,1.77465149978151,17465.0,9841.0
60596,1.9020857390946484,12635.0,6643.0
60598,7.10067420379011,20478.0,2884.0
60599,14.81544686587378,23547.0,1589.0
63067,2.69726790799563,30.0,11.0
65929,13.430204298067869,32710.0,2436.0
65931,9.410260503924926,21267.0,2260.0
65933,4.947698020218747,23509.0,4751.0
65934,3.576294971103045,19128.0,5348.0
65936,6.129721705410511,16638.0,2714.0
