geo_unit_highres,geometry,area,Population,Density
001001,"POLYGON ((3825795.348584656 2298251.478570387, 3825818.5388154094 2298304.2027743617, 3825835.3265898847 2298332.448479944, 3825866.6412248127 2298396.5109152216, 3825871.4920100207 2298404.969529231, 3825907.5071963714 2298403.3800000544, 3825913.240715015 2298400.7319244402, 3825929.122658695 2298398.2022018903, 3825945.806649821 2298394.4427456553, 3825966.395270635 2298389.369451791, 3826001.4871687386 2298387.758604246, 3826034.251182104 2298383.5158959217, 3826056.0235556094 2298369.2565912493, 3826032.5038862997 2298322.647318982, 3826026.313972438 2298280.130375857, 3826017.2473550253 2298215.186570186, 3826011.408566927 2298209.46778195, 3825998.617835153 2298211.7982171387, 3825866.3127237824 2298237.2758758008, 3825854.5333920745 2298240.5372006646, 3825816.937820102 2298247.220920037, 3825795.348584656 2298251.478570387))",0.0342417454207933,588.197375987367,17177.786025772628
001002,"POLYGON ((3826056.0235556094 2298369.2565912493, 3826070.284907596 2298392.825071053, 3826073.3251554742 2298413.514585258, 3826075.9466636507 2298420.363090989, 3826094.0124765746 2298409.464065688, 3826111.0521324393 2298398.670478127, 3826103.2063405826 2298379.4997986127, 3826126.0887061856 2298335.065115771, 3826170.2709551277 2298303.615942134, 3826193.597610676 2298285.1836474747, 3826219.618925103 2298262.4612730686, 3826214.5964636807 2298251.0380639704, 3826208.693214638 2298243.6040460253, 3826188.0995645085 2298217.6959122736, 3826167.3378172303 2298200.756126141, 3826149.8277708353 2298186.4685151507, 3826149.702949902 2298186.3669097954, 3826092.2187087433 2298195.033030057, 3826070.4611872 2298210.8969003223, 3826017.2473550253 2298215.186570186, 3826026.313972438 2298280.130375857, 3826032.5038862997 2298322.647318982, 3826056.0235556094 2298369.2565912493))",0.02563425409310629,442.595425329074,17265.78131438977
001003,"POLYGON ((3825816.937820102 2298247.220920037, 3825854.5333920745 2298240.5372006646, 3825866.3127237824 2298237.2758758008, 3825998.617835153 2298211.7982171387, 3826011.408566927 2298209.46778195, 3826017.2473550253 2298215.186570186, 3826070.4611872 2298210.8969003223, 3826092.2187087433 2298195.033030057, 3826149.702949902 2298186.3669097954, 3826145.5645924686 2298182.8844795604, 3826140.6443970967 2298184.41696741, 3826136.7368003633 2298173.797804549, 3826112.128665231 2298148.0676067723, 3826099.9745047335 2298128.417944024, 3826092.8763255333 2298116.974360832, 3826086.3989851363 2298110.7478915947, 3826067.5611060075 2298094.644150976, 3826068.1729060896 2298079.550223702, 3826076.853733975 2298065.7027590633, 3826082.5873460183 2298063.0557029843, 3826078.466249503 2298051.4254871574, 3826074.0995331616 2298047.967302924, 3826072.875311645 2298046.0263010086, 3826069.978438646 2298036.337089328, 3826056.208596448 2298028.555525846, 3826050.163380529 2298029.1687095705, 3826049.459931611 2298031.4201917998, 3826037.971532032 2298068.6167498967, 3826015.8299368024 2298109.99282624, 3826011.8580170246 2298114.1822664356, 3826004.908641111 2298122.117025492, 3825998.522865614 2298128.7320172815, 3825976.5518139973 2298140.944896444, 3825972.7464723764 2298143.281423377, 3825959.5896508507 2298152.5347530986, 3825951.5752006373 2298142.3325257823, 3825924.654784146 2298145.0650723837, 3825910.458764895 2298112.6551194023, 3825895.5442192107 2298093.05576091, 3825890.9106089273 2298097.5421700967, 3825862.422393283 2298124.530485964, 3825839.213514551 2298154.8841300504, 3825823.104517019 2298144.3565533753, 3825816.5966203334 2298140.1977885715, 3825806.8752579438 2298174.2305442113, 3825807.019346327 2298185.2327090725, 3825807.644349074 2298201.7194815315, 3825810.168257468 2298215.326643535, 3825816.937820102 2298247.220920037))",0.03261388478286665,582.9718796696989,17874.95980779195
001004,"POLYGON ((3825699.128702744 2298359.3533792486, 3825719.3228719966 2298401.3666863316, 3825723.4439916513 2298412.99694962, 3825728.477729295 2298424.5343399215, 3825730.9161852044 2298428.303072734, 3825749.6000816943 2298465.420430496, 3825783.5067499094 2298453.9470596705, 3825851.7869997043 2298431.0671500703, 3825903.3462872696 2298412.751694023, 3825907.5071963714 2298403.3800000544, 3825871.4920100207 2298404.969529231, 3825866.6412248127 2298396.5109152216, 3825835.3265898847 2298332.448479944, 3825818.5388154094 2298304.2027743617, 3825795.348584656 2298251.478570387, 3825816.937820102 2298247.220920037, 3825810.168257468 2298215.326643535, 3825807.644349074 2298201.7194815315, 3825807.019346327 2298185.2327090725, 3825806.8752579438 2298174.2305442113, 3825816.5966203334 2298140.1977885715, 3825783.300423598 2298117.5297054425, 3825738.9103866806 2298084.971808252, 3825708.1257265075 2298068.0153146503, 3825705.8157337764 2298076.2821273934, 3825697.8913069554 2298118.1657440243, 3825690.8242078787 2298149.864807265, 3825675.142264606 2298173.488362153, 3825672.645494553 2298179.8229163415, 3825667.3711332637 2298207.439000329, 3825666.066117768 2298215.373938451, 3825666.403751088 2298229.568111269, 3825673.7965490897 2298273.7985985344, 3825687.1463889056 2298329.5878342194, 3825699.128702744 2298359.3533792486))",0.04787290857787371,821.8480309594156,17167.28845966263
001005,"POLYGON ((3825734.9507066747 2297982.2166885417, 3825767.40803141 2297993.8389900005, 3825843.1794933826 2298029.292772031, 3825918.496807478 2298070.7599743754, 3825927.1422277074 2298076.7678090003, 3825940.511967425 2298068.5256117606, 3825966.6064550653 2298047.7470803037, 3826016.0061938628 2298017.833625783, 3826021.541830208 2298013.1411297326, 3826012.412453485 2298002.1338901804, 3826007.8370842393 2297996.516049551, 3825989.9232522724 2297967.352245114, 3825974.279743115 2297950.9254789785, 3825968.02536342 2297949.380055814, 3825964.3995173573 2297942.863422221, 3825961.570335379 2297872.0080206, 3825957.8296314683 2297833.3732571127, 3825955.233107969 2297806.557320946, 3825953.348161461 2297797.7979565565, 3825952.8529348494 2297792.6844010577, 3825976.300792333 2297775.502287508, 3825963.127885107 2297753.6611965527, 3825958.490661868 2297746.213711147, 3825942.363170222 2297756.9163779584, 3825896.340675399 2297789.585424826, 3825850.2039638734 2297822.266134023, 3825839.528287837 2297826.2182882796, 3825827.49263513 2297837.5373779116, 3825822.3310644883 2297846.0933489157, 3825761.1842632857 2297941.457987758, 3825734.9507066747 2297982.2166885417))",0.04705224141453197,1334.0402838764176,28352.321669938607
001006,"POLYGON ((3825708.1257265075 2298068.0153146503, 3825738.9103866806 2298084.971808252, 3825783.300423598 2298117.5297054425, 3825816.5966203334 2298140.1977885715, 3825823.104517019 2298144.3565533753, 3825839.213514551 2298154.8841300504, 3825862.422393283 2298124.530485964, 3825890.9106089273 2298097.5421700967, 3825895.5442192107 2298093.05576091, 3825918.496807478 2298070.7599743754, 3825843.1794933826 2298029.292772031, 3825767.40803141 2297993.8389900005, 3825734.9507066747 2297982.2166885417, 3825708.1257265075 2298068.0153146503))",0.01827406958817594,504.6439819852754,27615.30372587617
001007,"POLYGON ((3825918.496807478 2298070.7599743754, 3825895.5442192107 2298093.05576091, 3825910.458764895 2298112.6551194023, 3825924.654784146 2298145.0650723837, 3825951.5752006373 2298142.3325257823, 3825959.5896508507 2298152.5347530986, 3825972.7464723764 2298143.281423377, 3825976.5518139973 2298140.944896444, 3825998.522865614 2298128.7320172815, 3826004.908641111 2298122.117025492, 3826011.8580170246 2298114.1822664356, 3826015.8299368024 2298109.99282624, 3826037.971532032 2298068.6167498967, 3826049.459931611 2298031.4201917998, 3826028.026897565 2298007.548842938, 3826021.541830208 2298013.1411297326, 3826016.0061938628 2298017.833625783, 3825966.6064550653 2298047.7470803037, 3825940.511967425 2298068.5256117606, 3825927.1422277074 2298076.7678090003, 3825918.496807478 2298070.7599743754))",0.01128559951482694,318.773088297017,28246.00393432491
001008,"POLYGON ((3825749.6000816943 2298465.420430496, 3825793.111767648 2298553.146237253, 3825821.9193283115 2298610.3496872275, 3825830.7038867534 2298628.506389898, 3825876.6989712766 2298729.979675878, 3825882.645495243 2298728.3437101515, 3825913.158255823 2298722.2624151455, 3825973.4538382427 2298700.1930373386, 3826038.3317946168 2298675.477462539, 3826038.445422968 2298675.4658951424, 3826019.4461849565 2298624.3815251263, 3825991.3495159927 2298553.1057235217, 3825968.2286073184 2298490.391209933, 3825958.732299236 2298454.176817474, 3825930.9835196477 2298459.058291452, 3825907.5071963714 2298403.3800000544, 3825903.3462872696 2298412.751694023, 3825851.7869997043 2298431.0671500703, 3825783.5067499094 2298453.9470596705, 3825749.6000816943 2298465.420430496))",0.05217054588690273,931.1464713265689,17848.125901253614
001009,"POLYGON ((3825907.5071963714 2298403.3800000544, 3825930.9835196477 2298459.058291452, 3825958.732299236 2298454.176817474, 3825968.2286073184 2298490.391209933, 3825991.3495159927 2298553.1057235217, 3826106.88495051 2298510.2829263546, 3826075.9466636507 2298420.363090989, 3826073.3251554742 2298413.514585258, 3826070.284907596 2298392.825071053, 3826056.0235556094 2298369.2565912493, 3826034.251182104 2298383.5158959217, 3826001.4871687386 2298387.758604246, 3825966.395270635 2298389.369451791, 3825945.806649821 2298394.4427456553, 3825929.122658695 2298398.2022018903, 3825913.240715015 2298400.7319244402, 3825907.5071963714 2298403.3800000544))",0.020826758402869648,371.6057206179934,17842.705688024456
001010,"POLYGON ((3826075.9466636507 2298420.363090989, 3826106.88495051 2298510.2829263546, 3826183.1086579547 2298456.4180523194, 3826213.419267483 2298436.358512879, 3826229.1012564 2298412.7359628943, 3826266.5584279173 2298426.031544418, 3826267.555464648 2298414.914234214, 3826267.796803236 2298407.890710002, 3826258.1961447312 2298339.6722509316, 3826255.7284818045 2298324.8906556447, 3826255.4424899197 2298321.936680246, 3826243.3763697417 2298290.1140628173, 3826236.201435598 2298277.876090863, 3826234.8885125984 2298275.025616229, 3826224.0956250033 2298267.056385675, 3826219.618925103 2298262.4612730686, 3826193.597610676 2298285.1836474747, 3826170.2709551277 2298303.615942134, 3826126.0887061856 2298335.065115771, 3826103.2063405826 2298379.4997986127, 3826111.0521324393 2298398.670478127, 3826094.0124765746 2298409.464065688, 3826075.9466636507 2298420.363090989))",0.025344376485510967,452.60758744088434,17858.304294825874
