geocode,Area,Pop_2018,Density
01067,6.853946088836931,15666.0,2286.0
01069,5.34162206449079,30154.0,5645.0
01097,3.291463717891079,17060.0,5183.0
01099,58.38958368320595,31714.0,543.0
01108,16.41515968505552,6119.0,373.0
01109,24.688787029545914,21291.0,862.0
01127,3.2103969594467516,17142.0,5340.0
01129,7.398453645667416,20068.0,2713.0
01139,8.42159088661549,19019.0,2258.0
01156,31.696243838337967,12304.0,388.0
01157,8.048919850416908,22791.0,2832.0
01159,5.909689885751256,32150.0,5440.0
01169,4.846591020409289,20908.0,4314.0
01187,5.076308715176184,18188.0,3583.0
01189,5.2974883903022425,10268.0,1938.0
01217,5.865730735066445,19119.0,3259.0
01219,6.935390508572278,22891.0,3301.0
01237,4.27239681507174,16242.0,3802.0
01239,5.715245660031172,16048.0,2808.0
01257,8.259047418102424,17493.0,2118.0
01259,10.352081473379032,19673.0,1900.0
01277,4.857497380800166,34695.0,7143.0
01279,4.8817431477171445,22704.0,4651.0
01307,3.6589992490573096,25696.0,7023.0
01309,4.718682326323291,37241.0,7892.0
01324,4.6201727748994985,9721.0,2104.0
01326,15.55926535497631,11472.0,737.0
01328,41.15165696375085,13205.0,321.0
01465,12.526904897410981,4419.0,353.0
