geo_unit_highres,geometry,area,Density_2012,Density_2017
001001,"POLYGON ((3866527.027198338 2320162.077912338, 3866533.6788510196 2320167.6011807406, 3866556.3814594015 2320184.2580401283, 3866564.097648461 2320191.5014285706, 3866622.537195438 2320223.831585898, 3866630.3682978884 2320231.066334872, 3866694.528502015 2320259.6837144988, 3866716.3898238004 2320219.495211377, 3866730.7593580885 2320186.7491127276, 3866749.7508117086 2320146.842677176, 3866765.6107941642 2320113.957480793, 3866778.6221540254 2320082.833424714, 3866785.982668155 2320064.200963393, 3866790.0792904934 2320051.1048758165, 3866791.266774839 2319988.166359932, 3866817.8577696215 2319966.255541413, 3866848.7423409265 2319933.4740783423, 3866873.7979798596 2319904.8183006193, 3866848.0832165815 2319877.299486701, 3866783.284378153 2319810.5370753095, 3866759.4604501347 2319825.0255368976, 3866745.6999722803 2319838.4670899464, 3866731.928470942 2319851.795432554, 3866695.895988542 2319875.3709166027, 3866685.983529196 2319888.455852571, 3866682.833080454 2319896.7063522697, 3866680.413360208 2319913.1913574385, 3866682.012032303 2319929.9833483044, 3866685.5472348584 2319946.710100528, 3866666.486344881 2319968.601459576, 3866656.596736721 2319980.660172816, 3866615.78168024 2320037.8819486313, 3866591.8115720684 2320071.370496908, 3866575.98608918 2320095.007301725, 3866539.4208224025 2320144.7846739665, 3866527.027198338 2320162.077912338))",0.0672773391788939,12535.256491578524,13684.748473589565
001002,"POLYGON ((3866481.3907215544 2320493.642889743, 3866524.5437772325 2320514.4299144996, 3866547.4846004816 2320522.1962750754, 3866563.1382954945 2320527.5676425486, 3866573.359524032 2320529.5764587056, 3866626.346134869 2320536.3758675726, 3866639.61220556 2320537.9882453983, 3866650.78121867 2320539.113566903, 3866653.3134230403 2320539.33482421, 3866683.7185713802 2320545.0425475156, 3866685.702159374 2320545.543128943, 3866715.906693697 2320546.3812694717, 3866740.0633240663 2320545.9611626505, 3866737.7018068666 2320519.697863114, 3866737.5284058936 2320483.812154522, 3866741.650632385 2320437.0565319327, 3866759.614978521 2320351.618193808, 3866764.8789551775 2320311.8305532974, 3866759.2898018598 2320305.4131359225, 3866729.211388174 2320285.3483113125, 3866694.528502015 2320259.6837144988, 3866630.3682978884 2320231.066334872, 3866622.537195438 2320223.831585898, 3866564.097648461 2320191.5014285706, 3866556.3814594015 2320184.2580401283, 3866533.6788510196 2320167.6011807406, 3866527.027198338 2320162.077912338, 3866517.307369053 2320176.05496157, 3866478.1682616295 2320230.2777211117, 3866459.748060148 2320258.1353713293, 3866460.518790805 2320277.164673827, 3866452.616910621 2320330.99454244, 3866447.6188014145 2320341.575847829, 3866443.9436285696 2320376.14172317, 3866442.936266548 2320386.6948665045, 3866442.030649033 2320398.3749472704, 3866438.8414222505 2320439.716013833, 3866437.9976740833 2320450.8221852123, 3866440.1651082323 2320463.6975337253, 3866446.136338129 2320473.1479297737, 3866460.2259292547 2320482.7587803034, 3866465.5555076995 2320486.243097487, 3866472.3726554443 2320484.58912302, 3866475.3376235357 2320483.290182582, 3866480.865724417 2320478.686289599, 3866480.3089621486 2320482.7151781432, 3866478.073462065 2320490.9951921077, 3866481.3907215544 2320493.642889743))",0.08942312646138437,17554.017805742278,16944.117058970598
001003,"POLYGON ((3866740.0633240663 2320545.9611626505, 3866748.1914570373 2320546.2319621397, 3866750.10493875 2320545.940378287, 3866762.872241933 2320545.781210141, 3866803.820586024 2320541.644325718, 3866833.9342568815 2320537.602736902, 3866857.7984499973 2320535.1624953276, 3866903.9160089227 2320532.709065807, 3866955.0745878387 2320530.467867787, 3866975.624602475 2320525.3806593176, 3867013.4957609233 2320509.704426407, 3867020.1311264327 2320506.019069105, 3867050.402065465 2320489.5701657897, 3867069.884307992 2320478.8961030804, 3867095.1780537395 2320469.3889932805, 3867112.605323082 2320462.5449712877, 3867119.0949334716 2320455.916978688, 3867096.9989212854 2320382.9226378985, 3867093.6204214226 2320369.251658191, 3867087.1477505225 2320343.815373503, 3867077.7463410585 2320308.5284770103, 3867041.601898787 2320310.1757533937, 3867028.705959283 2320311.4841698133, 3867010.8186516096 2320314.391546657, 3866996.324662598 2320320.851479792, 3866985.90806936 2320326.9325231574, 3866960.6422364325 2320330.299280014, 3866958.9441998135 2320330.456653406, 3866948.356021523 2320334.621585061, 3866942.614516728 2320338.1098560775, 3866929.5002977336 2320348.533437033, 3866917.3958479017 2320358.7512025135, 3866908.686599761 2320341.594000973, 3866867.138170479 2320328.6187170944, 3866848.6310624597 2320324.533899904, 3866815.3214302193 2320311.8181874817, 3866806.0159369633 2320309.8367132936, 3866796.055191492 2320310.759885385, 3866777.127487819 2320313.538257486, 3866764.8789551775 2320311.8305532974, 3866759.614978521 2320351.618193808, 3866741.650632385 2320437.0565319327, 3866737.5284058936 2320483.812154522, 3866737.7018068666 2320519.697863114, 3866740.0633240663 2320545.9611626505))",0.0705056628418209,17554.017805742278,16944.117058970598
001004,"POLYGON ((3866694.528502015 2320259.6837144988, 3866729.211388174 2320285.3483113125, 3866759.2898018598 2320305.4131359225, 3866764.8789551775 2320311.8305532974, 3866777.127487819 2320313.538257486, 3866796.055191492 2320310.759885385, 3866806.0159369633 2320309.8367132936, 3866815.3214302193 2320311.8181874817, 3866848.6310624597 2320324.533899904, 3866867.138170479 2320328.6187170944, 3866908.686599761 2320341.594000973, 3866917.3958479017 2320358.7512025135, 3866929.5002977336 2320348.533437033, 3866942.614516728 2320338.1098560775, 3866948.356021523 2320334.621585061, 3866958.9441998135 2320330.456653406, 3866960.6422364325 2320330.299280014, 3866985.90806936 2320326.9325231574, 3866996.324662598 2320320.851479792, 3867010.8186516096 2320314.391546657, 3867028.705959283 2320311.4841698133, 3867041.601898787 2320310.1757533937, 3867077.7463410585 2320308.5284770103, 3867075.100485797 2320301.8402719377, 3867060.1257040645 2320251.2670710273, 3867057.389867796 2320243.5620790846, 3867054.294709483 2320231.7968800436, 3867037.7615792993 2320175.2303952104, 3867034.8449588167 2320165.4939095397, 3867020.14764928 2320107.7352087097, 3867015.86312216 2320094.1462418344, 3867010.94707107 2320074.705531726, 3866993.5100446464 2320018.2219297686, 3866986.8683249345 2320012.810962181, 3866954.132907256 2319985.942758518, 3866930.8795482693 2319964.3355278433, 3866927.5870460137 2319960.660412007, 3866898.6898164107 2319933.32428572, 3866887.2191121303 2319918.4693482383, 3866873.7979798596 2319904.8183006193, 3866848.7423409265 2319933.4740783423, 3866817.8577696215 2319966.255541413, 3866791.266774839 2319988.166359932, 3866790.0792904934 2320051.1048758165, 3866785.982668155 2320064.200963393, 3866778.6221540254 2320082.833424714, 3866765.6107941642 2320113.957480793, 3866749.7508117086 2320146.842677176, 3866730.7593580885 2320186.7491127276, 3866716.3898238004 2320219.495211377, 3866694.528502015 2320259.6837144988))",0.10026665743638716,12535.256491578524,13684.748473589565
002001,"POLYGON ((3866759.0907830796 2320891.20540721, 3866761.031775008 2320800.268064848, 3866762.3946996424 2320696.922419608, 3866762.872241933 2320545.781210141, 3866750.10493875 2320545.940378287, 3866748.1914570373 2320546.2319621397, 3866740.0633240663 2320545.9611626505, 3866715.906693697 2320546.3812694717, 3866685.702159374 2320545.543128943, 3866683.7185713802 2320545.0425475156, 3866653.3134230403 2320539.33482421, 3866650.78121867 2320539.113566903, 3866639.61220556 2320537.9882453983, 3866626.346134869 2320536.3758675726, 3866573.359524032 2320529.5764587056, 3866563.1382954945 2320527.5676425486, 3866547.4846004816 2320522.1962750754, 3866524.5437772325 2320514.4299144996, 3866481.3907215544 2320493.642889743, 3866475.1431439226 2320513.3257461824, 3866471.279104308 2320545.7456945023, 3866467.9175410885 2320563.226042855, 3866461.439876222 2320569.9662223677, 3866440.4636018155 2320592.1496008793, 3866435.5453824988 2320603.6334385984, 3866414.4010599144 2320645.842137021, 3866398.987303976 2320684.4503204464, 3866386.865989824 2320726.732667138, 3866461.3869195017 2320747.34104116, 3866484.4284225265 2320756.233440137, 3866509.464366732 2320765.737651404, 3866509.9035739573 2320770.70038493, 3866490.4965379597 2320851.8597970456, 3866490.468986358 2320861.868243779, 3866492.9178019622 2320876.6496145297, 3866497.121352348 2320889.334309902, 3866502.644817923 2320893.713578884, 3866519.294058499 2320900.013814815, 3866575.774884466 2320911.493781811, 3866642.898917725 2320924.6017766604, 3866664.041788708 2320928.7819860736, 3866696.461220945 2320931.4610893126, 3866711.3144386103 2320929.060295283, 3866726.189670459 2320925.6353283967, 3866734.4753851173 2320927.7093130825, 3866760.968304606 2320942.083003757, 3866759.0907830796 2320891.20540721))",0.11780716876113653,13280.160892737098,13719.969686636256
002002,"POLYGON ((3866759.0907830796 2320891.20540721, 3866818.7258223663 2320893.1819173032, 3866837.7993018273 2320893.3461698582, 3866877.147733304 2320894.3619971136, 3866915.683090822 2320896.476331512, 3866981.5845225877 2320900.9405534854, 3867044.172857008 2320902.7587092235, 3867062.261229195 2320860.8332590107, 3867070.951525442 2320846.8393168226, 3867109.8407834964 2320789.795567192, 3867100.761859185 2320727.194688634, 3867100.622081991 2320725.6153229726, 3867098.2531358628 2320711.7364806505, 3867087.555065529 2320638.3639646107, 3867071.5287493365 2320559.0669660745, 3867061.6241489896 2320497.739286145, 3867020.1311264327 2320506.019069105, 3867013.4957609233 2320509.704426407, 3866975.624602475 2320525.3806593176, 3866955.0745878387 2320530.467867787, 3866903.9160089227 2320532.709065807, 3866857.7984499973 2320535.1624953276, 3866833.9342568815 2320537.602736902, 3866803.820586024 2320541.644325718, 3866762.872241933 2320545.781210141, 3866762.3946996424 2320696.922419608, 3866761.031775008 2320800.268064848, 3866759.0907830796 2320891.20540721))",0.11930999920073929,13280.160892737098,13719.969686636256
002003,"POLYGON ((3867061.6241489896 2320497.739286145, 3867071.5287493365 2320559.0669660745, 3867087.555065529 2320638.3639646107, 3867098.2531358628 2320711.7364806505, 3867131.1209036713 2320697.5460818913, 3867157.332608325 2320686.818506435, 3867179.4264755524 2320696.595520426, 3867204.0955607085 2320712.273671089, 3867211.900715836 2320720.533027166, 3867219.590418175 2320737.784810924, 3867232.719657023 2320790.6878706, 3867238.511316917 2320798.1087051285, 3867244.7708216133 2320800.4847492552, 3867246.694334679 2320800.306480936, 3867260.0860754345 2320823.966296239, 3867263.395432019 2320795.5770136616, 3867264.121427638 2320793.4604554963, 3867294.15521081 2320724.0520584844, 3867296.338805838 2320719.0727294534, 3867306.5254398435 2320700.0509732096, 3867322.4555383283 2320676.290166938, 3867322.8177592466 2320675.2344671465, 3867332.1013063937 2320651.1797604086, 3867337.2265202855 2320631.7152051516, 3867342.8306650133 2320606.0694863256, 3867348.70516063 2320583.4671123116, 3867352.628499929 2320571.0504075615, 3867343.803993204 2320562.888534294, 3867286.153476794 2320508.5401243563, 3867282.849923619 2320504.7517642262, 3867280.634051251 2320502.9108651546, 3867277.2267916137 2320499.2463544337, 3867255.070870542 2320478.4481365196, 3867228.268891783 2320472.1748480927, 3867192.393645354 2320475.613923612, 3867137.4938978115 2320484.5679819295, 3867127.942279648 2320486.249870345, 3867102.311041122 2320490.670598263, 3867061.6241489896 2320497.739286145))",0.05941678320375141,13280.160892737098,13719.969686636256
002004,"POLYGON ((3867020.1311264327 2320506.019069105, 3867061.6241489896 2320497.739286145, 3867102.311041122 2320490.670598263, 3867127.942279648 2320486.249870345, 3867137.4938978115 2320484.5679819295, 3867192.393645354 2320475.613923612, 3867228.268891783 2320472.1748480927, 3867255.070870542 2320478.4481365196, 3867277.2267916137 2320499.2463544337, 3867280.634051251 2320502.9108651546, 3867282.849923619 2320504.7517642262, 3867286.153476794 2320508.5401243563, 3867343.803993204 2320562.888534294, 3867352.628499929 2320571.0504075615, 3867383.4288666355 2320597.98697782, 3867414.2169946795 2320626.0580580314, 3867422.0459856084 2320633.2910749093, 3867457.3035992426 2320738.94651119, 3867465.424962712 2320771.395068896, 3867473.3123746137 2320817.9637233727, 3867474.7512399573 2320826.470394066, 3867477.1301519447 2320840.461566749, 3867486.8945989385 2320900.4987702454, 3867489.0102604204 2320943.7353368206, 3867490.0426828396 2320964.4470867077, 3867514.749063132 2320936.6882227976, 3867561.292985446 2320944.199384606, 3867591.865500742 2320933.749153434, 3867680.4672329347 2320903.254468044, 3867704.922834139 2320895.869374314, 3867675.9948192937 2320856.59675804, 3867653.1329315403 2320827.788981672, 3867636.965798814 2320806.320378287, 3867630.0646000574 2320797.978219334, 3867617.48429154 2320782.202778565, 3867612.8798480392 2320776.6039336543, 3867607.4591554054 2320772.1018638774, 3867615.114148184 2320768.3220365876, 3867620.935616065 2320765.737268828, 3867629.635951217 2320751.8567137956, 3867643.7952432293 2320731.3294576025, 3867682.3755881526 2320682.387519695, 3867738.4949833187 2320626.591340645, 3867744.8728533937 2320619.973732267, 3867757.9346637107 2320598.6383478083, 3867767.4995690454 2320572.6256287713, 3867786.2562560923 2320526.6583365267, 3867808.875967152 2320479.1967196125, 3867838.7137732166 2320486.209930218, 3867890.5954035562 2320501.184124219, 3867900.8975511775 2320504.0954520945, 3867909.103680418 2320505.2700042715, 3867916.2690815157 2320507.562127194, 3867921.621620269 2320510.0212487853, 3867926.8615979184 2320512.492806004, 3867935.2489973265 2320515.6928106523, 3867929.2757132156 2320506.2425484136, 3867923.4168988075 2320496.7786731455, 3867918.6703322367 2320479.2541721845, 3867915.844648605 2320470.5343487086, 3867912.725606057 2320459.7954560155, 3867908.5220493386 2320447.110812254, 3867904.416163001 2320435.5524804494, 3867900.3033309476 2320423.8815585626, 3867893.810800514 2320408.5641271407, 3867891.132878726 2320402.7867647503, 3867887.196768848 2320393.146727198, 3867883.0939695556 2320381.589119456, 3867877.95049492 2320369.8994791377, 3867874.1948328787 2320362.2869727984, 3867868.981692954 2320349.810141765, 3867825.660373693 2320254.907234325, 3867820.4481570004 2320242.429333226, 3867791.1028715875 2320251.2895615, 3867761.5887294607 2320258.2304277625, 3867673.1104726023 2320281.096394575, 3867634.6622260935 2320288.9794879905, 3867619.7970712613 2320292.5185832093, 3867534.9543235074 2320310.046372258, 3867408.7561643464 2320338.6819878137, 3867356.6648842255 2320351.0131899, 3867349.7359798425 2320352.677459016, 3867285.931947546 2320359.046534274, 3867187.403330701 2320381.8222713033, 3867169.4204686205 2320392.6970404717, 3867159.03536541 2320379.7896538274, 3867149.369620318 2320373.7490249076, 3867131.5218732622 2320365.5105398493, 3867121.0302022477 2320360.457354081, 3867099.8452588846 2320350.596141084, 3867087.1477505225 2320343.815373503, 3867093.6204214226 2320369.251658191, 3867096.9989212854 2320382.9226378985, 3867119.0949334716 2320455.916978688, 3867112.605323082 2320462.5449712877, 3867095.1780537395 2320469.3889932805, 3867069.884307992 2320478.8961030804, 3867050.402065465 2320489.5701657897, 3867020.1311264327 2320506.019069105))",0.25520007461971184,17223.498942946255,17855.514157690464
002005,"POLYGON ((3867263.3860660205 2320123.62136265, 3867337.7966249413 2320157.4168175543, 3867381.160210834 2320189.299658234, 3867433.98519253 2320226.2891221293, 3867495.044801727 2320271.4921373655, 3867534.9543235074 2320310.046372258, 3867619.7970712613 2320292.5185832093, 3867634.6622260935 2320288.9794879905, 3867673.1104726023 2320281.096394575, 3867761.5887294607 2320258.2304277625, 3867791.1028715875 2320251.2895615, 3867820.4481570004 2320242.429333226, 3867809.4331889153 2320222.4164154413, 3867799.965682666 2320208.284609456, 3867790.53013606 2320193.2409571507, 3867778.780056528 2320175.230192784, 3867771.878813851 2320166.88708983, 3867769.69580976 2320164.1332542445, 3867768.505598028 2320162.3115415475, 3867767.218454078 2320159.360448192, 3867762.535079398 2320152.858062303, 3867743.981523689 2320127.6315094894, 3867727.9064140576 2320107.1786695234, 3867712.008756305 2320088.753634007, 3867703.0943757696 2320079.575984504, 3867690.692875551 2320065.8313465575, 3867670.7347173034 2320046.6462608073, 3867669.547237371 2320044.821291946, 3867662.9386267997 2320038.500339599, 3867656.2069883184 2320032.073546011, 3867641.8021150595 2320017.604688825, 3867634.07586898 2320010.2479498386, 3867628.4538390897 2320004.7434562384, 3867602.83578918 2319978.3528743316, 3867597.2116785934 2319972.8475746675, 3867588.297137739 2319963.6679549078, 3867554.9299367196 2319930.945908513, 3867534.8820984527 2319910.747062199, 3867520.6478353636 2319898.1944315876, 3867515.0337588545 2319892.802447053, 3867509.433671203 2319886.2728107506, 3867450.327572451 2319827.0552595328, 3867441.500862117 2319818.8906446984, 3867434.8832435412 2319812.4563169195, 3867426.996289457 2319803.2947282596, 3867421.375274308 2319797.7901615, 3867382.4977964093 2319759.5523872585, 3867369.2474957583 2319747.820494523, 3867332.332020606 2319834.9230194343, 3867309.095828592 2319897.3343624673, 3867290.521343276 2320008.545896498, 3867281.917837895 2320054.4819206754, 3867281.7205618955 2320062.5729619875, 3867263.3860660205 2320123.62136265))",0.15599213900985484,13191.148530352457,16025.538049063061
002006,"POLYGON ((3867534.9543235074 2320310.046372258, 3867495.044801727 2320271.4921373655, 3867433.98519253 2320226.2891221293, 3867381.160210834 2320189.299658234, 3867337.7966249413 2320157.4168175543, 3867263.3860660205 2320123.62136265, 3867238.13763933 2320113.00037436, 3867177.461284122 2320088.9480246054, 3867145.238144725 2320078.1778007713, 3867096.422384159 2320063.031067147, 3867055.086369976 2320051.171412557, 3867013.276492254 2320035.264195289, 3866993.5100446464 2320018.2219297686, 3867010.94707107 2320074.705531726, 3867015.86312216 2320094.1462418344, 3867020.14764928 2320107.7352087097, 3867034.8449588167 2320165.4939095397, 3867037.7615792993 2320175.2303952104, 3867054.294709483 2320231.7968800436, 3867057.389867796 2320243.5620790846, 3867060.1257040645 2320251.2670710273, 3867075.100485797 2320301.8402719377, 3867077.7463410585 2320308.5284770103, 3867087.1477505225 2320343.815373503, 3867099.8452588846 2320350.596141084, 3867121.0302022477 2320360.457354081, 3867131.5218732622 2320365.5105398493, 3867149.369620318 2320373.7490249076, 3867159.03536541 2320379.7896538274, 3867169.4204686205 2320392.6970404717, 3867187.403330701 2320381.8222713033, 3867285.931947546 2320359.046534274, 3867349.7359798425 2320352.677459016, 3867356.6648842255 2320351.0131899, 3867408.7561643464 2320338.6819878137, 3867534.9543235074 2320310.046372258))",0.0987562759188458,13191.148530352457,16025.538049063061
