city,param,bike,walk,transit,bike_p,walk_p,transit_p
Berlin,Sex,,,0.3143929140636686,0.3301357195797276,0.1328909411186141,4.6298136364062913e-11
Berlin,Age,-0.0045818852921304,-0.0168410913615605,-0.0091304911690435,0.0262509210592466,0.0063716571666857,0.0001796945077719
Berlin,CarOwnershipHH,-2.871349411505012,-2.5406899755477053,-3.2237792535294347,5.834985049831202e-141,2.4740056274819926e-126,3.981334190666894e-182
Berlin,Trip_Distance,-0.0003064008738397,-0.0016725208877557,2.0679221418513156e-05,0.0,0.0,1.9933350350720608e-13
Berlin,Trip_Purpose_Agg[T.Home↔Leisure],0.6188415546263429,1.8739158868837331,0.5154765624958517,1.2342481213583858e-07,2.7169480709496622e-39,0.0027374995391632
Berlin,Trip_Purpose_Agg[T.Home↔School],0.2434397528311718,0.6051626075674585,0.5935871799549701,0.0430888091057833,9.856456543046904e-06,2.8447982869788827e-06
Berlin,Trip_Purpose_Agg[T.Home↔Shopping],-0.1670856805759775,0.519590567444359,0.3136772602902571,0.0247393135252486,1.0968439115127015e-07,0.0105746294586339
Berlin,Trip_Purpose_Agg[T.Home↔Work],1.3667645622849265,0.951351965175172,1.2811485754886234,0.0018913280668879,1.251934801710888e-21,5.675525419829895e-13
Berlin,Trip_Purpose_Agg[T.Other],,0.3409439767081675,,0.2980881875521545,0.085082133375367,0.7442794555847048
Berlin,DistCenter_origin,-0.05618550385115,,,9.26927599810803e-07,0.8286983406328923,0.1137118951415539
Berlin,DistSubcenter_origin,,-0.0369068203002441,-0.0252392854312591,0.6541611538324417,0.0052595724404495,0.0228301969898881
Berlin,UrbPopDensity_origin,3.5094568109951524e-05,4.0206931574750846e-05,1.7240245730691513e-05,0.0058424149889044,1.1331283025155737e-06,0.0060647235950776
Berlin,UrbBuildDensity_origin,,,,0.3362110866259499,0.5156973824574098,0.7000380010969638
Berlin,IntersecDensity_origin,,,,0.6599115728057787,0.7852729077297987,0.2984261177150594
Berlin,street_length_origin,-0.0046949022897036,,,0.0875230141761943,0.2885963901497925,0.4160258811558526
Berlin,bike_lane_share_origin,,-0.01257687672440418,-0.011401223804167065,0.1038356857408623,0.0473837117720777,0.000941189681892
Berlin,transit_accessibility_origin,-6.394817479628886e-05,9.398376318317554e-05,0.0001173144127842,0.0088929645201316,0.0002085216874841,2.806425027335601e-06
Berlin,LU_UrbFab_origin,-0.0068486195091754755,-0.010599374441283562,-0.004399199099130293,0.0074274030736024,8.153862031867534e-13,0.00129003180414
Berlin,LU_Comm_origin,-0.006882708418698313,,,0.0044631661299712,0.2455511605727505,0.1660977972071862
Paris,Sex,,0.2595096895233157,0.5498832711933064,0.1032445424987635,1.6694245915702874e-05,4.219211217986467e-26
Paris,Age,,-0.0054673677616211,-0.0071001740973131,0.3173134425649174,0.0995204299912693,0.008535506147147
Paris,CarOwnershipHH,-2.2918812252313643,-2.540129081683493,-2.870977609196818,1.7380620831953578e-55,2.4524541101512773e-153,8.750950718155008e-247
Paris,Trip_Distance,-0.0004477851640174,-0.0029490179235339,0.0001327101708725,1.9580240227089263e-34,0.0,2.4998089069686142e-110
Paris,Trip_Purpose_Agg[T.Home↔Leisure],1.2886327100789157,0.9830368207486044,1.4750743422604824,3.0431752174358845e-08,5.223607628962171e-28,2.960044435040569e-34
Paris,Trip_Purpose_Agg[T.Home↔School],1.2733761707160174,1.8406179018984337,2.4839033078262083,0.0002477466982259,2.9110083198142112e-39,4.652169537291987e-48
Paris,Trip_Purpose_Agg[T.Home↔Shopping],1.099521428202019,0.7004796490565935,1.0962631634555775,7.398315166396806e-05,4.509752655475565e-12,2.0634775574566804e-14
Paris,Trip_Purpose_Agg[T.Home↔Work],2.2469956949810035,1.2379909668332028,2.0470903030352674,3.9454979841912573e-22,9.590855678633284e-28,6.5194600092932925e-62
Paris,Trip_Purpose_Agg[T.Other],,,1.214857097697667,0.999436213177842,0.5038500219501167,0.0035713681554909
Paris,DistCenter_origin,,-0.0603636935332226,-0.0803423086838052,0.2699960374947911,1.0197413410703083e-05,2.7369458776401447e-10
Paris,DistSubcenter_origin,,,,0.1794852256011095,0.1574941370931506,0.5212213750414434
Paris,UrbPopDensity_origin,,2.1230836676119773e-05,1.4423260835261383e-05,0.5441309404666516,7.956920924194902e-06,0.0005821583637416
Paris,UrbBuildDensity_origin,,,,0.2432602166587312,0.7641510099087548,0.7183802893385562
Paris,IntersecDensity_origin,0.0205916337157565,0.0071014332587921,0.0057022519597841,0.0105100001574821,0.0251743500968049,0.0565044222897946
Paris,street_length_origin,0.0253408587385146,0.0061347965897329,,0.0158229352559719,0.0957150181852986,0.6115170323204148
Paris,bike_lane_share_origin,0.031082622924387248,-0.008448467808560891,,9.226039317402102e-05,0.0562701021601276,0.1640641108765163
Paris,transit_accessibility_origin,,0.0001061813307562,9.669360504175824e-05,0.6648215429560735,0.0043497264002211,0.0015806147528486
Paris,LU_UrbFab_origin,,,-0.005477314906550228,0.3784124109496135,0.1926312245837323,0.0443705917352127
Paris,LU_Comm_origin,,-0.012143708226166871,,0.7256775482631902,0.0009340269173487,0.5448882772626362
Madrid,Sex,-1.3431559934330723,0.1440913863974612,0.530819359602516,0.0128834156426412,2.6936702127974414e-06,2.428404345603459e-68
Madrid,Age,,,,0.1103892347122077,0.1806301431742057,0.5248449270506288
Madrid,CarOwnershipHH,,-1.7565023330741534,-2.303997989238608,0.2302754249156769,0.0001774564297419,0.0
Madrid,Trip_Distance,-0.0002638199598538,-0.0015214076664764,1.591289311505702e-05,1.1428447345424809e-12,0.0,8.010375062946377e-05
