param,bike,walk,transit,bike_p,walk_p,transit_p
Intercept,2.167747381415966,4.698584936603897,0.8009770189548573,0.33283050322794805,0.0009227602207150667,0.4045250479127239
Trip_Time[T.Daytime Off-Peak],-0.07312899885824942,0.08837849314822753,-0.06048418883969837,0.6383499266867285,0.5959529877898746,0.7283049625085325
Trip_Time[T.Evening],-0.85331300761613,-0.7888075153360805,-1.0460557152957415,0.027078382662553892,0.02558642336718052,0.004021841321496692
Trip_Time[T.Lunch],-0.4774105460630338,0.05522693124734157,-0.3071934026560556,0.05832624647952938,0.7395208107249052,0.22346839181625258
Trip_Time[T.Nighttime Off-Peak],-0.039493333425468694,1.662595858030054,0.6063921320503702,0.8661407610642279,0.012373679265031048,0.04812453613707207
Trip_Time[T.PM Rush],-0.26849645098236813,-0.37650616835893047,-0.38820013720035623,0.22919091548367754,0.06826387174887452,0.06948721224996271
Season[T.Spring],0.0792885507593287,0.07265436799958776,0.18995479580637148,0.7058283543688675,0.5568291863509716,0.19143742637265115
Season[T.Summer],0.3438412183426847,0.1642031841272201,-0.040630578024662245,0.037751579984443125,0.3423159202960187,0.706686494927035
Season[T.Winter],-0.5108970023521899,-0.12073119869327237,-0.0454269029281569,0.011079391782226933,0.46914564116377655,0.6943366397152119
Trip_Purpose_Agg[T.Home↔Leisure],1.0532885369029978,2.167988415553062,0.7337970009577098,0.00641648602644251,3.147179622684983e-14,0.010994371070722935
Trip_Purpose_Agg[T.Home↔School],-0.06005110817033657,0.641910269315321,0.4950604623418909,0.7033243775482158,0.027298000505837867,0.11314511801962593
Trip_Purpose_Agg[T.Home↔Shopping],-0.07345279954589294,0.8744853842792483,0.37329492597726044,0.7539721805013255,0.003026904936874377,0.18074736259416246
Trip_Purpose_Agg[T.Home↔Work],1.193317538698394,1.0838626704689243,1.197272021015228,7.370300797980965e-06,0.003069220653247674,3.5281712367850096e-05
Trip_Purpose_Agg[T.Other],0.4318850988500213,0.6743994300293947,0.08728976632281853,0.37152373016771456,0.17098503912014398,0.7405223909490568
Occupation[T.Employed_PartTime],0.1199741399421799,-0.19289830508967212,0.2764553501429522,0.4945225325865977,0.4271612882076226,0.21596410600311525
Occupation[T.Home_Partner],0.38849016920551294,0.8336323867690387,1.0289828727097052,0.5622928890207397,0.10175821469617145,0.07133250516843298
Occupation[T.Other],0.4766427448294718,0.6561446884986908,0.2750484382284583,0.16000447415761956,0.07240247432607655,0.5157142146577353
Occupation[T.Pre-School],0.15979965979338054,-0.24115839912986103,0.22121755329202206,0.9999999999999981,0.9999999999999988,0.9999999972832169
Occupation[T.Retired],-0.7017273008958917,0.49204422519951735,0.8772767161463997,0.07550769611726879,0.11265068080847386,0.002181621117914286
Occupation[T.Student_3rdLevel],0.7252741920983491,0.3190127705698191,2.15186359148965,0.05061118518355833,0.47330213325480386,8.895757720222691e-09
Occupation[T.Student_School],1.471194060140136,0.6946083695018211,2.683638914742938,0.0717405676740386,0.10559229878440925,3.95943298349529e-09
Occupation[T.Trainee],1.739225763073631,1.5288905643274746,1.9562748913305197,0.02460432002231284,0.12266490805807101,0.0010034013802759005
Occupation[T.Unemployed],-0.16022610791490602,0.10327519764503348,0.441198406296759,0.737139010447446,0.8373689971459216,0.4668618262128439
Education[T.No diploma yet],-1.4465958479079997,-0.8371350896253504,-2.3225394443457184,0.004228436860236872,0.02206564998543685,8.427622605856393e-08
Education[T.Pre-School],0.15979735906135187,-0.24115885336491644,0.22121755162756324,0.9999999999999973,0.9999999999999987,0.9999999972832154
Education[T.Secondary],-0.18081593423892006,-0.29760731286301734,-0.2599589120907347,0.5248802831424847,0.2430961640669624,0.2601813940984209
Education[T.University],0.5636891332165332,-0.043802962653532354,0.014890782666148702,0.10134037406461296,0.7282709513177884,0.7681438021337019
Education[T.Unknown],-0.118387435546991,-0.6743902249118533,-0.3255907403843519,0.611419377331974,0.34891571427563706,0.7156026533526965
Sex,-0.15105929400691775,0.2035187614442241,0.46005351527488675,0.15449974486475815,0.10391519582507593,7.881587485571848e-05
Age,0.0021185411145704133,-0.016020021229482484,-0.006417454547710106,0.7299115341939063,0.08257845979483867,0.3461691340892005
Trip_Distance,-0.0003787377058154459,-0.001735728714221347,-1.758389068567877e-05,4.276325982818622e-50,1.8087777649501407e-152,0.04808350204313635
CarOwnershipHH,-3.525656733245631,-2.985388501143759,-3.6004641828634285,6.117946080419653e-21,2.1539240923689923e-23,1.1713699817438445e-42
HHSize,0.07659541618231046,-0.062028106795195596,-0.11554817590889768,0.13934915628563105,0.34421361270369405,0.059570198839929055
UrbPopDensity_origin,2.1536396348744337e-05,2.748770740410223e-05,5.9712409458697254e-05,0.582456241832375,0.649574834522481,0.31137006033835757
DistSubcenter_origin,-0.04764251878529012,0.09776199059717641,0.0565723824952396,0.3969188667698721,0.13035401302255112,0.295715451293189
DistCenter_origin,0.0664906872565495,0.031719166508527914,-0.07021695379782446,0.37935980414523995,0.6375025044829794,0.27464565544871444
UrbBuildDensity_origin,-3.255974564824836e-09,1.4809984124131285e-08,1.0068524000784167e-08,0.3858974449452433,0.06781801454718124,0.11399785572968019
IntersecDensity_origin,0.006205195839475812,0.01870528953793661,0.005273058999201898,0.6086493577228619,0.14336940201227363,0.6268156939118109
street_length_origin,0.004482428564635397,-0.01148475201210796,0.0003385880115806423,0.47611990322146197,0.1221208837557875,0.5933704527613821
bike_lane_share_origin,2.5528833464636578,2.055739027850251,0.5350726165044467,0.0020062598126752347,0.0047520861672219715,0.38851794379489385
