grid_id,Num. Bldgs,Sum Bldg Footprint (m2),Sum Bldg Volume (m3),geometry,area_cell,centerpoint,dist2center,DistGroup,group_mean,group_SD,cutoff,isCenter_dist,isCenter_regional,isCenter_regional_dist,contig_group,type
719139,344,242207.38488844084,2012926.5662275336,"POLYGON ((3914000 2535000, 3914000 2536000, 3915000 2536000, 3915000 2535000, 3914000 2535000))",1000000.0,POINT (4.772937759799724 45.803759998318874),6519.202405202649,6-7,1122027.12445512,777824.555950012,1899851.680405132,True,True,True,0,subcenter
725137,1023,418727.62651118846,9570879.715963364,"POLYGON ((3920000 2530000, 3920000 2531000, 3921000 2531000, 3921000 2530000, 3920000 2530000))",1000000.0,POINT (4.854125075691242 45.76260045931005),1581.1388300841897,1-2,4589946.407675951,2987997.2820618027,7577943.689737754,True,True,True,1,subcenter
728128,262,417764.83478903916,3842718.082651446,"POLYGON ((3923000 2524000, 3923000 2525000, 3924000 2525000, 3924000 2524000, 3923000 2524000))",1000000.0,POINT (4.897615934765703 45.71054741875771),6363.961030678927,6-7,1122027.12445512,777824.555950012,1899851.680405132,True,True,True,2,subcenter
729129,697,192736.83353789363,2289646.396902051,"POLYGON ((3924000 2536000, 3924000 2537000, 3925000 2537000, 3925000 2536000, 3924000 2536000))",1000000.0,POINT (4.900329755606572 45.818987330509856),8514.693182963201,8-9,627867.638139217,552916.5189963208,1180784.1571355378,True,True,True,3,subcenter
730091,95,318345.0052495197,2644740.6680592345,"POLYGON ((3925000 2520000, 3925000 2521000, 3926000 2521000, 3926000 2520000, 3925000 2520000))",1000000.0,POINT (4.926562093633651 45.67583409203153),10700.467279516348,10-11,493578.8019537315,598360.5161818769,1091939.3181356085,True,True,True,4,subcenter
730098,1308,211272.5947021459,2190318.875611679,"POLYGON ((3925000 2527000, 3925000 2528000, 3926000 2528000, 3926000 2527000, 3925000 2527000))",1000000.0,POINT (4.920708570729725 45.73873498355309),6670.8320320631665,6-7,1122027.12445512,777824.555950012,1899851.680405132,True,True,True,5,subcenter
730103,787,232617.5381965709,2236966.4016618556,"POLYGON ((3925000 2532000, 3925000 2533000, 3926000 2533000, 3926000 2532000, 3925000 2532000))",1000000.0,POINT (4.9165167251374795 45.78366236059965),6964.19413859206,6-7,1122027.12445512,777824.555950012,1899851.680405132,True,True,True,6,subcenter
733022,184,228993.01029082795,2041128.3273401738,"POLYGON ((3928000 2520000, 3928000 2521000, 3929000 2521000, 3929000 2520000, 3928000 2520000))",1000000.0,POINT (4.964944106605011 45.67766672047849),12747.548783981962,12-13,404476.5259377102,496616.01418306126,901092.5401207714,True,True,True,7,subcenter
733026,264,275957.3305787542,2340297.9539428237,"POLYGON ((3928000 2524000, 3928000 2525000, 3929000 2525000, 3929000 2524000, 3928000 2524000))",1000000.0,POINT (4.9616264723824965 45.713611848975184),10511.898020814318,10-11,493578.8019537315,598360.5161818769,1091939.3181356085,True,True,True,8,subcenter
733028,336,353624.3510022379,3216910.252985555,"POLYGON ((3928000 2526000, 3928000 2527000, 3929000 2527000, 3929000 2526000, 3928000 2526000))",1000000.0,POINT (4.959965523554615 45.73158404700996),9823.44135219425,9-10,531156.0467276144,671764.7278435534,1202920.7745711678,True,True,True,9,subcenter
734993,304,293252.68667764205,2424017.6027215407,"POLYGON ((3930000 2524000, 3930000 2525000, 3931000 2525000, 3931000 2524000, 3930000 2524000))",1000000.0,POINT (4.987232495972084 45.714826805919856),12349.08903522847,12-13,404476.5259377102,496616.01418306126,901092.5401207714,True,True,True,10,subcenter
734999,276,194612.3346472355,3197035.1476673954,"POLYGON ((3930000 2530000, 3930000 2531000, 3931000 2531000, 3931000 2530000, 3930000 2530000))",1000000.0,POINT (4.982270523728306 45.76874405883704),11510.864433221339,11-12,450986.2560114286,688990.6497317803,1139976.905743209,True,True,True,11,subcenter
737963,387,317837.06896129757,2467357.9420146327,"POLYGON ((3933000 2530000, 3933000 2531000, 3934000 2531000, 3934000 2530000, 3933000 2530000))",1000000.0,POINT (5.020719207710525 45.7705569760909),14508.618128546908,14-15,334227.17847159255,535467.3411804421,869694.5196520346,True,True,True,12,subcenter
