grid_id,Num. Bldgs,Sum Bldg Footprint (m2),Sum Bldg Volume (m3),geometry,area_cell,centerpoint,dist2center,DistGroup,group_mean,group_SD,cutoff,isCenter_dist,isCenter_regional,isCenter_regional_dist,contig_group,type
265259,835,324335.7891297716,2804968.0404701442,"POLYGON ((4550000 3263000, 4550000 3264000, 4551000 3264000, 4551000 3263000, 4550000 3263000))",1000000.0,POINT (13.375679840263075 52.43296785916296),8500.0,8-9,1128274.2785186348,788841.8720648473,1917116.150583482,True,True,True,0,subcenter
265265,776,213347.13044285565,5418217.360832908,"POLYGON ((4556000 3263000, 4556000 3264000, 4557000 3264000, 4557000 3263000, 4556000 3263000))",1000000.0,POINT (13.463810798443156 52.430435161381546),10124.228365658293,10-11,915864.9953809225,838548.2422558924,1754413.2376368148,True,True,True,1,subcenter
265793,1067,232632.1160411047,2394713.2085763174,"POLYGON ((4562000 3264000, 4562000 3265000, 4563000 3265000, 4563000 3264000, 4562000 3264000))",1000000.0,POINT (13.552653010393783 52.43681170845846),13729.530217745982,13-14,666033.058157738,648942.5984780245,1314975.6566357624,True,True,True,2,subcenter
267371,841,306832.2403674158,5125417.189913931,"POLYGON ((4546000 3267000, 4546000 3268000, 4547000 3268000, 4547000 3267000, 4546000 3267000))",1000000.0,POINT (13.3196154619 52.47052412956522),5700.87712549569,5-6,2744786.4095112737,1342848.3521541173,4087634.761665391,True,True,True,3,subcenter
266856,706,246254.76085675327,2467023.5161423557,"POLYGON ((4564000 3266000, 4564000 3267000, 4565000 3267000, 4565000 3266000, 4564000 3266000))",1000000.0,POINT (13.583484977909345 52.45387949958145),14577.379737113251,14-15,575642.5428699441,574721.8176355074,1150364.3605054514,True,True,True,4,subcenter
267379,979,324697.4211166529,4382214.173967105,"POLYGON ((4554000 3267000, 4554000 3268000, 4555000 3268000, 4555000 3267000, 4554000 3267000))",1000000.0,POINT (13.437224681182725 52.46718757694891),5700.87712549569,5-6,2744786.4095112737,1342848.3521541173,4087634.761665391,True,True,True,5,subcenter
267382,662,192344.5913151309,2459252.5792730893,"POLYGON ((4557000 3267000, 4557000 3268000, 4558000 3268000, 4558000 3267000, 4557000 3267000))",1000000.0,POINT (13.481323868793394 52.46590645087379),7905.694150420948,7-8,1475200.0561609087,793790.2810175576,2268990.3371784664,True,True,True,6,subcenter
267384,737,296223.2107077119,3329795.5264449874,"POLYGON ((4559000 3267000, 4559000 3268000, 4560000 3268000, 4560000 3267000, 4559000 3267000))",1000000.0,POINT (13.51072200944833 52.46504330163131),9617.692030835673,9-10,1136417.0240739419,946845.596021848,2083262.62009579,True,True,True,7,subcenter
269516,662,428445.43066266325,6621253.284351675,"POLYGON ((4546000 3271000, 4546000 3272000, 4547000 3272000, 4547000 3271000, 4546000 3271000))",1000000.0,POINT (13.322315549583703 52.50642793551061),3535.5339059327375,3-4,3848177.1265003495,1715191.465955044,5563368.592455394,True,True,True,8,subcenter
268986,1204,365715.5230324149,6139162.559619258,"POLYGON ((4553000 3270000, 4553000 3271000, 4554000 3271000, 4554000 3270000, 4553000 3270000))",1000000.0,POINT (13.424611520756644 52.49453683396693),2915.4759474226503,2-3,4255878.964723551,1196389.5323510512,5452268.497074602,True,True,True,9,subcenter
270063,827,357638.2453854312,6030438.213874274,"POLYGON ((4555000 3272000, 4555000 3273000, 4556000 3273000, 4556000 3272000, 4555000 3272000))",1000000.0,POINT (13.455434673778594 52.51163768803816),4500.0,4-5,3292821.607577871,1644244.6160985248,4937066.223676396,True,True,True,10,subcenter
270583,805,232539.74246093244,2505383.7866482064,"POLYGON ((4537000 3273000, 4537000 3274000, 4538000 3274000, 4538000 3273000, 4537000 3273000))",1000000.0,POINT (13.191177015162838 52.5279996882091),12509.996003196804,12-13,685046.9717535676,658180.567776775,1343227.5395303424,True,True,True,11,subcenter
271128,318,303272.56619915337,2640229.632778124,"POLYGON ((4542000 3274000, 4542000 3275000, 4543000 3275000, 4543000 3274000, 4542000 3274000))",1000000.0,POINT (13.265449976218115 52.53498304224859),7648.529270389177,7-8,1475200.0561609087,793790.2810175576,2268990.3371784664,True,True,True,12,subcenter
272219,935,380207.08751707297,6750088.894478974,"POLYGON ((4552000 3276000, 4552000 3277000, 4553000 3277000, 4553000 3276000, 4552000 3276000))",1000000.0,POINT (13.414067728161866 52.54881060736196),3807.886552931954,3-4,3848177.1265003495,1715191.465955044,5563368.592455394,True,True,True,13,subcenter
271691,232,178587.3290750925,2642798.7748228917,"POLYGON ((4565000 3275000, 4565000 3276000, 4566000 3276000, 4566000 3275000, 4565000 3275000))",1000000.0,POINT (13.604768549987027 52.53420259772735),14713.938969562161,14-15,575642.5428699441,574721.8176355074,1150364.3605054514,True,True,True,14,subcenter
271664,965,236380.36429792442,2780933.9465019465,"POLYGON ((4538000 3275000, 4538000 3276000, 4539000 3276000, 4539000 3275000, 4538000 3275000))",1000000.0,POINT (13.207204795415088 52.54555800264714),11768.60229593982,11-12,726911.7941567288,637695.7361786953,1364607.530335424,True,True,True,15,subcenter
271683,466,216556.131081954,2894402.874845334,"POLYGON ((4557000 3275000, 4557000 3276000, 4558000 3276000, 4558000 3275000, 4557000 3275000))",1000000.0,POINT (13.486991752017719 52.537705221629906),6964.19413859206,6-7,1768367.7064405486,1013140.5973850674,2781508.303825616,True,True,True,16,subcenter
272767,218,122086.38891424237,2534432.6424222235,"POLYGON ((4562000 3277000, 4562000 3278000, 4563000 3278000, 4563000 3277000, 4562000 3277000))",1000000.0,POINT (13.562054650537082 52.55347823285571),12349.08903522847,12-13,685046.9717535676,658180.567776775,1343227.5395303424,True,True,True,17,subcenter
274353,742,298973.50402119494,3705269.227320801,"POLYGON ((4543000 3280000, 4543000 3281000, 4544000 3281000, 4544000 3280000, 4543000 3280000))",1000000.0,POINT (13.284186369812794 52.588435656393294),9924.716620639603,9-10,1136417.0240739419,946845.596021848,2083262.62009579,True,True,True,18,subcenter
274358,714,250457.3817493655,2668200.5860196017,"POLYGON ((4548000 3280000, 4548000 3281000, 4549000 3281000, 4549000 3280000, 4548000 3280000))",1000000.0,POINT (13.357891925741319 52.586384909378346),7648.529270389177,7-8,1475200.0561609087,793790.2810175576,2268990.3371784664,True,True,True,19,subcenter
