grid_id,Num. Bldgs,Sum Bldg Footprint (m2),Sum Bldg Volume (m3),geometry,area_cell,centerpoint,dist2center,DistGroup,group_mean,group_SD,cutoff,isCenter_dist,isCenter_regional,isCenter_regional_dist,contig_group,type
558088,2281,333184.66879648087,3383402.0177285424,"POLYGON ((3749000 2894000, 3749000 2895000, 3750000 2895000, 3750000 2894000, 3749000 2894000))",1000000.0,POINT (2.1922591329711003 48.89080610032929),11423.659658795863,11-12,172348.88068223937,88904.0891359499,261252.96981818927,True,True,True,0,subcenter
564167,1894,503843.27310884,10113078.672806604,"POLYGON ((3755000 2890000, 3755000 2891000, 3756000 2891000, 3756000 2890000, 3755000 2890000))",1000000.0,POINT (2.2792833035046756 48.86073553117823),4527.6925690687085,4-5,349735.1557269145,79060.32420472286,428795.4799316374,True,True,True,1,subcenter
562137,1283,387504.28725682845,10968952.240895867,"POLYGON ((3753000 2894000, 3753000 2895000, 3754000 2895000, 3754000 2894000, 3753000 2894000))",1000000.0,POINT (2.246544205605633 48.894600975492175),7905.694150420948,7-8,255516.07022234218,92263.18365097324,347779.2538733154,True,True,True,2,subcenter
564164,1119,516890.38784056425,8600237.374513777,"POLYGON ((3755000 2887000, 3755000 2888000, 3756000 2888000, 3756000 2887000, 3755000 2887000))",1000000.0,POINT (2.2834719170339484 48.833920192635375),4743.416490252569,4-5,349735.1557269145,79060.32420472286,428795.4799316374,True,True,True,3,subcenter
568263,1318,648043.1943021304,13418296.60781348,"POLYGON ((3759000 2891000, 3759000 2892000, 3760000 2892000, 3760000 2891000, 3759000 2891000))",1000000.0,POINT (2.3321532735040456 48.873426838649436),1581.1388300841897,1-2,506860.1355880214,129236.59889951324,636096.7344875346,True,True,True,4,subcenter
565193,3445,369497.9441381748,3481076.11731917,"POLYGON ((3756000 2896000, 3756000 2897000, 3757000 2897000, 3757000 2896000, 3756000 2896000))",1000000.0,POINT (2.284467110749073 48.91530637499955),7382.4115301167,7-8,255516.07022234218,92263.18365097324,347779.2538733154,True,True,True,5,subcenter
568269,248,410767.1088134237,4763925.209924638,"POLYGON ((3759000 2897000, 3759000 2898000, 3760000 2898000, 3760000 2897000, 3759000 2897000))",1000000.0,POINT (2.323812953235177 48.92706033533504),7516.648189186454,7-8,255516.07022234218,92263.18365097324,347779.2538733154,True,True,True,6,subcenter
568267,834,390292.9963954049,5342876.159698051,"POLYGON ((3759000 2895000, 3759000 2896000, 3760000 2896000, 3760000 2895000, 3759000 2895000))",1000000.0,POINT (2.32659559438626 48.909182727276225),5522.68050859363,5-6,293311.81011412054,96478.78040404772,389790.5905181683,True,True,True,7,subcenter
569279,325,367789.61656765704,3488537.043902977,"POLYGON ((3760000 2878000, 3760000 2879000, 3761000 2879000, 3761000 2878000, 3760000 2878000))",1000000.0,POINT (2.363682783765326 48.75814558939667),10500.0,10-11,189838.91000618864,76697.07283089223,266535.98283708084,True,True,True,8,subcenter
571362,673,401192.08091294504,4683193.022841434,"POLYGON ((3762000 2895000, 3762000 2896000, 3763000 2896000, 3763000 2895000, 3762000 2895000))",1000000.0,POINT (2.367330039379101 48.911982483952585),5700.87712549569,5-6,293311.81011412054,96478.78040404772,389790.5905181683,True,True,True,9,subcenter
575501,3926,485338.56436450157,5372368.053414808,"POLYGON ((3766000 2888000, 3766000 2889000, 3767000 2889000, 3767000 2888000, 3766000 2888000))",1000000.0,POINT (2.431250238118344 48.853109542443065),5522.68050859363,5-6,293311.81011412054,96478.78040404772,389790.5905181683,True,True,True,10,subcenter
579664,91,373072.3453338748,4375308.835829324,"POLYGON ((3770000 2899000, 3770000 2900000, 3771000 2900000, 3771000 2899000, 3770000 2899000))",1000000.0,POINT (2.470514255646585 48.95513940442011),13435.028842544403,13-14,134180.48360235672,87903.05289626148,222083.5364986182,True,True,True,11,subcenter
583800,1200,339128.44555799256,3026351.706688866,"POLYGON ((3774000 2881000, 3774000 2882000, 3775000 2882000, 3775000 2881000, 3774000 2881000))",1000000.0,POINT (2.549211095213534 48.79784328054232),15443.4452114805,15-16,131957.46799462402,71301.77969112185,203259.24768574588,True,True,True,12,subcenter
