Res_geo_unit,Share_Distance_2_3_Wheel,Share_Distance_Bike,Share_Distance_Car,Share_Distance_Foot,Share_Distance_Transit,Daily_Distance_Person,Daily_Distance_Person_Car,CarOwnership_HH
1,0.014666742703952513,0.067614234772349,0.21336661851351815,0.2578011713965036,0.44655123261367674,7.074,1.5090000000000001,0.326
10,0.04384071096921117,0.05276354811788249,0.6830741130710993,0.07155882067155483,0.14876280717025223,12.325000000000001,8.419,0.767
11,0.035185420555237386,0.015274743786873119,0.697682943560088,0.061714921317932554,0.19014197077986902,15.271,10.654,0.728
12,0.015847960639566294,0.056621724179183756,0.6658586280621371,0.0779618717974477,0.18370981532166514,12.031,8.011000000000001,0.778
13,0.010242729722766974,0.016896124140744245,0.7640895862050752,0.050874891734568974,0.15789666819684472,16.191,12.371,0.788
14,0.003380053370841341,0.01282744765569524,0.7455321215654582,0.04742584245781642,0.19083453495018865,14.673,10.939,0.812
15,0.024969717416260445,0.04729725216474862,0.6766842658288162,0.054136021601963825,0.19691274298821093,14.009,9.48,0.871
16,0.01919560567984829,0.017176035174505673,0.7944357683715856,0.037167550025453314,0.13202504074860705,16.571,13.165000000000001,0.938
17,0.01908410839959166,0.005451392967754742,0.7164817637565127,0.07391101155516314,0.18507172332097774,13.177,9.441,0.774
18,,0.006381112640772693,0.5986342371783286,0.09735032200325992,0.2976343281776387,10.915000000000001,6.534,0.714
19,0.013134178475977677,0.010532402172406327,0.662397337764526,0.06866813455090655,0.2452679470361834,13.247,8.775,0.781
2,0.011777138706309805,0.010713356939533054,0.30724226274911665,0.20690281759759419,0.4633644240074463,10.409,3.198,0.347
20,0.008452705782749113,0.001402455515921409,0.47502144893498577,0.12332537459845833,0.3917980151678853,10.694,5.08,0.705
21,0.02063092786086313,0.014003006118451513,0.7481511589654947,0.06432100461915675,0.15289390243603387,12.982000000000001,9.712,0.721
22,0.010758430901800991,0.04730549431890536,0.6553042347325547,0.06984355321173198,0.21678828683500698,10.918000000000001,7.155,0.659
23,0.023225358623821947,0.00922533968686952,0.8371203005319443,0.04348524492574789,0.08694375623161635,19.819,16.591,0.794
