geo_unit,Share_Distance_2_3_Wheel,Share_Distance_Bike,Share_Distance_Car,Share_Distance_Foot,Share_Distance_Transit,Daily_Distance_Person,Daily_Distance_Person_Car,CarOwnership_HH
10101,,,0.8192421977251857,0.004765028552045828,0.17599277372276845,16.265,13.325000000000001,0.761
10301,,,1.0,,,12.504,12.504,1.0
10303,,,1.0,,,27.736,27.736,0.5
10304,,,0.3832196677269664,,0.6167803322730336,18.636,7.142,0.755
10305,,,0.9510401407512602,0.008672279273850685,0.0402875799748891,16.771,15.949,1.0
10306,,,0.2407403364415595,,0.7592596635584407,16.444,3.959,0.89
10307,,,1.0,,,5.069,5.069,1.0
10308,,,0.7135921156786299,0.030492260424899713,0.2559156238964704,23.872,17.035,1.0
10309,,,0.03964389960931903,,0.9603561003906811,30.077,1.192,0.5
10310,,,1.0,,,19.221,19.221,1.0
10312,,,1.0,,,11.209,11.209,1.0
10313,,,0.1013543547082241,,0.8986456452917759,15.647,1.586,1.0
10315,,,0.7557932250049344,0.18479340390785748,0.05941337108720815,1.796,1.357,1.0
10316,,,0.9401289399893982,0.0012388885663439935,0.058632171444257856,16.785,15.781,1.0
10318,,,1.0,,,19.740000000000002,19.740000000000002,1.0
10319,,,1.0,,,20.364,20.364,1.0
10321,,,1.0,,,10.081,10.081,1.0
10322,,,1.0,,,12.646,12.646,1.0
10411,,,0.36063132030694084,0.06725126782673746,0.5721174118663217,2.588,0.933,1.0
10415,,,1.0,,,11.122,11.122,1.0
10503,,,1.0,,,10.497,10.497,1.0
10602,,,1.0,,,7.122,7.122,1.0
10604,,,1.0,,,1.335,1.335,1.0
10607,,,0.988533760617451,0.01146623938254897,,18.203,17.994,1.0
10611,,,1.0,,,6.1850000000000005,6.1850000000000005,1.0
10615,,,1.0,,,3.601,3.601,1.0
10617,,,0.8830022075055187,0.00662251655629139,0.11037527593818984,26.466,23.37,1.0
10703,,,0.09076012878543974,,0.9092398712145603,18.987000000000002,1.723,0.65
10704,,,1.0,,,27.034,27.034,1.0
10705,,0.26195900610025824,0.050054489069043064,,0.6879865048306987,9.778,0.489,0.5
