Res_geo_unit,Share_Distance_2_3_Wheel,Share_Distance_Bike,Share_Distance_Car,Share_Distance_Foot,Share_Distance_Transit,Daily_Distance_Person,Daily_Distance_Person_Car,CarOwnership_HH
101,0.0026136906001402982,0.010822633172579013,0.5236973386964253,0.22403499138462,0.23883134614623547,9.234,4.836,0.526
102,0.02974825179708665,0.02536512993631495,0.602561071037755,0.15309899559626933,0.18922655163257412,10.689,6.441,0.668
103,,0.007735633622261257,0.7592395857692542,0.09250648251547482,0.14051829809300964,13.417,10.187,0.719
104,0.006194934880353277,0.00950170662383848,0.6174128460203017,0.22497759557321756,0.14191291690228894,9.997,6.172,0.678
105,0.03221437412691621,0.003189564091638339,0.7479692652734418,0.09370739754319682,0.12291939896480684,13.529,10.119,0.792
106,0.004319353635949403,0.008137335252101877,0.7148452397226929,0.08768143323519709,0.18501663815405872,11.838000000000001,8.462,0.746
107,0.015212312903404985,0.008079671636055833,0.778378837751405,0.07998693461371309,0.11834224309542106,14.186,11.042,0.809
108,0.014547889546266698,0.0007950424210160864,0.8571029872588158,0.05899401226828525,0.06856006850561616,15.083,12.928,0.867
109,0.004910840299044777,0.0017261285836939566,0.8326606832992295,0.08355593919807039,0.07714640861996129,15.31,12.748000000000001,0.857
110,0.021111115489652398,0.008694300198249943,0.8494417427543326,0.04890062438539761,0.07185221717236745,17.075,14.505,0.873
111,0.004136096555022218,,0.8986852255396157,0.0302803994159096,0.06689827848945237,26.003,23.368000000000002,0.927
112,,0.038555103817253085,0.8306461955151733,0.03625122826245538,0.09454747240511824,16.921,14.055,0.783
113,0.013787395442397127,0.0006932733601704008,0.8678060043207261,0.027855042965313225,0.08985828391139314,22.654,19.659,0.951
114,0.017600754797283097,0.0004827552062244936,0.9217998689912048,0.02470831665978377,0.03540830434550383,18.743000000000002,17.277,0.898
115,,0.0009032161784814691,0.8551743274535336,0.018309430292691182,0.12561302607529365,29.255,25.018,0.904
116,0.010084008546722065,0.0029795642880172044,0.9001220116640511,0.022589134640494862,0.06422528086071465,25.452,22.91,0.929
117,0.005336439285875664,0.018639073652566375,0.880447851265618,0.02659981950139176,0.06897681629454831,24.849,21.878,0.926
118,0.01567857766128934,,0.8749118544106612,0.025784967554911505,0.08362460037313789,23.439,20.507,0.934
119,0.011064561834268712,,0.926721001776113,0.012423663219847158,0.04979077316977108,32.026,29.679000000000002,0.954
