Res_geocode,Share_Distance_2_3_Wheel,Share_Distance_Bike,Share_Distance_Car,Share_Distance_Foot,Share_Distance_Transit,Trip_Weight,HH_PNR,Daily_Distance_Person,Daily_Distance_Person_Car,CarOwnership_HH
074-021,,0.003217399706916871,0.37300390032316055,0.08078115258893943,0.5429975473809832,65.86575179111111,87,8.351,3.115,0.564
074-022,,,0.4849819249288326,0.07351291538682245,0.44150515968434495,69.04928922171429,80,11.554,5.603,0.566
074-023,,,0.49119052570177324,0.05093269544484585,0.45787677885338085,84.69330832935064,92,10.179,5.0,0.671
074-024A,,,0.7683635612324414,0.03754650136971561,0.19408993739784308,59.836953782698416,74,13.112,10.075000000000001,0.749
074-024B,,,0.8044130179018404,0.021687875232291376,0.17389910686586832,27.007189468214285,32,14.504,11.668000000000001,0.937
074-025,,,0.5019310166912555,,0.4980689833087446,16.50088294,3,15.062000000000001,7.5600000000000005,1.0
074-029,0.04206559910886329,,0.5074264608250603,0.0404851335497758,0.4100228065163007,47.839242718,59,13.169,6.682,0.793
074-033,0.046047441714118405,,0.7276477612591082,0.07452761521674783,0.15177718181002545,72.93180654783784,78,13.509,9.83,0.855
074-034,0.043811169427251384,0.008963487835090454,0.6360082734999539,0.0444370539417272,0.266780015295977,63.67284013390978,138,15.961,10.151,0.794
079-08-141,0.08980729361679687,,0.39653318155033446,0.0386711219767062,0.47498840285616245,46.82686232619048,69,15.119,5.995,0.515
079-08-142,,,0.8715570674715925,0.12844293252840758,,27.237717105,5,3.3240000000000003,2.8970000000000002,0.124
079-08-152,,0.003346260340960861,0.6868929057855485,0.02663359279904301,0.2831272410744476,70.92233447296296,111,13.97,9.596,0.968
079-08-154,0.021911311982965368,,0.7408983159124818,0.034206369937232625,0.2029840021673202,64.62186829521276,100,10.469,7.756,0.929
079-08-155,0.0387472840804705,,0.7458870861153094,0.02226905076883457,0.19309657903538557,68.09499447085715,109,15.588000000000001,11.627,0.933
079-08-158,0.04340872431520955,,0.6038585938526162,0.004724737594311134,0.3480079442378631,24.15174655726087,50,10.812,6.529,0.978
079-08-159,0.03752951131720263,,0.640067257427323,0.03581929686128981,0.2865839343941846,70.98791712016667,123,12.909,8.263,0.698
079-08-160,0.030156129619093208,,0.5193696961998276,0.0233824100491187,0.4270917641319605,89.61720300738637,99,14.311,7.433,0.814
079-08-161,0.008071379522439274,,0.6633167494511998,0.029449176157844568,0.2991626948685163,77.30829895759035,92,11.147,7.394,0.764
079-08-167,0.02539757339718789,,0.8305722336670858,0.022224476077480636,0.12180571685824562,52.302655302962954,80,14.655000000000001,12.172,0.967
079-08-170,0.012865305903710064,,0.6317559177753724,0.0019461151296224556,0.35343266119129496,45.47624156017544,62,16.838,10.637,0.841
079-08-171,0.016376729339594134,0.006585970756039171,0.7940431350369065,0.060908799833175715,0.12208536503428447,67.13784869375,71,10.838000000000001,8.606,0.766
079-08-172,,0.00922000756419791,0.6987256806741383,0.028726307479131435,0.2633280042825324,67.15510615032609,100,15.227,10.639,0.824
079-08-173,0.07176884017322048,,0.6322878656944957,0.05375726937956001,0.24218602475272394,72.18453877848485,66,10.007,6.327,0.601
079-08-174,0.015547883271089606,,0.5385283117216747,0.045426939951538875,0.40049686505569687,62.161435977428575,79,9.598,5.1690000000000005,0.745
079-08-175,,0.005576184390572292,0.5399282516516842,0.07239286203948207,0.3821027019182613,74.63038275364866,90,10.482000000000001,5.66,0.565
079-08-176,0.0127744615916701,,0.6521802562034567,0.06305762421549208,0.2719876579893811,79.71203283537037,111,14.933,9.739,0.74
079-08-177,0.014240929909913335,,0.4373970999444878,0.058393675225627655,0.4899682949199712,71.80159601534245,74,9.954,4.354,0.783
079-08-178,,,0.4192106927923824,0.06148348382725492,0.5193058233803628,95.5309622539759,87,8.423,3.531,0.578
079-08-179,0.01064215374860222,,0.20470167217323176,0.08768999093126825,0.6969661831468976,90.30610885525424,68,8.405,1.72,0.532
079-08-180,0.006151062526204964,0.007116798194106705,0.5350223284794299,0.1062506839622754,0.34545912683798313,75.33085561775,87,7.6000000000000005,4.066,0.719
079-08-181,0.007037341829043823,0.0005847429368214095,0.5562493500909449,0.06768111371165302,0.36844745143153673,71.32625461321429,89,12.48,6.942,0.845
079-08-183,,,0.41449438937666944,0.058531450716516775,0.5269741599068137,91.03701895671875,130,12.8,5.306,0.74
079-08-184,0.026083904868482194,0.0030099161993761216,0.6215195676640941,0.06646299138788216,0.28292361988016534,72.47767533680556,75,10.945,6.803,0.671
079-08-185,0.02904493178518436,,0.4867859447291723,0.043677179467686254,0.4404919440179572,65.33385135477273,101,11.562,5.628,0.881
079-08-186,0.021486465566963247,,0.5411254984498648,0.08480775592068664,0.35258028006248526,71.40309943087912,99,9.956,5.3870000000000005,0.842
079-08-194,0.01257125260411804,,0.6753930805767966,0.03790934353296948,0.2741263232861159,59.41288704949999,108,14.797,9.994,0.845
079-08-197,,,0.4929304704342185,0.09532749788634369,0.4117420316794379,60.655906227049186,68,7.989,3.938,0.634
079-08-198,,0.035722320890405466,0.5872076669284843,0.05654257011223507,0.32052744206887523,70.85795230453125,72,9.917,5.823,0.772
079-09-200,,0.00987676759628189,0.7179693053373419,0.007831644639853474,0.2643222824265228,47.19444144977778,54,18.098,12.994,0.921
079-09-201,,,0.862867564707528,0.002052083718629667,0.13508035157384232,72.09154036714285,86,15.178,13.097,0.787
079-09-202,0.004516777423293266,,0.574949965796758,0.028655396926302992,0.39187785985364587,79.63808534321839,98,18.022000000000002,10.362,0.74
079-09-203,0.015388572981074971,,0.8269881366178367,0.012503856923753977,0.14511943347733441,62.5977735412195,86,20.287,16.777,0.775
079-09-204,0.005172945993977469,,0.6323619373030731,0.029840066468972273,0.33262505023397704,72.59484503969925,142,13.476,8.522,0.947
079-09-206,0.035082502063651606,,0.6681689669723898,0.017478679515727572,0.27926985144823097,73.3651107515625,76,10.641,7.11,0.638
079-09-207,0.024366675599363518,0.003959786810348387,0.7130167798863085,0.04204231249751827,0.21661444520646145,55.18056013657894,74,13.344,9.514,0.761
079-09-208,0.03487270347653591,,0.5492949394431286,0.05295220932868509,0.3628801477516504,77.76759547616822,122,9.059000000000001,4.976,0.682
079-09-209,0.024295806488959515,,0.6182521940313459,0.09143425826999577,0.26601774120969873,49.74562834468085,48,11.435,7.07,0.685
079-09-210,0.06534779351114822,,0.3998759575918488,0.07834722425860596,0.45642902463839713,85.73827242763441,103,8.493,3.396,0.555
079-09-211,,,0.3240397341388959,0.06692895696652999,0.609031308894574,57.75964132585365,46,8.47,2.745,0.489
079-09-217,,0.04275734134595116,0.5611320920127456,0.04393964640432542,0.3521709202369778,51.4299300195122,47,10.266,5.76,0.636
079-09-222,0.050983438270420935,,0.43367607190401,0.08797601711918393,0.42736447270638517,71.81604319432836,72,11.383000000000001,4.936,0.662
079-09-225,0.022273143500860803,0.0012967888669253795,0.564766923470516,0.03879167872113914,0.3728714654405586,77.1980247632353,120,12.802,7.23,0.625
079-09-227,0.017626745029676413,,0.5824105302964323,0.06150122055133468,0.3384615041225566,89.64786937834951,106,11.913,6.938,0.546
079-09-228,0.055995849737487245,,0.618014855850234,0.07014825826749517,0.25584103614478354,68.38197475645161,71,11.496,7.105,0.724
079-09-229,0.01923579103908618,,0.5663561746176774,0.07192414876668934,0.3424838855765471,50.85250771872341,54,10.706,6.063,0.676
079-09-231,0.0126483762321414,0.011376187318065618,0.34222675396368635,0.06961541954428781,0.5641332629418189,97.10178759383179,111,10.683,3.656,0.612
079-10-232,0.005649462654447027,,0.5824276762358368,0.03551646999488253,0.37640639111483365,47.52679010596491,64,12.907,7.518,0.728
079-10-236,0.008413116072693457,,0.5571796335933212,0.032133294674231566,0.40227395565975377,58.59629239197531,81,20.766000000000002,11.57,0.74
079-10-240,,,0.28923362856237855,0.07037909271607533,0.6403872787215461,84.43107154709678,103,12.749,3.6870000000000003,0.607
079-10-241,,,0.33857348969245354,0.01381717020938227,0.6476093400981642,57.58619741611111,63,14.961,5.065,0.666
079-10-242,0.001957185054747195,,0.38995221551351833,0.048850978402657556,0.559239621029077,87.34837211834862,117,14.024000000000001,5.469,0.61
079-10-243,0.00144146931623053,,0.40673226649465466,0.051748098089353996,0.5400781660997608,81.72082266582278,88,11.563,4.703,0.561
079-10-244,0.017295763436085555,,0.32329925290552525,0.048761539544245176,0.6106434441141441,75.73064294411765,92,12.88,4.164,0.77
079-10-246,,,0.5305029362465566,0.04369196799267671,0.42580509576076675,76.39234114444444,93,13.966000000000001,7.409,0.536
079-10-247,,,0.6321923660096213,0.044224708480099004,0.32358292551027973,79.44821448107143,67,9.783,6.1850000000000005,0.576
079-10-249,,,0.5601014482045718,0.06174871360273823,0.37814983819268994,60.39972020983334,66,19.195,10.751,0.724
079-16-431,,0.00020518053555271907,0.7267806438044595,0.05244400682138953,0.22057016883859817,62.671941292972974,81,14.938,10.857000000000001,0.937
079-16-433,0.024655168020331197,,0.7705667963108929,0.01916005843866549,0.1856179772301105,85.93652468523437,140,14.386000000000001,11.085,0.943
079-16-434,,0.005698964830615422,0.683234776021705,0.029455161180077117,0.2816110979676025,58.22325560714286,66,12.129,8.287,0.908
079-16-435,0.01936542304654904,,0.5314818151442303,0.038700795019060465,0.41045196679016016,59.98582961157143,80,9.425,5.009,0.659
079-16-436,0.10899162981156496,,0.7330933576578879,0.007615769869681493,0.15029924266086558,31.734787062666665,32,16.673000000000002,12.222,0.94
079-16-437,0.028808561258625066,,0.7682017250022115,0.019599168880662418,0.18339054485850104,73.04957767891892,113,16.788,12.897,0.903
079-16-438,0.08444677464959165,0.005062207540483562,0.6577547133784715,0.013413166297357856,0.23932313813409553,51.63903293901235,84,15.921000000000001,10.472,0.959
079-16-439,,,0.8446980544180782,,0.1553019455819218,42.65741198,2,40.503,34.213,1.0
079-16-440A,0.017100065218048452,0.013119948224431358,0.8027226545965827,0.02711358301324969,0.1399437489476878,47.78122301378049,83,18.66,14.978,0.851
079-16-440B,0.0432147507366067,,0.8244368795868515,0.0018606275473431939,0.13048774212919856,69.70404879042553,50,19.283,15.898,0.988
079-16-442,0.008617911388447003,0.009165453648243631,0.5437743733056929,0.03770220502158407,0.40074005663603235,74.22298386698925,104,11.439,6.22,0.73
079-16-443,0.10486969504194135,0.015157865142879721,0.46648833075526097,0.06991006272251774,0.3435740463374003,66.30635157364864,81,9.183,4.284,0.616
079-16-444,,,0.6546516790683374,0.05145259147249372,0.2938957294591689,64.31481611641792,73,13.777000000000001,9.019,0.608
079-16-445,0.016157931158782914,,0.37802294414486126,0.05700262127040432,0.5488165034259515,59.896582300684926,78,10.821,4.09,0.578
079-16-446,,,0.46606326749742766,0.033592524569298274,0.500344207933274,79.76546085698112,64,8.761000000000001,4.083,0.49
079-16-447,0.012740222174220502,,0.6319323660197169,0.0354140420773284,0.3199133697287341,66.89778787266667,101,12.518,7.91,0.733
079-16-448,0.013228234247076703,,0.5306951187512836,0.03748250861869409,0.4185941383829456,59.61381655563381,83,10.175,5.4,0.725
079-16-449,,,0.3049387620254771,0.0465170067688052,0.6485442312057178,88.8679038870886,85,9.91,3.0220000000000002,0.469
079-16-450,,0.005285198501005934,0.6216877644937455,0.05015754520092944,0.322869491804319,77.47543988015151,77,11.837,7.359,0.692
079-16-451,,0.008651129814766349,0.22543101124070308,0.10512457843506483,0.6607932805094657,76.49559226233333,74,6.904,1.556,0.468
079-16-452,,,0.47211703003546884,0.056620530581780536,0.4712624393827506,62.68812377576271,68,11.349,5.3580000000000005,0.662
079-16-453,,,0.43810376844991206,0.06747433285721871,0.4944218986928693,45.717578085510205,55,9.181000000000001,4.022,0.8
079-16-454,,,0.44405190615732293,0.028372065670915443,0.5275760281717616,58.313704195,74,10.141,4.503,0.936
079-16-455,0.012340873176986913,,0.4759249475429854,0.06134922732842547,0.4503849519516023,72.06891265542373,136,11.493,5.47,0.79
079-16-456,0.0037015670303814662,0.01450957015826261,0.4555157467174549,0.03390935300675168,0.4923637630871494,89.00002732969696,112,13.318,6.066,0.722
079-16-457,,0.016936129584771007,0.45156951469439593,0.05286799136259138,0.4786263643582417,67.37172991507937,76,8.361,3.7760000000000002,0.598
079-16-458,0.006871810471467489,,0.35312411530537763,0.07913350430234176,0.5608705699208131,69.35374788909091,95,8.485,2.996,0.637
079-16-459,0.06563763588134686,0.016230347525308185,0.7900437229816999,0.02400998850894725,0.10407830510269778,31.182080267499998,60,11.086,8.759,0.876
079-16-460,0.06347552659609687,,0.6987658058935471,0.026876796517672222,0.21088187099268385,79.93263371523256,94,15.238,10.647,0.861
079-16-461,0.02939681295185992,0.018487383634636523,0.5516169362830533,0.08998061405125705,0.3105182530791931,39.14811901636364,49,7.644,4.2170000000000005,0.805
079-16-462,0.0702969257676764,,0.879196662539738,0.019058057867308163,0.03144835382527748,50.495684689166666,62,16.943,14.896,0.827
079-16-463,0.03895569318483159,0.019366002323115705,0.680772299280938,0.025195320739342306,0.2357106844717724,66.72457959717948,97,10.662,7.258,0.842
079-17-483,0.02371845622110265,0.024825082289399465,0.4764816174098171,0.04745894700573328,0.42751589707394744,70.8461502139806,111,13.222,6.3,0.682
079-17-485,,,0.5744211784569991,0.01310886552020256,0.41246995602279835,45.047737147096775,65,15.515,8.912,0.91
079-17-486,,,0.4181777889669411,0.025980382790498153,0.5558418282425608,74.88717562881818,122,12.654,5.291,0.559
079-17-488,,,0.45142579848505654,0.014793601443310846,0.5337806000716326,61.97131270636363,78,14.402000000000001,6.501,0.427
079-17-490,0.0021314645976190125,0.015587261513804223,0.5626483829324999,0.049497232463356036,0.37013565849272095,65.60781292091744,111,15.26,8.586,0.846
079-18-514,0.04563918686203797,,0.5791554605367173,0.011752575313525042,0.36345277728771974,77.36291480956523,71,17.969,10.407,0.926
079-18-515,,0.009665148639925144,0.6304904781015714,0.01257593823416194,0.3472684350243414,57.511041654270834,100,26.097,16.454,0.791
079-18-516,0.05819042422663802,,0.5936985242270495,0.0086095955733119,0.33950145597300063,62.436343074433964,112,21.679000000000002,12.871,0.909
079-18-517,0.07305478569945374,0.0003601663429605219,0.5949172258927627,0.021189615829045848,0.31047820623577715,33.650329471408455,74,15.457,9.196,0.776
079-19-534,,,0.8693497112635652,,0.13065028873643486,88.10671771105262,21,21.879,19.02,1.0
079-20-560,0.02252254020192333,,0.3397609516548476,0.07067309457157202,0.5670434135716572,78.98552930493334,82,10.972,3.728,0.629
079-20-561,,,0.5240984966287091,0.10661470309314279,0.3692868002781481,71.13936795072917,116,8.787,4.605,0.564
079-20-562,,0.0018310689290502312,0.3274769706337831,0.09986284193924895,0.5708291184979177,66.62251104807692,56,13.157,4.309,0.454
079-20-563,,,0.4963347128119665,0.04910144547611987,0.4545638417119136,71.83743292876923,73,10.169,5.047,0.606
079-20-564,,,0.6183600134454995,0.058940635533191364,0.3226993510213091,60.43609803615385,38,14.881,9.202,0.482
079-20-565,,,0.6086123699437619,0.04927720532724882,0.3421104247289892,48.28948663113207,60,9.962,6.063,0.543
079-20-566,,0.006992599302260019,0.5464914283675042,0.03954567734264135,0.4069702949875945,81.24789389389831,130,12.96,7.082,0.772
079-20-567,,,0.412908849363407,0.09286872331899847,0.4942224273175945,75.97776120986667,89,6.727,2.778,0.501
079-20-568,0.009588541372429807,,0.6403686024335372,0.02773094586290484,0.3223119103311281,78.47006955395062,180,13.688,8.765,0.899
079-20-569,,,0.4916145107390516,0.08591860265920194,0.4224668866017464,73.95146208847457,71,9.235,4.54,0.577
079-20-570,,,0.46951784043431516,0.07439094936555532,0.4560912102001295,59.3725505940625,66,15.959,7.493,0.614
079-20-571,0.007506793339095081,,0.5575752993359279,0.04289305073796226,0.39202485658701486,68.4842114384762,110,12.799,7.136,0.872
079-20-572,0.004048376979590383,,0.6495299081981737,0.05307045244687425,0.29335126237536174,70.35815955917525,98,12.412,8.062,0.926
079-21-585,0.014677425717379096,,0.7169694403625367,0.055604704111786724,0.21274842980829753,33.785714285714285,14,12.043000000000001,8.634,1.0
080-002,0.002865299597564532,0.020305379376598483,0.7654354225821046,0.040192162901202415,0.17120173554252988,70.61618725007752,127,17.903,13.704,0.916
080-003,,,0.7586658929292462,0.03531848719720688,0.20601561987354683,80.06375444909091,89,18.32,13.899000000000001,0.708
080-004,,,0.6606749492693748,0.01984457909728107,0.3194804716333442,76.88874361366668,128,22.868000000000002,15.108,0.815
080-005,,,0.92303248989356,0.004037798136532674,0.07292971196990723,26.380073753033336,28,29.369,27.109,1.0
080-006,,,0.558657272185941,0.04385850234458928,0.39748422546946977,79.67887656880504,171,13.987,7.814,0.798
080-007,0.015691342387382547,,0.6364227014066376,0.02002812321990546,0.3278578329860745,77.15856740672268,121,23.084,14.691,0.863
080-009,,,0.776758668044732,0.008472289093555414,0.21476904286171253,38.0342187634,54,16.868000000000002,13.103,0.942
080-011,0.006805851618904366,,0.818002939241895,0.015450207242505074,0.15974100189669557,84.5171354313125,166,18.568,15.189,0.894
092-001,0.015342795424736683,,0.8021520835442331,0.047548897800146366,0.1349562232308839,14.758936647923075,13,30.86,24.754,1.0
092-002,,,1.0,,,31.01345851,2,22.871000000000002,22.871000000000002,0.411
092-004A,,,0.5553814331599887,0.03488016577214123,0.40973840106787013,56.483508233720926,80,19.794,10.993,0.788
092-006,,,0.6630579689437156,0.03818582526231932,0.2987562057939651,70.53101848600001,114,16.795,11.136000000000001,0.844
092-007,,,0.5662668473131754,0.04044919054371687,0.3932839621431077,67.76249441158416,102,17.459,9.886000000000001,0.889
092-008,,,0.5887474658550688,0.049402020333690226,0.361850513811241,96.5674579664122,122,17.019000000000002,10.02,0.81
092-009,0.022346294362477898,0.0071749464976790765,0.4359254182901755,0.07667174444778342,0.45788159640188403,78.45703038189474,98,11.356,4.95,0.544
092-010,0.0021726554154494876,,0.4259203928320385,0.06554675723963892,0.5063601945128732,87.02873180283187,110,14.455,6.156,0.699
092-015,,,0.5972166554923518,0.050022055326252646,0.3527612891813955,70.44102314936842,101,15.285,9.128,0.782
