Res_geo_unit,Share_Distance_2_3_Wheel,Share_Distance_Bike,Share_Distance_Car,Share_Distance_Foot,Share_Distance_Transit,Daily_Distance_Person,Daily_Distance_Person_Car,CarOwnership_HH
1,0.029086363703356904,0.030069841873253636,0.4609353045875083,0.12245130282788763,0.3574571870079935,13.506,6.2250000000000005,0.542
10,0.003653721749909488,0.04071165955218419,0.6680651081003272,0.13251594484121315,0.15505356575636597,9.649000000000001,6.446,0.776
103,,,0.9946708725120786,0.005329127487921425,,5.36,5.332,0.844
104,,,0.7327280893539468,0.2672719106460531,,1.0230000000000001,0.75,0.77
105,,,0.9870688040617166,0.012931195938283558,,1.2790000000000001,1.2630000000000001,0.936
106,,,0.9139371600100707,0.08606283998992918,,1.285,1.174,0.91
107,,,0.9373933688909197,0.017392612690794583,0.04521401841828565,7.1930000000000005,6.742,0.957
109,,,1.0,,,0.20800000000000002,0.20800000000000002,0.888
11,0.007611119090609285,0.022486247605025194,0.5733825991475998,0.09595887477607518,0.30056115938069056,13.75,7.884,0.793
110,,,0.86270831317952,0.1372916868204801,,1.422,1.227,0.941
111,,,0.8268611344932651,,0.1731388655067347,1.313,1.086,0.866
113,,,1.0,,,0.562,0.562,0.734
115,,,1.0,,,2.213,2.213,0.84
117,,,1.0,,,0.198,0.198,0.82
118,,,0.6789688967693117,,0.3210311032306883,1.743,1.183,0.74
12,0.005852430526612066,0.0855480306227609,0.5167287612271085,0.09250165120182247,0.299369126421696,12.23,6.32,0.675
120,,,1.0,,,4.642,4.642,0.854
121,,,1.0,,,1.963,1.963,0.864
122,,,0.974700099888997,0.024139564570089585,0.0011603355409132781,6.635,6.4670000000000005,0.926
13,0.024742039660065492,0.003048518814470035,0.6749160242509121,0.06551720834967241,0.23177620892487993,14.605,9.857,0.789
14,0.009226725363577968,,0.6323024763689689,0.05066780234151246,0.30780299592594074,14.648,9.262,0.677
15,0.011584032576462368,0.04315477957309204,0.5761277958633721,0.07214201942527705,0.2969913725617963,11.831,6.816,0.58
16,0.01047369200166572,0.027174972903464715,0.5703054318978741,0.06873413357519131,0.3233117696218041,13.942,7.9510000000000005,0.754
17,0.03563931489206163,0.0315168654217006,0.6520377949472207,0.06606426964088558,0.2147417550981314,14.156,9.23,0.843
18,0.0039019138893598986,0.025924155776690556,0.6974919890772293,0.06926864015945103,0.2034133010972692,17.253,12.034,0.818
19,0.010612209885831945,0.017026769041297914,0.6115185932125858,0.06916907040125554,0.29167335745902884,13.738,8.401,0.712
2,,0.060211902371359254,0.3752727564633472,0.12491145520139789,0.43960388596389566,11.319,4.248,0.575
20,0.017009103684694535,0.008574030465724629,0.748624573118622,0.06835979635028362,0.1574324963806752,15.194,11.375,0.883
21,0.02008238552373574,0.0060904041615684225,0.7744106120993036,0.032584414613217455,0.16683218360217472,18.957,14.68,0.917
22,0.008158374799266238,0.03960701125293683,0.7783510615301326,0.029174027316504904,0.1447095251011595,15.561,12.112,0.914
23,0.03060384641576754,0.01894580552190163,0.6451006858354881,0.06051803904904897,0.2448316231777938,16.111,10.393,0.779
24,0.016047300000168425,0.01198676393114076,0.6662200355161222,0.044215410615419684,0.261530489937149,16.426000000000002,10.943,0.814
25,0.007472143885095044,,0.7591289052114107,0.05443392601739949,0.17896502488609475,15.541,11.797,0.808
26,0.021765573330043322,0.018995078012553693,0.7864400205830753,0.028411867093831894,0.14438746098049574,18.252,14.354000000000001,0.961
27,,0.011958512295134833,0.7078929834811738,0.06555297255318529,0.21459553167050616,15.382,10.889,0.86
28,0.011296074768966219,0.010199126706058527,0.7782596239838726,0.0379606985362068,0.16228447600489584,13.827,10.761000000000001,0.925
29,0.020816389246765907,0.002720381598395994,0.7387560618352814,0.03354950552889372,0.2041576617906628,17.274,12.761000000000001,0.765
3,,0.023260541139066643,0.5164387071315023,0.14071025056235203,0.3195905011670791,12.239,6.321,0.688
30,0.003281688483031744,0.019045108016922548,0.5644566849649921,0.04371884495063331,0.36949767358442015,17.462,9.856,0.709
31,,0.01650855369175264,0.7603624934971498,0.0331170539302609,0.19001189888083664,24.193,18.395,0.83
32,0.005244771033516024,0.018239675319110662,0.7550522669991698,0.04245078016718641,0.17901250648101702,13.841000000000001,10.451,0.902
33,0.03835828555331421,0.0011346863338254996,0.7728167616749001,0.025567204933174142,0.16212306150478603,21.903,16.927,0.933
34,0.019017006056027852,0.004201676382598961,0.8109008118832076,0.030555514284975747,0.13532499139318974,18.316,14.853,0.924
35,,0.013482771754205411,0.8691147677982883,0.028375475619340385,0.08902698482816593,19.299,16.773,0.931
36,0.026809230297280242,0.011572354567827493,0.8025332093163358,0.015928936796052312,0.14315626902250417,29.471,23.651,0.989
37,0.00917595637022915,0.018242268828734202,0.7475845116151477,0.026528209487605137,0.19846905369828383,24.587,18.381,0.906
38,0.004572115265782995,0.007828173455483886,0.7563581020251837,0.023574202995118032,0.20766740625843128,22.12,16.73,0.908
39,,0.0114231641413406,0.8907782005556055,0.013416339641867643,0.0843822956611862,26.154,23.298000000000002,0.954
4,,0.044224707090311864,0.5803379991323471,0.12590962153728347,0.24952767224005762,12.772,7.412,0.641
40,0.02233577961491099,,0.8392061115691278,0.016858650724148792,0.12159945809181237,26.998,22.657,0.936
41,0.01801537799266247,0.026581489820045625,0.7652158641760601,0.02506845394997382,0.16511881406125792,16.830000000000002,12.878,0.965
42,0.005393039068223741,0.014908379641626685,0.8359234417192105,0.022363317685072635,0.12141182188586631,20.92,17.488,0.914
43,0.017900179919355018,0.0014514165732018075,0.7668477229602871,0.023735574293585825,0.19006510625357037,19.957,15.304,0.952
44,0.015075149920863418,0.0004369422095693279,0.8347599728941462,0.019327925241894153,0.13040000973352692,24.696,20.615000000000002,0.983
45,0.015511495210264566,0.03729187833797678,0.7845037647781474,0.029677553280328527,0.13301530839328266,17.507,13.734,0.932
46,,0.012475100504925426,0.7290281807219275,0.03815794940628007,0.2203387693668669,20.32,14.814,0.926
47,,0.0017217789042227134,0.7721726619720438,0.0175047005643667,0.20860085855936678,17.674,13.647,0.889
48,0.0059340935378720495,0.00503993429089354,0.8454758590277751,0.025280737631422967,0.11826937551203633,26.097,22.065,0.913
49,0.002828733120671974,,0.8067350651740125,0.010373988257438039,0.18006221344787746,29.947,24.159,0.968
5,0.004024198648993008,0.03861885740709297,0.5384039755592972,0.12156431364137528,0.29738865474324155,14.211,7.651,0.639
50,0.010061389669559986,0.011441175124932392,0.8316504642640217,0.02423228104588673,0.12261468989559925,26.176000000000002,21.769000000000002,0.87
51,0.021894787112106417,0.007015577816967539,0.8514082136185842,0.019448053424182727,0.10023336802815902,27.088,23.063,0.959
52,0.0063603915068154064,0.0011927216145736768,0.8827639682859812,0.015474245360865327,0.09420867323176442,25.441,22.458000000000002,0.867
53,0.005523644655775922,0.001785797233200805,0.817855108420114,0.006067705969105562,0.1687677437218037,29.355,24.008,0.968
6,0.024244996324164637,0.035560380098229,0.541417390578777,0.11120683967421413,0.2875703933246152,15.383000000000001,8.329,0.774
7,0.03965363728529644,0.04293133047867722,0.5923258355027035,0.06611335846483488,0.258975838268488,14.869,8.807,0.694
8,0.019500482016658244,0.007741138068369089,0.6934906506539426,0.04923545733408239,0.23003227192694778,16.137,11.191,0.784
9,0.010780095501064912,0.021938165340333902,0.6614257354793602,0.09383548733340913,0.21202051634583186,14.818,9.801,0.781
