GBDT,LR
-0.13222247508544505,-95.58592469068013
-2.5525820910899544,-7.001615467595414
-0.6836561367401488,-10.397783597359567
-0.07692057094209281,-226.50015441550877
-194.8129299049732,-2589.4011702924377
-0.7980092074655689,-2.304873991764604
-0.7848976922076403,-23.20642593772992
-0.19205676412267803,-13.498980174463176
-1.6461624653479947,-67.00216933267953
-0.017897402555436592,-29.931634906797836
-2.2596809065065218,-0.34713136357999286
-160.15341934067115,-3350.9031405684273
-2.7675626571950795,-495.57474112263566
-0.024650260023534987,-4.863292135166591
0.2015357025729525,-4.322201638762193
0.10277353632644026,-43.991324560698416
-13.946458458761361,-259.8084556170568
-0.14987691223505828,-0.49386552606208034
0.014917552931975275,-0.3632145292775055
-1.8969756799864554,-69.29252962780033
-214.15830003895954,-1823.3564495621365
0.4065193926034486,-32.74498525308529
-0.21457806682364078,-1.3835060782366173
-1.3192386751778287,-17.76964442997472
-0.9028526132096917,-13.940922465028391
0.27089744440548635,-6.882101613953112
-0.055613243778218635,-5.853079157842279
-0.5826907882803825,-6.423157634594484
0.07123618654511454,-4.1063813678451035
-17.632180087808663,-229.98327192079674
