GBDT,LR
0.592498422054613,0.5605687913874157
0.5315201120994063,0.5229923741492581
0.5751809458795076,0.5261592308474986
0.543964155339181,0.5263107376955986
0.4975436840906108,0.5107764164253827
0.5096084205288476,0.5262366670842169
0.40498053672260004,0.523377891630494
0.52905974754148,0.45932971395434097
0.6001950038362146,0.565939160224045
0.6295823488914061,0.5742406940024436
0.5419714910587147,0.5101320784813784
0.49090774644747504,0.49657740543650153
0.5234010400691265,0.5888257217968136
0.5465578687121648,0.518535021557236
0.5757285955643165,0.5191977916271184
0.4940634709963906,0.5174871785648494
0.5584891867342089,0.566787389315285
0.551640470095116,0.524681011609592
0.5312439654085728,0.4965976483220774
0.5423564538509659,0.537147107965179
0.587888433137546,0.5518829550783688
0.5145078741627995,0.5371657891212986
0.530594900749189,0.5122661944392642
0.6017085960566042,0.5499673571061857
0.48570644170032273,0.47488219895984984
0.4352951887876043,0.46285575106587906
0.552767280344827,0.4841357184189433
0.5643443062803517,0.5846507457243003
0.5538132880816997,0.5139836889681547
0.6316530664154434,0.5737508440369203
0.5102483872538053,0.4778756317306567
0.4900177433595134,0.556709277562184
0.5839199405137725,0.5248737750444806
0.5633381143241163,0.5393581917021975
0.5197822685680197,0.5226356388765391
0.5375631254741301,0.5472188909282293
0.5388016126164271,0.4770098279032199
0.5351579425174477,0.5136707260349074
0.5846859981902481,0.5449801158062786
0.5423608022826842,0.5291379437921956
0.5256294340981105,0.5330142374057893
0.5266038770730169,0.5097869066695051
0.6040659435579336,0.5687657143728773
0.47037672270866693,0.48311418859683664
0.5639316330298807,0.5160198018138624
0.5253812478413058,0.5270415566434798
0.636849154666924,0.5533191638588044
0.552206879547805,0.5267151752816494
0.5114394305818231,0.5005806755681372
0.49848655943055853,0.5119491648398953
