city,param,coefficient,p
Berlin,Age,27.309182016824263,0.0032174103932282
Berlin,Commute_Trip,73.85204016999303,0.0001164556461518
Berlin,DistCenter_res,209.34643195743536,1.025257860281578e-22
Berlin,DistSubcenter_res,55.10900374760951,0.0859274076159002
Berlin,UrbPopDensity_res,-1.19211433484522,0.3594642954364533
,,,
Berlin,IntersecDensity_res,-20.212577505392098,0.007369726646061
Berlin,street_length_res,-4.518151623892228,0.1872336318034594
Berlin,LU_UrbFab_res,2.29445656237622,0.5160995098015388
Berlin,LU_Comm_res,-5.0103583473460365,0.3483787193230821
Paris,Age,10.982161342462978,0.4693154121104123
Paris,Commute_Trip,91.05831344371019,9.289367432115416e-07
Paris,DistCenter_res,129.76332517072004,4.6885654756074243e-07
Paris,DistSubcenter_res,57.51875293319418,0.1259116938807067
Paris,UrbPopDensity_res,-0.58723592238935,0.5680121623625355
,,,
Paris,IntersecDensity_res,2.584604087017488,0.626019775610698
Paris,street_length_res,-5.686413206014192,0.4353155998457073
Paris,LU_UrbFab_res,-3.394534830028042,0.5322238664711293
Paris,LU_Comm_res,-9.226244838761557,0.2475982439173774
Madrid,Age,15.574821163650856,0.2737366538609984
Madrid,Commute_Trip,48.80037619919062,1.1352057485040327e-05
Madrid,DistCenter_res,116.7580135725766,1.41919913962231e-25
Madrid,DistSubcenter_res,149.26520697452372,4.3027797657390893e-10
Madrid,UrbPopDensity_res,-1.4633039368463199,0.0427507434449067
Madrid,UrbBuildDensity_res,-0.14334928492923418,0.7535583624446915
Madrid,IntersecDensity_res,-9.067296574791907,0.0075438705316538
Madrid,street_length_res,8.765315343655491,0.0793932937035821
Madrid,LU_UrbFab_res,-5.859504892362398,0.2325146138800035
Madrid,LU_Comm_res,-2.062802142053665,0.5981885885991935
,,,
Wien,Commute_Trip,281.79805314125633,0.0138558441472294
Wien,DistCenter_res,271.19435958559507,0.0627239290236616
,,,
Wien,UrbPopDensity_res,-19.4608429616333,0.0492975812124095
,,,
,,,
,,,
,,,
,,,
France_other,Age,24.87565044219427,0.0408917900169195
France_other,Commute_Trip,94.19694086809646,1.0224398613305011e-16
France_other,DistCenter_res,176.10648850735456,1.5271636364377898e-16
France_other,DistSubcenter_res,20.866742163165235,0.5006106578331081
France_other,UrbPopDensity_res,-9.23322884821526,0.0055920093673255
France_other,UrbBuildDensity_res,4.859658419023916,0.730825947078296
,,,
France_other,street_length_res,12.770815923545069,0.0029560925473697
France_other,LU_UrbFab_res,-12.79200314753078,0.0050836936154971
France_other,LU_Comm_res,-21.93872552802986,0.0077662967323047
Germany_other,Age,17.74106385989426,0.2329164567664824
Germany_other,Commute_Trip,34.50639296438206,0.0487955309256401
Germany_other,DistCenter_res,184.69673585466816,4.2085350610931273e-05
Germany_other,DistSubcenter_res,66.74118201358777,0.3457550801700298
Germany_other,UrbPopDensity_res,-2.9435706388108,0.3754167431810563
Germany_other,UrbBuildDensity_res,65.94476614664498,0.181978261545095
,,,
Germany_other,street_length_res,-2.34273064133543,0.6013950020909893
,,,
Germany_other,LU_Comm_res,-19.70759420198291,0.0544483946356319
