param,coefficient,p
Intercept,4041.220832932988,0.29305772092853877
DistSubcenter_res,-48.41391495550107,0.7003549445826112
DistCenter_res,196.26389496388867,0.14195002900197598
UrbPopDensity_res,-0.018187159559387073,0.6528259693345714
UrbBuildDensity_res,-5.498686993905053e-05,0.6779504131859676
IntersecDensity_res,10.754576624138029,0.6482858307267451
street_length_res,-14.358114507569564,0.4597811505294861
LU_Comm_res,1773.7813253710028,0.5202184581271322
LU_UrbFab_res,-1394.3255835803034,0.5609478626686158
bike_lane_share_res,-1375.2194619779766,0.5906100694237676
Commute_Trip,708.5403451436541,0.6483879943886858
Age,21.185765663998268,0.4618998293909655
