param,coefficient,p
Intercept,391.24585665354005,0.5829501577397749
DistSubcenter_res,50.89621779787978,0.4680724018797066
DistCenter_res,188.06729957641934,0.0017756721567291616
UrbPopDensity_res,-0.0212027626381413,0.49476584436452903
UrbBuildDensity_res,-5.761223555474514e-05,0.4065056010162018
IntersecDensity_res,0.2399665567632161,0.7016959409032718
street_length_res,12.237636244809687,0.18686740896669068
LU_Comm_res,526.0995879973239,0.6060344184410497
LU_UrbFab_res,309.0176703027979,0.6225565079689676
Commute_Trip,9225.465130699253,0.0005056857488929625
Age,-3.103129544317538,0.6495234676240913
