param,coefficient,p
Intercept,1521.3148167104157,0.35763776155719484
DistSubcenter_res,-7.523358647911359,0.537687635287404
DistCenter_res,506.7455637347952,0.22341970034161643
UrbPopDensity_res,-0.06409476172775787,0.32010750580980385
UrbBuildDensity_res,2.172596876885446e-05,0.6587024705123118
IntersecDensity_res,6.906746908655981,0.5257347050706003
street_length_res,8.789325628970147,0.4446920698549448
LU_Comm_res,-3246.2929276949117,0.07319106907977052
LU_UrbFab_res,-1132.8049549071552,0.3792133119589558
Commute_Trip,2241.3553807740414,0.35820024498894654
Age,-17.436995977335357,0.4592818099984507
