param,coefficient,p
Intercept,13640.289148860284,0.11583774514128496
DistSubcenter_res,29.969926806783423,0.6331799004207095
DistCenter_res,132.21124084714077,0.5260802170646803
UrbPopDensity_res,-0.1746730089358698,0.2733120222977735
UrbBuildDensity_res,4.014482553790923e-05,0.5196421636762504
IntersecDensity_res,-59.02746422660762,0.09552190144149714
street_length_res,-47.89135155524511,0.15270941014451614
LU_Comm_res,-6428.068086405763,0.25339446359296985
LU_UrbFab_res,1570.0900175220688,0.6588170994506684
bike_lane_share_res,-4432.139116342979,0.5429049561584042
Commute_Trip,25001.77634409522,0.047006483361930224
Age,-55.77100146821834,0.5346913155367355
