param,coefficient,p
Intercept,1294.901941528346,0.5206143077040856
DistSubcenter_res,-69.90083488152635,0.1725071733012678
DistCenter_res,200.27830608541328,6.778601273659757e-06
UrbPopDensity_res,-0.02081317947384577,0.5751719292366344
UrbBuildDensity_res,2.650353176240995e-05,0.5832879357673953
IntersecDensity_res,-18.480741519067536,0.17126315546966078
street_length_res,0.6196880937784486,0.5820167352295491
LU_Comm_res,-2337.031043956189,0.060349927180054594
LU_UrbFab_res,-1563.6104794209148,0.10200520707551754
Commute_Trip,9528.926407535604,0.0007755108605678491
Age,66.33153406494505,0.058110251860881375
