param,coefficient,p
Intercept,2541.677108528707,0.15500550308691913
DistSubcenter_res,82.83141283166097,0.26063622766729533
DistCenter_res,78.29816612187682,0.06353389163690196
UrbPopDensity_res,0.053158843351474146,0.5158402071422155
UrbBuildDensity_res,-2.647518245238581e-05,0.6069949461298629
IntersecDensity_res,-16.304784748848284,0.19698453564445814
street_length_res,9.06268513819937,0.3471790937799455
LU_Comm_res,-1243.1541030080966,0.44620795302437033
LU_UrbFab_res,-1255.1184989313083,0.28895968639247877
bike_lane_share_res,642.3799613144213,0.6572570048487785
Commute_Trip,6022.4184959767645,0.003386823418895055
Age,25.480371774292315,0.21035408312553222
