orig_geocode,des_geocode,diff
14480,14480,0.0
14480,14478,1.7473030090332031
14480,14471,-0.7153358459472656
14480,14467,-2.5304412841796875
14480,14469,8.223579406738281
14480,14476,-3.9368438720703125
14480,14473,5.640209197998047
14480,14482,0.4440422058105469
14478,14480,-1.7473030090332031
14478,14478,0.0
14478,14471,-2.4626388549804688
14478,14467,-4.277744293212891
14478,14469,6.476276397705078
14478,14476,-5.684146881103516
14478,14473,3.8929061889648438
14478,14482,-1.3032608032226562
14471,14480,0.7153358459472656
14471,14478,2.4626388549804688
14471,14471,0.0
14471,14467,-1.8151054382324219
14471,14469,8.938915252685547
14471,14476,-3.221508026123047
14471,14473,6.3555450439453125
14471,14482,1.1593780517578125
14467,14480,2.5304412841796875
14467,14478,4.277744293212891
14467,14471,1.8151054382324219
14467,14467,0.0
14467,14469,10.754020690917969
14467,14476,-1.406402587890625
14467,14473,8.170650482177734
14467,14482,2.9744834899902344
14469,14480,-8.223579406738281
14469,14478,-6.476276397705078
14469,14471,-8.938915252685547
14469,14467,-10.754020690917969
14469,14469,0.0
14469,14476,-12.160423278808594
14469,14473,-2.5833702087402344
14469,14482,-7.779537200927734
14476,14480,3.9368438720703125
14476,14478,5.684146881103516
14476,14471,3.221508026123047
14476,14467,1.406402587890625
14476,14469,12.160423278808594
14476,14476,0.0
14476,14473,9.57705307006836
14476,14482,4.380886077880859
14473,14480,-5.640209197998047
14473,14478,-3.8929061889648438
14473,14471,-6.3555450439453125
14473,14467,-8.170650482177734
14473,14469,2.5833702087402344
14473,14476,-9.57705307006836
14473,14473,0.0
14473,14482,-5.1961669921875
14482,14480,-0.4440422058105469
14482,14478,1.3032608032226562
14482,14471,-1.1593780517578125
14482,14467,-2.9744834899902344
14482,14469,7.779537200927734
14482,14476,-4.380886077880859
14482,14473,5.1961669921875
14482,14482,0.0
