orig_geocode,des_geocode,diff
1705,1705,0.0
1705,1156,60.66357421875
1705,1139,-69.53429412841797
1705,1097,-60.52876281738281
1705,1219,-50.419761657714844
1705,1159,-46.65644836425781
1705,1307,-61.838356018066406
1705,1157,-41.70179748535156
1705,1099,-44.14561462402344
1705,1237,-59.0677490234375
1705,1169,7.0919189453125
1705,1309,-62.52095031738281
1705,1257,-56.73834228515625
1705,1109,51.12046813964844
1705,1465,32.58720397949219
1705,1239,-45.73188781738281
1705,1187,-32.54331970214844
1705,1324,62.98579406738281
1705,1259,-60.61084747314453
1705,1189,52.64714050292969
1705,1326,50.11863708496094
1705,1277,-63.09362030029297
1705,1127,-63.27937316894531
1705,1279,-63.89042663574219
1705,1328,110.020751953125
1705,1129,-26.624374389648438
1705,1069,-61.64148712158203
1705,1108,19.061111450195312
1705,1217,-8.316390991210938
1705,1067,-62.451568603515625
1705,1445,-66.23108673095703
1156,1705,-60.66357421875
1156,1156,0.0
1156,1139,-130.1978759765625
1156,1097,-121.19233703613281
1156,1219,-111.08333587646484
1156,1159,-107.32002258300781
1156,1307,-122.5019302368164
1156,1157,-102.36537170410156
1156,1099,-104.80918884277344
1156,1237,-119.7313232421875
1156,1169,-53.5716552734375
1156,1309,-123.18452453613281
1156,1257,-117.40191650390625
1156,1109,-9.543106079101562
1156,1465,-28.076370239257812
1156,1239,-106.39546203613281
1156,1187,-93.20689392089844
1156,1324,2.3222198486328125
1156,1259,-121.27442169189453
1156,1189,-8.016433715820312
1156,1326,-10.544937133789062
1156,1277,-123.75719451904297
1156,1127,-123.94294738769531
1156,1279,-124.55400085449219
1156,1328,49.357177734375
1156,1129,-87.28794860839844
1156,1069,-122.30506134033203
1156,1108,-41.60246276855469
1156,1217,-68.97996520996094
1156,1067,-123.11514282226562
1156,1445,-126.89466094970703
1139,1705,69.53429412841797
1139,1156,130.1978759765625
1139,1139,0.0
1139,1097,9.005531311035156
1139,1219,19.114532470703125
1139,1159,22.877845764160156
1139,1307,7.6959381103515625
1139,1157,27.832496643066406
1139,1099,25.38867950439453
1139,1237,10.466545104980469
1139,1169,76.62621307373047
1139,1309,7.013343811035156
1139,1257,12.795951843261719
1139,1109,120.6547622680664
1139,1465,102.12149810791016
1139,1239,23.802406311035156
1139,1187,36.99097442626953
1139,1324,132.52008056640625
1139,1259,8.923446655273438
1139,1189,122.18143463134766
1139,1326,119.6529312133789
1139,1277,6.440673828125
1139,1127,6.254920959472656
1139,1279,5.643867492675781
1139,1328,179.5550537109375
1139,1129,42.90991973876953
1139,1069,7.8928070068359375
1139,1108,88.59540557861328
1139,1217,61.21790313720703
1139,1067,7.082725524902344
1139,1445,3.3032073974609375
1097,1705,60.52876281738281
1097,1156,121.19233703613281
1097,1139,-9.005531311035156
1097,1097,0.0
1097,1219,10.109001159667969
1097,1159,13.872314453125
1097,1307,-1.3095932006835938
1097,1157,18.82696533203125
1097,1099,16.383148193359375
1097,1237,1.4610137939453125
1097,1169,67.62068176269531
1097,1309,-1.9921875
1097,1257,3.7904205322265625
1097,1109,111.64923095703125
1097,1465,93.115966796875
1097,1239,14.796875
1097,1187,27.985443115234375
1097,1324,123.51455688476562
1097,1259,-0.08208465576171875
1097,1189,113.1759033203125
1097,1326,110.64739990234375
1097,1277,-2.5648574829101562
1097,1127,-2.7506103515625
1097,1279,-3.361663818359375
1097,1328,170.5495147705078
1097,1129,33.904388427734375
1097,1069,-1.1127243041992188
1097,1108,79.58987426757812
1097,1217,52.212371826171875
1097,1067,-1.9228057861328125
1097,1445,-5.702323913574219
1219,1705,50.419761657714844
1219,1156,111.08333587646484
1219,1139,-19.114532470703125
1219,1097,-10.109001159667969
1219,1219,0.0
1219,1159,3.7633132934570312
1219,1307,-11.418594360351562
1219,1157,8.717964172363281
1219,1099,6.274147033691406
1219,1237,-8.647987365722656
1219,1169,57.511680603027344
1219,1309,-12.101188659667969
1219,1257,-6.318580627441406
1219,1109,101.54022979736328
1219,1465,83.00696563720703
1219,1239,4.687873840332031
1219,1187,17.876441955566406
1219,1324,113.40555572509766
1219,1259,-10.191085815429688
1219,1189,103.06690216064453
1219,1326,100.53839874267578
1219,1277,-12.673858642578125
1219,1127,-12.859611511230469
1219,1279,-13.470664978027344
1219,1328,160.44052124023438
1219,1129,23.795387268066406
1219,1069,-11.221725463867188
1219,1108,69.48087310791016
1219,1217,42.103370666503906
1219,1067,-12.031806945800781
1219,1445,-15.811325073242188
1159,1705,46.65644836425781
1159,1156,107.32002258300781
1159,1139,-22.877845764160156
1159,1097,-13.872314453125
1159,1219,-3.7633132934570312
1159,1159,0.0
1159,1307,-15.181907653808594
1159,1157,4.95465087890625
1159,1099,2.510833740234375
1159,1237,-12.411300659179688
1159,1169,53.74836730957031
1159,1309,-15.864501953125
1159,1257,-10.081893920898438
1159,1109,97.77691650390625
1159,1465,79.24365234375
1159,1239,0.924560546875
1159,1187,14.113128662109375
1159,1324,109.64224243164062
1159,1259,-13.954399108886719
1159,1189,99.3035888671875
1159,1326,96.77508544921875
1159,1277,-16.437171936035156
1159,1127,-16.6229248046875
1159,1279,-17.233978271484375
1159,1328,156.6772003173828
1159,1129,20.032073974609375
1159,1069,-14.985038757324219
1159,1108,65.71755981445312
1159,1217,38.340057373046875
1159,1067,-15.795120239257812
1159,1445,-19.57463836669922
1307,1705,61.838356018066406
1307,1156,122.5019302368164
1307,1139,-7.6959381103515625
1307,1097,1.3095932006835938
1307,1219,11.418594360351562
1307,1159,15.181907653808594
1307,1307,0.0
1307,1157,20.136558532714844
1307,1099,17.69274139404297
1307,1237,2.7706069946289062
1307,1169,68.9302749633789
1307,1309,-0.6825942993164062
1307,1257,5.100013732910156
1307,1109,112.95882415771484
1307,1465,94.4255599975586
1307,1239,16.106468200683594
1307,1187,29.29503631591797
1307,1324,124.82415008544922
1307,1259,1.227508544921875
1307,1189,114.4854965209961
1307,1326,111.95699310302734
1307,1277,-1.2552642822265625
1307,1127,-1.4410171508789062
1307,1279,-2.0520706176757812
1307,1328,171.85910034179688
1307,1129,35.21398162841797
1307,1069,0.196868896484375
1307,1108,80.89946746826172
1307,1217,53.52196502685547
1307,1067,-0.6132125854492188
1307,1445,-4.392730712890625
1157,1705,41.70179748535156
1157,1156,102.36537170410156
1157,1139,-27.832496643066406
1157,1097,-18.82696533203125
1157,1219,-8.717964172363281
1157,1159,-4.95465087890625
1157,1307,-20.136558532714844
1157,1157,0.0
1157,1099,-2.443817138671875
1157,1237,-17.365951538085938
1157,1169,48.79371643066406
1157,1309,-20.81915283203125
1157,1257,-15.036544799804688
1157,1109,92.822265625
1157,1465,74.28900146484375
1157,1239,-4.03009033203125
