orig_geocode,des_geocode,diff
16548,16548,0.0
16548,13599,-15.016284942626953
16548,13505,-4.351032257080078
16548,13595,-13.724601745605469
16548,10789,-11.991519927978516
16548,13597,-18.922027587890625
16548,13589,-13.337791442871094
16548,13503,-17.329627990722656
16548,13591,-19.29314422607422
16548,13593,-15.495162963867188
16548,13509,-14.545482635498047
16548,13507,-16.371692657470703
16548,10409,-2.003162384033203
16548,13581,-18.00033187866211
16548,13585,-15.32046890258789
16548,13583,-17.095584869384766
16548,10319,-11.930683135986328
16548,13587,-15.760215759277344
16548,13437,-7.0776519775390625
16548,10318,-11.231945037841797
16548,13439,-3.7728233337402344
16548,13403,-14.25057601928711
16548,13409,-6.109256744384766
16548,13407,-6.125530242919922
16548,13405,-19.099441528320312
16548,13435,-6.302818298339844
16548,13467,-8.490726470947266
16548,13465,1.012939453125
16548,13469,-5.09185791015625
16548,13629,-15.256072998046875
16548,13627,-16.831348419189453
16548,13355,1.870513916015625
16548,13357,-4.453342437744141
16548,13347,-9.91961669921875
16548,13351,-10.297901153564453
16548,13353,-9.548240661621094
16548,13349,-10.016712188720703
16548,13359,-6.98016357421875
16548,13159,-1.6870231628417969
16548,13129,-2.705402374267578
16548,13187,-6.105583190917969
16548,13125,4.026176452636719
16548,13156,-2.8728904724121094
16548,13189,1.0701980590820312
16548,13127,-1.4644012451171875
16548,13158,-5.100811004638672
16548,13051,3.4928359985351562
16548,13057,8.498851776123047
16548,13059,7.656742095947266
16548,12435,-10.412593841552734
16548,13088,3.8714027404785156
16548,12487,-14.903732299804688
16548,13053,8.66257095336914
16548,13089,-2.001354217529297
16548,13055,6.8488311767578125
16548,13086,0.7595176696777344
16548,10787,-9.277069091796875
16548,10781,-10.007415771484375
16548,12489,-18.44388198852539
16548,10783,-12.11251449584961
16548,12589,-10.853046417236328
16548,10785,-14.060600280761719
16548,10777,-10.46963119506836
16548,10779,-9.17535400390625
16548,10717,-5.521514892578125
16548,10719,-7.6275787353515625
16548,10707,-10.390510559082031
16548,10585,-9.9736328125
16548,10589,-16.310272216796875
16548,10625,-9.771560668945312
16548,10587,-13.944442749023438
16548,10623,-13.021644592285156
16548,10627,-11.957817077636719
16548,10629,-6.764507293701172
16548,10559,-12.799678802490234
16548,10557,-13.00509262084961
16548,10555,-9.1953125
16548,10553,-16.914283752441406
16548,10551,-11.320938110351562
16548,12526,-8.69076919555664
16548,10117,-9.027843475341797
16548,10119,-5.674537658691406
16548,10115,-9.876331329345703
16548,10179,-10.166229248046875
16548,10178,-4.059879302978516
16548,10963,-13.142894744873047
16548,10997,-15.122005462646484
16548,10969,-15.198219299316406
16548,10965,2.5310707092285156
16548,10961,-6.603420257568359
16548,10967,-10.847625732421875
16548,10999,-10.773086547851562
16548,10435,6.201496124267578
16548,10439,11.107833862304688
16548,10437,5.7340240478515625
16548,10405,4.367633819580078
16548,10407,-1.4918746948242188
16548,10245,-17.254985809326172
16548,10249,-4.036289215087891
16548,10243,-10.527999877929688
16548,10247,-6.120872497558594
16548,10369,5.400608062744141
16548,10823,-3.3291549682617188
16548,10367,1.4713859558105469
16548,10365,-0.5508308410644531
16548,10317,-15.993766784667969
16548,10315,-2.1691513061523438
16548,10713,-5.478672027587891
16548,10711,-8.155681610107422
16548,10709,-11.792827606201172
16548,12043,-8.11777114868164
16548,12055,-14.795963287353516
16548,12049,9.078201293945312
16548,12047,-7.278430938720703
16548,12059,-12.632820129394531
16548,12053,1.4277687072753906
16548,12051,0.22671127319335938
16548,12045,-8.450061798095703
16548,12057,-16.143653869628906
16548,12347,-6.026409149169922
16548,12359,-5.542350769042969
16548,12351,-5.927345275878906
16548,12437,-13.81582260131836
16548,12353,-6.541862487792969
16548,12101,-1.590576171875
16548,12357,-15.779911041259766
16548,12355,-6.872966766357422
16548,12439,-14.867809295654297
16548,12459,-12.513740539550781
16548,12679,8.071514129638672
16548,12687,6.246330261230469
16548,14053,13.905033111572266
16548,12685,10.150394439697266
16548,12681,-1.39556884765625
16548,12689,11.558731079101562
16548,12627,3.796611785888672
16548,12629,2.5765380859375
16548,12619,2.0071792602539062
16548,12621,-0.5077438354492188
