geocode,score_spatiotemporal_min
001,7.8313843773526965
002,10.424555021370768
003,14.207453117146905
004,12.358538682090936
005,6.983815138499258
006001,0.5704792533174086
006005,0.2584387385312138
006009,0.352638681831136
006011,1.4041181987811628
007,4.590590021388577
008,10.525948998303571
009,8.679286593224521
010,4.535445098667503
011,10.478576205946759
012,9.497428623514768
013,8.581596301111988
014,4.241645097042393
015,0.2999237146011994
016001,1.1799814585787447
016006,0.1991095031295693
016007,0.014850951873094619
017,1.2577842938692854
018,2.821106855001069
019,2.56771041060315
020001,11.133921311661215
020002,7.176882358676666
020003,4.3286176833070815
020007,0.3844487391763391
