geocode,score_spatiotemporal_min
01067,59.81980847673451
01069,78.41114969533324
01097,67.83410238803893
01099,6.116445131066653
01108,2.534147208071781
01109,12.51212187066342
01127,41.35958044096914
01129,14.901291983913074
01139,31.599008345861026
01156,4.037833208386231
01157,26.32615799498202
01159,52.782221423780854
01169,23.461290642073887
01187,25.132765159395277
01189,13.412304873326914
01217,25.10386405742638
01219,54.33747381266581
01237,45.22106672841467
01239,22.929097523976175
01257,23.772787023769556
01259,12.826244056369795
01277,58.05218010595754
01279,35.07237748981659
01307,62.99244863804073
01309,62.250749387277644
01324,20.444418098525034
01326,14.9017873669062
01328,2.153950917834083
01465,0.8306459481722754
