geocode,score_spatiotemporal_min
60306,
60308,
60310,
60311,98.05633157091684
60312,
60313,92.98259774462316
60314,25.48068153825564
60315,
60316,59.05315864665904
60318,53.354117252164066
60320,31.349742212503863
60322,41.12871639953468
60323,32.46341616593078
60325,62.07234887246932
60326,36.712584143792014
60327,36.77637349577276
60329,96.5635067638868
60385,35.85430223393373
60386,15.200215721699868
60388,5.4927384343265855
60389,14.918719713903789
60431,20.39351058573596
60433,10.563317366899463
60435,12.405394524188292
60437,1.2897160380947263
60438,4.995970884315041
60439,7.358116802093488
60486,25.13075497742187
60487,28.29124580715449
60488,6.789212538550965
60489,12.254155856599906
60528,9.512571313082766
60529,9.257933983046733
60549,1.7488006570245846
60594,57.889704998965875
60596,59.5494043651428
60598,17.410548228785576
60599,7.344560446619478
63065,4.010512691655261
63067,8.574411348416765
65929,3.928047530059245
65931,0.3440204619554635
65933,17.26604641302598
65934,17.9590812122893
65936,0.34305875294235416
