geocode,score_spatiotemporal
001,1192.7865345308892
002,1608.335074207633
003,2006.4203550512227
004,1629.693006879111
005,989.128360503506
6001,293.6363838358557
6005,256.05616377443533
6009,127.4444089274201
6011,516.493234561695
007,789.266104080666
008,1480.7313168805488
009,1388.8589414237033
010,949.1484495638407
011,1635.7265415480722
012,1096.4530021275477
013,892.9615668033994
014,586.5986342758445
015,291.13992415040536
016001,222.2624545047606
016006,17.2867523716987
016007,14.227837721552605
017,216.75472732084432
018,371.7521841981085
019,351.1837047604596
020001,1518.8574882617522
020002,1155.5979310301705
020003,785.4570298824902
020007,65.57425832528179
