geocode,score_spatiotemporal_min
101,56.35511499509375
102,59.47961062484847
103,37.87666683622659
104,45.11457923778007
105,35.61594480994919
106,36.84397805670481
107,27.462082796014453
108,11.957945341544848
109,18.374232907865306
110,23.011961019894898
111,11.579017496012035
112,24.648432476355634
113,8.502392580913595
114,10.239344660764353
115001,0.08049849475790695
115002,0.06059726715312614
115003,1.438979150486939
115004,1.2651149062826321
115006,0.445217479795076
115008,1.1813858301551672
116,15.192976505226623
117,14.557167137833442
118001,10.589066097078394
118002,3.8741617862277353
118003,7.856088092194159
118004,5.16050797539028
119,5.403420459878049
120001,2.981668872093943
120002,4.626324468680954
120003,2.8825905508533953
120005,0.7412951836029067
120006,3.2148146085900686
121001,0.21633645410034927
121003,0.5563157919146896
121005,0.2644480144491476
121006,2.7459527020911
121007,1.606535503378012
121008,1.110227016716217
121009,0.08289109342792153
121010,0.0844499861725405
122001,4.497184899660962
122002,10.460069970865652
122003,11.435014379928766
122004,7.2777095421696805
123,9.796129631239552
124001,0.9864144981333093
124003,7.913642911246422
124004,1.1454685580797284
124005,7.064287658720167
