geocode,score_spatiotemporal_min
001,53.27902404787737
002,49.47853044293811
003,32.00296140095723
004,32.88495129344402
005,26.68337212383104
006,22.816200854140256
007,21.33132244017847
008,19.40481967873821
009,17.084003277726865
010,11.78572967655931
011,17.190330742487937
012,12.373222423294303
013,12.071920748305562
014,11.123690586018922
015,6.437853229324546
016,9.786030030117049
017,10.602732710380085
018,9.321294853708022
019,15.079193514866054
020,5.552911568253355
021,0.8868300547705003
022,4.573033310026731
023,15.376753461208098
024,9.454407181425285
025,7.482443767599168
026,2.5008368298631534
027,10.47822024210555
028,7.402295386766807
029,8.916739918520948
030,12.303599044838553
031001,6.759070066565812
031004,0.27374864729440584
031006,0.44835622720288687
031009,4.218657574501109
031010,1.0485631951622854
032,13.496681027234517
033,0.20289156851392492
034,4.872977768415598
035001,0.028266128416778044
035003,0.10788718150210179
035008,0.8536809908812174
035009,0.08751026761959654
035012,0.03339671472189463
036001,0.3284915571027716
036003,0.007999488556370307
036005,0.26240773176163024
036007,1.2780496955664482
036009,0.7855872359657661
036010,0.07369473328976903
036013,3.6585640125579237
037,0.006664250315075014
038001,0.8783684139351827
038003,0.6238716207934252
038007,0.01519893983126904
038009,0.27546075415998783
038012,0.056997261763612396
038013,0.2656166495560695
039001,0.038502433239226946
039002,0.03675046103029202
039004,0.051574115145517754
039006,0.02690794862959193
039008,0.020577356129105103
039009,0.02051267950242292
039012,0.00400240777536265
039013,0.00012285830290034938
040001,0.015748209281703375
040003,1.7693329859688354e-23
040005,3.7331423443556785e-07
041001,0.8645130485314519
041003,0.8639285107564443
041004,0.09064983128341335
042,1.3375714062885569
043001,0.21795363692551126
043003,0.1044991936160935
043006,0.0041440051070469434
044001,0.0001763979868567719
044004,2.6842570643395948e-05
044010,8.478790124840137e-05
045,3.658390113439922
046,0.37403469707685383
047001,10.751237786240036
047002,9.844695524821123
047003,1.3968855259578528
047007,1.1920085315376399
047013,2.0730896351823738
048001,0.46191937470104544
048003,0.40721984092608826
048005,0.06297754672211836
049001,0.005130837104693714
049004,0.0037555143355069917
049011,0.008159792917823561
050001,0.009349453183041536
050005,0.07037574322915183
050009,0.005488555050832496
051001,0.484091360552094
051003,0.5517485099471724
051005,0.39482266503778773
051007,0.2279673721729731
052,0.5575276482386508
053001,0.03718435167111905
053003,0.030695974659738202
053004,0.0018393600193126098
053006,0.029106062281295142
053010,0.5690999694106372
053017,0.8796991730113064
053018,0.01034193442410118
