geocode,score_spatiotemporal_min
101,32.207219067195076
102,49.145335187993695
103,47.07416418532906
104,37.201688449933584
105,23.686157047364624
106,16.869337728819048
107,10.628093082941696
108,4.593314528817716
109,9.751821310635416
110,17.17572053583968
111,19.175198459671204
112,30.89244588729405
113,17.489501705757615
114,10.892809095915789
115,9.396836236622732
116,46.66265713565101
117,50.53250721638333
118,40.13571515579322
119,33.060579378699586
120,32.75238095827034
121,29.303085678761388
122,23.469622509579892
123,33.00609360201875
124,23.711656414193918
125,44.20258920123139
126,25.33366438274936
127,47.44450120401828
128,49.539540212630406
129,52.26335864857186
130,24.485274329762333
131,11.711508256118368
132,37.71412749862189
133,18.61532219323535
134,29.61142717831625
135,17.382431801774583
136,18.7424846304143
137,19.658884297981256
138,38.549720104538665
139,27.778398618147502
140,21.24743599111726
141,17.73770266922114
142,20.384170129570382
143,16.69133315012021
144,12.798428359884928
145,20.858094060454007
146,46.96532905967364
201,16.49933855981886
202,11.666098501355005
203,16.798504640450137
204,17.06975151770704
205,15.015127857524758
206,12.35409664256476
207,7.576161785586597
208,14.935221486125771
209,7.119300917308552
210,2.151413167156659
211,7.7615780797857665
212,6.167646626258287
213,6.730318263675678
214,2.8262476393839515
215,2.8965049557991893
216,1.6059768153870655
217,3.72290382565395
218,3.4250740451899535
219,0.22058900326955064
220001,0.5497275942355038
220002,0.8014506219711073
220003,0.21177712282009584
220004,0.20504688365039522
221001,4.979982286945405
221002,1.885571667321478
221003,0.032632471664791184
221004,0.26987063884912943
221005,0.34434417353943075
222001,0.0012956777730820219
222002,0.36212242259665267
222003,0.004518470789043757
222004,0.7827091250480749
223001,0.14569671969508996
223002,0.3700003368236796
223003,0.03520710685557307
223004,0.07898694068876178
223005,0.01338207514297712
223006,0.05132248906833831
223007,0.2382220168602499
223008,0.011545017705888068
224001,0.4548702564185725
224002,0.04707433358733263
224003,0.29579487237274554
224004,0.05160908787236053
224005,0.020626344494514094
224451,0.18761964990967775
225001,8.890476519453701e-05
225002,0.041504663261688765
225003,0.006351631871830553
225004,0.02672783983521545
225005,0.24638713708781362
225006,0.363972685499283
225007,0.03667549810045876
225008,0.06318237531967404
226,7.217513384234661
227,9.835980491589204
228001,1.1294734877902382
228002,2.2596416201052905
228003,4.92526867548426
228004,0.6421579404363276
228351,4.06188111124967
229,7.131036477260589
230001,5.223075583549631
230002,7.72782759497379
230003,4.826107365736846
230451,3.4293013436899353
230756,13.069086603989904
230951,1.2639555782722447
231,11.125543780502557
232,8.048478981028342
233,3.0341716930393314
234001,4.528869306798669
234002,6.221319339344018
234003,3.6858709464694357
234004,4.972070969915701
234005,0.526546980197136
234006,3.4999644566197556
234951,0.5879435024625963
235001,0.6525550629962662
235002,1.1195106948788938
235003,3.050032943670465
235004,2.696510520050003
235005,0.5710615377393723
235551,2.0732275853633557
235951,0.05000758988788603
236,1.2466411124636876
237001,3.270331145452986e-05
237002,0.2972085451506826
238001,0.7289552910832969
238002,0.12106877947454928
238003,0.1167982890523799
238004,0.21934084379796437
238451,0.8258170272797033
239,12.035596316952956
240,10.834728645281691
241,7.987194814006759
242001,1.2346561099179103
242002,2.4775667993270845
242003,2.518267418499899
242004,0.9562643109374898
242251,8.958263956523933
243001,0.3114708292206563
243002,0.17706214093510814
243003,0.04765742539367765
243004,0.10707405786296469
244001,0.08618012751648439
244002,0.0719142288468521
244003,0.03459420698728784
244451,0.09421190421017167
245001,1.3656639709967628
245002,3.0071538622944316
245003,2.043621852169916
245004,0.19487892338134982
246001,0.00013540000708265349
246002,0.4073364064155836
246003,0.06595302580077808
246004,0.039145177724214636
246005,0.00023331100079052134
247001,2.173264621471602
247002,0.6971242456920639
247003,0.9216082097945767
247004,4.66044452253871
247005,4.526672373707556
247006,3.3169372649259325
247007,1.6201125024323397
247008,3.168154337775003
247009,4.222317916416726
247451,3.5325703609870676
248,0.008444082182847165
249001,0.10185986186806004
249002,0.04953842776506196
249351,0.17868940168128822
249451,0.0962313477711734
250,0.047570586985170124
