geocode,score_spatiotemporal
101,4830.404278240644
102,3248.037214886312
103,2783.3031520053223
104,2679.4133405208727
105,2165.877683651536
106,1920.2499170505464
107,2134.1218348778903
108,1478.0014797261215
109,2372.050342742266
110,2035.0359037603148
111,1596.1714734642126
112,1048.6521623081817
113,1232.7005232297442
114,1407.7290199817849
115,1553.6513886843125
116,662.6250266736806
117,765.4275559494849
118,1618.4723852241427
119,846.8232972709785
120,455.943082024201
121001,1120.4310979428126
121004,177.92505988222118
121005,708.3171191145539
121006,368.85123194995816
121008,626.8912307009481
121009,250.24147210635965
121011,96.90492179719888
121012,303.5314235238573
121013,519.8041958300984
121014,552.699742966534
121016,81.89796105137515
122,1865.7262967514653
123001,1068.437509581938
123002,498.5433428134806
123005,1089.182809621929
123006,1534.0197179223642
123008,307.6534130648567
123010,383.9945416509268
123011,524.0871342391905
123012,495.0289732939238
123013,479.8351954573464
123015,278.0227373678582
124001,1604.1520343683496
124002,1255.5533476730498
124003,1336.0250684113842
124006,902.7972015711658
124008,1054.4602999833185
124009,1189.375279608072
124012,1049.993431359162
124013,745.3105688731279
124015,457.9649045869794
124018,135.3315826016771
124021,336.2332841100882
124023,414.9906342733386
125,1350.2259940185493
126001,15.28354924410216
126002,52.28676878505164
126003,13.16327156832634
126004,28.81964156278054
126005,118.57371354714012
126006,151.59476712516658
126007,105.76354896809342
126008,71.30491418783896
126009,72.62581864808197
126011,164.2008460826662
127,553.0580276807397
128,736.4823234551328
129001,6.292916246419571
129002,99.43068554095296
129003,398.1641988704181
129004,185.787978162663
129005,492.3048242513441
129007,878.1566386592565
129008,787.857837242711
129009,772.9037151557892
129010,920.5060193350832
129011,781.1733530542502
129012,550.1559173637658
130,837.1484767298648
131001,179.10296762329725
131002,144.0076907112658
131004,190.8617086014576
131005,68.24657245853508
131008,76.32796204923045
131012,167.0466493468898
131013,267.4584306627584
131014,171.94151685659068
131017,435.9151015850406
131019,609.1813418135378
131020,16.16929103062897
132001,260.27012006826044
132002,97.72374630336336
132003,16.864358225412847
132004,520.7109169722155
132005,719.8040865445944
132007,740.2914629103307
132008,342.38247778775934
132009,587.7141727103259
132011,1365.520004186881
132013,721.0080248581953
132014,96.63191801211856
133001,108.13543404552878
133002,71.99583591503377
133003,61.51417211190248
133004,47.07407997655981
133005,51.39313142537618
133006,35.316459456046445
133007,35.316459456046445
133008,42.82917744914197
133009,40.755197581564566
133010,66.26706687218979
133011,69.93262684407587
133012,365.81042200846827
133013,155.52476769763882
134001,284.9887939395757
134002,82.70101296356182
134003,87.18247738761865
134004,91.77430140044083
134005,58.81662758691675
134006,56.38815535020812
134007,59.97206912780623
135,291.939550300543
136001,45.65194442610798
136003,325.3523389288697
136004,73.14883717362879
136007,107.90333576202438
136010,55.24945035188904
136012,278.7882092948849
136014,137.78282086162434
136015,88.35043010495859
137001,58.64869562241672
137002,122.02943342873932
137003,182.6341582354546
137004,443.9320958457105
137006,146.31696866404823
137007,582.0035824066063
137008,104.96372579160524
137011,91.30053577088196
137012,108.10730583581513
138001,128.3837024279211
138002,173.61894135465826
138003,114.95028832609825
138004,185.14927936276632
138005,51.34144276390831
139001,596.7740685836391
139002,455.15114170708586
139003,796.9589403854134
139004,364.98136781543417
139005,540.3877988328023
139007,864.1766985317445
139008,387.0239809111343
139009,149.05998738397187
139012,212.02063214483888
140001,268.0774310819888
140002,692.1774849816458
140003,815.2798629468399
140004,572.6872635305289
140005,794.1642501079192
140006,738.6158529484109
140009,595.7858157553358
140010,1170.2511705255472
140012,239.47566412790684
140014,361.4713718664256
140015,371.3600122325594
140101,1021.5064771059252
140801,299.7628725499516
140802,299.7628725499516
141001,297.53389929571625
141002,297.53389929571625
141003,93.18857509193202
141004,153.86316198644926
141006,273.17789730083405
141008,335.88720159430994
141009,390.76185230450193
141010,570.0939556406215
141011,761.8193270462928
141012,435.4031393311017
142,981.375794925041
143,1931.055644312552
144,1011.0302711642664
145,3497.9491100097134
146,2094.3213106159687
147,3464.7505426136263
148,1693.4380560858594
149,1615.7594939770725
150,1452.452800162413
151,2266.1841433867485
152,678.9572576795612
153,420.1650507357859
154001,223.24922892537083
154002,568.9264389188941
154004,467.05707886600703
154006,994.6289905002928
154007,1523.834091408331
154008,1244.0250567841122
154010,1610.0256504175609
154011,569.5788415123286
154013,224.1553265050441
154014,538.4274686170246
155001,235.0858710297931
155004,174.3322237072152
155008,651.743230354151
155009,1072.7497888594403
155011,1169.2635143923358
155013,957.8216488971308
155015,684.67774619993
155016,957.8216488971308
155017,
155018,483.6185911715768
155019,85.48333911593734
156,1056.0803888804162
157,841.6192087122898
