geocode,tot_area,pc_urb_fabric,pc_comm,pc_road,pc_urban,pc_urb_fabric_urban,pc_comm_urban,pc_road_urban
1,789777.8995052568,0.4653450598814569,0.12977439791502857,0.31478924299238753,0.981653885364118,0.4740418866766362,0.13219974967744588,0.32067233439984294
2,941650.6683224337,0.27183616114559267,0.26586130876923464,0.2802102177462904,0.8395633265460899,0.32378279583019587,0.3166661767647369,0.3337570959644669
3,637936.0994011228,0.5442983795902624,0.2029381684655314,0.17574099767970341,0.9470882211693813,0.5747071576058782,0.21427588679643925,0.18555926866318098
4,1305357.7737186467,0.49202944143305455,0.2083113578824108,0.1760454963235538,0.9727640107222941,0.5058055561365948,0.2141437754545792,0.18097451630929165
5,1034506.2797755047,0.5364585434145821,0.22271966134437332,0.15502013472438,0.9469816516793155,0.5664930703390731,0.23518899331303497,0.16369919570192032
6,1986914.2889182218,0.31453799616703704,0.27383784849145665,0.12105349968273252,0.8356107767590915,0.3764168736393871,0.32770980952822815,0.14486828443289992
7,4658765.908856617,0.12949155312393065,0.36254144637966135,0.09566557441294504,0.6637727639210765,0.1950841615720879,0.5461830706009022,0.1441239828037292
8,1503736.2502703168,0.6123960711781447,0.10417563155669914,0.15685236765558966,0.9610288935839897,0.6372296142879953,0.1084001035267465,0.16321295717825518
9,849977.5160804437,0.767327416333285,0.050895907542541766,0.1520697757527802,1.0000000000000544,0.7673274163332433,0.050895907542539,0.15206977575277192
10,1161279.587458713,0.5860785730383192,0.07330449548957746,0.11939229273970207,0.9999999999999751,0.5860785730383339,0.07330449548957928,0.11939229273970503
11,1078193.6607370656,0.723801567694863,0.07978831847848107,0.14091093787990153,0.9700622760546368,0.7461392794683797,0.08225071776112151,0.1452596821443297
12,1955277.9826906228,0.42085091457899265,0.17548883615002014,0.1425968038277389,0.8738732755539226,0.4815926134281056,0.20081725927455893,0.16317789754738865
13,1123064.695798282,0.7361173309215322,0.05407313765176145,0.13941216194696784,1.0000000000000004,0.7361173309215319,0.05407313765176143,0.1394121619469678
14,2288718.7450789064,0.5104837899643109,0.23345838762656715,0.1530212488293889,0.9875113163157547,0.5169396861889578,0.23641084792583716,0.1549564509298855
