geocode,tot_area,pc_urb_fabric,pc_comm,pc_road,pc_urban,pc_urb_fabric_urban,pc_comm_urban,pc_road_urban
001,327472.7859184863,0.7648198054646803,0.04905523140756622,0.12710422923391726,1.0000000000000169,0.7648198054646674,0.049055231407565396,0.12710422923391512
002,806482.4407140398,0.7098270783089052,0.0903914814643329,0.19977268364056158,0.9999912434137997,0.7098332940253321,0.0903922729920632,0.1997744329826046
003,1037460.7924182484,0.6933025013263268,0.05138848702561917,0.1820962417879988,0.9644987619086,0.7188215565506625,0.053279992733146674,0.18879883415055643
004,623313.9258388325,0.7047460898945159,0.021898408551611823,0.2203882530010257,0.9950905510710052,0.7082230749111277,0.022006448084591703,0.2214755760305675
005,2952915.7411692743,0.6368340052639992,0.04844653763617657,0.0892098418261729,0.9950482466400918,0.6400031429775903,0.048687626755549315,0.08965378525855544
006001,2715469.9182238597,0.836763239477706,0.006783842543141125,0.06888587537426755,0.9957298785201003,0.8403516430794887,0.006812934601524245,0.06918128787764098
006005,2458269.08255115,0.5202239767733079,0.015280135476370712,0.06331960537815219,0.649133987124739,0.8014123233287745,0.023539262739965653,0.09754473904319627
006009,4543698.840991328,0.6706368497884336,0.0,0.042569875766001006,0.7723001647872572,0.8683629505286609,0.0,0.05512089431928009
006011,587457.3294707007,0.8479468979088124,0.015617071891073999,0.08810034163656354,0.9881643877435298,0.8581030731588055,0.015804123367302816,0.08915555218270958
007,2145391.4044682775,0.5486647849943408,0.18648338898112282,0.07610794852130605,0.8975409142820173,0.6112977985334986,0.2077714631319054,0.08479607704812896
008,509063.24665459985,0.7985719834566253,0.015389546161343526,0.1474775785113142,0.9967767376846566,0.8011543139656053,0.015439311111022548,0.14795447459365837
009,1317714.5563358527,0.722612954103076,0.09581380884545053,0.1494401472424425,0.9852876163468532,0.7334030613135127,0.09724450734568144,0.15167159798122817
010,1820955.722187768,0.5068015089676919,0.1321183386057978,0.13600360495093206,0.8610705205629082,0.5885714315668132,0.1534349805860593,0.15794711548366833
011,1060315.9513742218,0.6210553590392888,0.1939406913290106,0.13613851942585467,0.9646258357389882,0.6438303184814719,0.20105276485823642,0.1411309073238336
012,624883.1821216496,0.46179208524124365,0.32151213498977554,0.12254789745473335,1.0000000000000118,0.46179208524123827,0.32151213498977177,0.12254789745473191
013,517817.45464760537,0.44412896278780206,0.20083652007590702,0.14608356272743134,0.967595737105932,0.459002603831417,0.20756242754500634,0.15097582298612192
014,5234860.790931942,0.18244061452676694,0.573759188226756,0.09972606571684685,0.8876005419544191,0.2055436042491013,0.6464159958300479,0.11235466970001927
015,2849205.7871077238,0.3753235832508465,0.026462309454449613,0.051014381137899474,0.66043933535557,0.5682938055904534,0.04006773678948533,0.07724309926275688
016001,5973663.743596227,0.4241998838569807,0.0569335399329171,0.03926483723345587,0.5724835636442253,0.7409817692523366,0.09945008651514567,0.06858683764387921
016006,205859.58484934916,0.5371496610769089,1.5346206428669848e-05,0.04807632383621133,0.611531637022555,0.8783677385722847,2.5094705653149778e-05,0.0786162496355657
016007,61421524.32394837,0.041426560373927154,0.01730142199595304,0.012636560682621952,0.09201516399763109,0.45021449263508,0.18802794283340585,0.1373312846885463
017,8389640.492146479,0.5915905435747238,0.011323148603829698,0.04054000542751146,0.683099300529166,0.8660388659693335,0.016576138483904417,0.059347162844562956
018,3422511.2439139336,0.3750386479742424,0.05275546384925094,0.05288698927101966,0.5025757595134344,0.7462330621304414,0.10497017186090675,0.10523187453812312
019,9986248.475948067,0.09553397353434698,0.2243332779659914,0.05566867173015044,0.5327551315846459,0.1793206069178298,0.42108140244229364,0.10449204227196753
020001,346031.2643899216,0.6092419342643692,0.21120784971628562,0.10831693539130197,0.9287667193719568,0.6559687395736423,0.22740678074587656,0.1166244796804812
020002,359536.17606508353,0.018377500327231,0.7711134734443077,0.1478366113610099,0.9534560987652339,0.019274616158028297,0.8087561393156248,0.1550534015697887
020003,1523509.9505287136,0.11165840032825125,0.5258760110615089,0.16409630790809962,0.9612837425543819,0.11615550683458532,0.5470559708667486,0.17070538140180433
020007,37389733.633386016,0.023738697541820467,0.07521504736015343,0.031996668869593535,0.19098535370638597,0.12429590584373024,0.3938262589276157,0.16753467346393516
