geocode,tot_area,pc_urb_fabric,pc_comm,pc_road,pc_urban,pc_urb_fabric_urban,pc_comm_urban,pc_road_urban
1,1692496.8518466055,0.6050739963086843,0.1903110522915312,0.17921894544020137,1.000000000000001,0.6050739963086836,0.19031105229153097,0.17921894544020117
2,1606891.1179587692,0.35504958429201294,0.19605073317385024,0.15145266791997586,0.9941370220631653,0.3571435088044169,0.19720695318939002,0.15234586838508554
3,1920394.7136737218,0.585317889068299,0.16651868336557601,0.15793350662502026,1.0000000000000089,0.5853178890682939,0.16651868336557454,0.15793350662501887
4,1311004.6436005465,0.4876097235520687,0.17634637297551237,0.14648565314063464,0.9285704548946392,0.5251187144516629,0.18991167772565154,0.1577539457221431
5,1970556.2409483017,0.5840899507474955,0.10600434552239689,0.14987609217222356,0.9936788608874849,0.5878055514090608,0.10667867627547312,0.15082950646485993
6,3205956.3028827817,0.2579692391630773,0.23060658151557836,0.1513338139593854,0.8491673813478221,0.30379080123593694,0.27156787528691123,0.17821435123801405
7,3253227.6997854034,0.3000850159027459,0.1334438133101647,0.14994365391102313,0.9713827348926254,0.30892562233558396,0.13737511334800007,0.15436104485385732
8,2158744.7409282504,0.498495663830027,0.18417756007787933,0.19145611797018788,0.9966265527685274,0.5001830048028086,0.18480097642015733,0.19210417125486193
9,2430767.486980614,0.5525264517490469,0.05605157159286493,0.23419653861017267,0.9789473266405789,0.5644087651223623,0.057256984178316574,0.23923303352168823
10,1646993.5321805808,0.6645448193854103,0.1311814287592082,0.18764984908662674,0.9999999999999984,0.6645448193854113,0.1311814287592084,0.18764984908662702
11,1298445.0585101498,0.6970238762771798,0.13483281697695274,0.16394220465958617,1.0000000000000013,0.6970238762771789,0.13483281697695257,0.16394220465958598
12,3926573.7617124035,0.44037479784714073,0.15192151494843312,0.16005037089803428,0.8640891313051579,0.5096404779238219,0.17581694925263583,0.1852243768606223
13,2569513.5139552075,0.6008576055603899,0.15034885510399798,0.17290686023245916,1.0000000000000009,0.6008576055603894,0.15034885510399784,0.172906860232459
14,2637679.392452954,0.6466714379061788,0.07813452869133962,0.189490549676679,0.9999999999999991,0.6466714379061793,0.07813452869133969,0.18949054967667917
15,2164878.749226386,0.4827429013702055,0.05541573721348283,0.18918600708240443,0.9728550154385153,0.4962125843105292,0.05696196898209353,0.19446474971106428
16,1318830.3385280985,0.7480192290836909,0.04785010176297319,0.1804898399636737,0.9999999999999976,0.7480192290836928,0.04785010176297331,0.18048983996367415
17,1891952.0140891061,0.6946575381608252,0.0850558444939239,0.18266328169165566,1.0000000000000016,0.6946575381608242,0.08505584449392377,0.18266328169165538
18,2157436.240163313,0.6022620764361304,0.1661846599015177,0.13972089990820938,0.9999999999999984,0.6022620764361314,0.16618465990151798,0.13972089990820957
19,977819.8350746487,0.5027491616876029,0.3175581532442648,0.15146806439216703,0.9833162111003653,0.5112792365387824,0.32294611810467977,0.15403800189836084
20,1548865.316024314,0.730821276646231,0.0855984715051781,0.1755386993032976,1.000000000000002,0.7308212766462294,0.08559847150517792,0.1755386993032972
22,7516778.987519348,0.27312973509714933,0.1649630272260769,0.11622989565806481,0.7643745160063462,0.35732449130326804,0.21581439957988774,0.15205883140287715
26,3550219.526799934,0.5136289108711873,0.06575190000502491,0.16799779933483003,0.9902391445760813,0.5186917864078888,0.06640002101025114,0.1696537652091601
27,4026065.6798355333,0.4705677197417264,0.14506161096800765,0.14001555503465446,0.9742983441559767,0.48298113464348924,0.14888828646596217,0.14370911730938873
29,3676203.7091276613,0.4920491644649373,0.10764898429678853,0.1565426113718959,0.99103772084353,0.4964989264446217,0.10862248936918587,0.15795827755037756
30,4767152.703807125,0.4562372653018918,0.14522000011741137,0.1371704504370642,0.9751299720716793,0.46787328701691777,0.1489237376314966,0.14066888965133884
31,5621993.734030997,0.23066644057617847,0.20288901190065892,0.16257642394155364,0.8857017933831635,0.26043352548162885,0.2290714701227743,0.18355661595823536
32,3623535.1046754555,0.4119166336120603,0.11905436713049859,0.16252957402511659,0.9858924875699447,0.4178109061641842,0.1207579615744381,0.16485527182149853
33,2184431.435207139,0.387289462864735,0.166431289594202,0.1766035960177842,0.9694507633004156,0.39949369016559416,0.17167585595332385,0.18216871109219795
34,1941766.671974733,0.23321339459756707,0.2029730952619966,0.1843339403831029,0.9767585706395033,0.2387625781925595,0.20780272767824917,0.1887200644294483
35,4659840.712059362,0.5374258849809225,0.09379530120821893,0.24029174086997762,0.9982646908380178,0.5383601062056668,0.09395834799033126,0.24070944617730472
36,5922725.072061428,0.1430315020009599,0.12415273572452361,0.17508846346826615,0.7627936856218778,0.18751007604939932,0.16276057086564164,0.2295358060358391
37,4310982.472102941,0.3321598716886552,0.21195490854488053,0.24577332216953957,0.970161507642597,0.3423758508990663,0.2184738385054169,0.2533323784065048
38,1821470.9011954782,0.6074763443468696,0.07743548062835844,0.17202566696684912,0.999999999999998,0.6074763443468708,0.07743548062835859,0.17202566696684946
39,4266645.3251482025,0.3223889502278046,0.10665339499746762,0.18430836015033975,0.976455640653393,0.3301624127155216,0.10922502831372939,0.1887524148327007
40,3283840.0295858043,0.6073553626355781,0.06339983661238544,0.22633324704198007,1.0000000000000016,0.6073553626355771,0.06339983661238534,0.2263332470419797
41,2676912.679337716,0.6471047524102708,0.08715316831081547,0.19634173183106077,0.9999999999999993,0.6471047524102712,0.08715316831081553,0.1963417318310609
42,5563795.12448268,0.397228003532628,0.08363892034151656,0.1644727717827352,0.9647763974283915,0.4117306399611744,0.08669254405938602,0.17047760726852032
45,4793501.778098501,0.18266415306029896,0.3543361222545499,0.11131450216663484,0.8654288368976827,0.21106779121793331,0.40943415235011643,0.12862351867735977
46,3129482.078947467,0.44842189109367275,0.15162132386167032,0.18886971755925094,0.9637246289864888,0.46530085213787714,0.1573284725753294,0.19597892580360612
49,7493907.027280486,0.28611863853531294,0.21943603168664289,0.15765232070174448,0.8614497302465257,0.33213619842150605,0.2547287717228093,0.18300814913091712
51,1045215.8560699774,0.41614537779718097,0.08558632634701464,0.16453690249113034,0.9571362380762167,0.4347817596307991,0.08941916828793124,0.17190541528532982
52,5261426.386113749,0.22485315730343164,0.09393455740371873,0.18144027454767384,0.9067550211838836,0.2479756406640653,0.10359419601677558,0.20009845030775847
