geocode,tot_area,pc_urb_fabric,pc_comm,pc_road,pc_urban,pc_urb_fabric_urban,pc_comm_urban,pc_road_urban
34246,14049999.36896299,0.29518598640337523,0.07243629180391566,0.051699082543347596,0.47315698478735413,0.6238647972956323,0.1530914561822857,0.10926412206845507
34225,38335846.17987584,0.1614761725174814,0.1156729839585162,0.047536502783039024,0.3697602592232251,0.43670505006866595,0.31283238550707576,0.12856033496650363
34117,2484638.1087568183,0.6638762912663034,0.11850032420831999,0.12077354412045989,0.9460618065350682,0.7017261310841166,0.12525642974883952,0.12765925364093333
34130,3740748.211926312,0.5437355955139073,0.006573756956783792,0.060471758827497016,0.6885701329975351,0.7896589896324384,0.009546967900228872,0.08782222162940298
34119,2174119.909567626,0.6292435313526159,0.09900477429187914,0.09698841764857759,0.9200167167983629,0.6839479325358011,0.10761192974450885,0.10542027756418933
34121,6695090.334362082,0.35132694148969923,0.12250632259897781,0.06713320874545281,0.9417204441422494,0.3730692517880926,0.13008778067949953,0.07128783192829587
34127,7645915.741326406,0.2979250686338148,0.30649416914932903,0.05461613200167963,0.8379393381786114,0.35554491245320957,0.3657713096696722,0.06517910010096446
34134,11004982.545745991,0.2832677577204348,0.09626590569639265,0.05967670295518255,0.5421758138819436,0.5224647622922463,0.17755477694059243,0.1100689138600655
34132,14286064.498987753,0.20701008877710747,0.035046898878878574,0.026481413401734315,0.3209289492780766,0.6450340152945773,0.10920454187045416,0.08251487895156774
34131,16498262.55018992,0.14577815903397415,0.05829822475449464,0.027588861351618334,0.4102160152161784,0.35536925333632086,0.14211591598580628,0.06725447161559348
34128,15468150.463719176,0.2581988008441013,0.027455446340944573,0.033615311716542286,0.3760418817339555,0.6866224571942054,0.0730116715041037,0.08939246756648417
34125,11945196.096062172,0.30514633761913684,0.07728829278364169,0.05133736740966035,0.5258094237922074,0.5803363800868782,0.14698917380793264,0.09763493213835621
34123,16158227.636289641,0.22998596200311397,0.37892183130475166,0.07334028527771189,0.850438323680338,0.2704322648676412,0.44556062533134433,0.08623821767618149
