geocode,tot_area,pc_urb_fabric,pc_comm,pc_road,pc_urban,pc_urb_fabric_urban,pc_comm_urban,pc_road_urban
1,327472.7859184863,0.7648198054646803,0.04905523140756622,0.12710422923391726,1.0000000000000169,0.7648198054646674,0.049055231407565396,0.12710422923391512
2,806482.4407140398,0.7098270783089052,0.0903914814643329,0.19977268364056158,0.9999912434137997,0.7098332940253321,0.0903922729920632,0.1997744329826046
3,1037460.7924182484,0.6933025013263268,0.05138848702561917,0.1820962417879988,0.9644987619086,0.7188215565506625,0.053279992733146674,0.18879883415055643
4,623313.9258388325,0.7047460898945159,0.021898408551611823,0.2203882530010257,0.9950905510710052,0.7082230749111277,0.022006448084591703,0.2214755760305675
5,2952915.7411692743,0.6368340052639992,0.04844653763617657,0.0892098418261729,0.9950482466400918,0.6400031429775903,0.048687626755549315,0.08965378525855544
6,10304895.220275093,0.6886397449626015,0.00632305005816109,0.05704997646198006,0.8141008838471449,0.8458899365252379,0.007766912164842093,0.07007728107649584
7,2145391.4044682775,0.5486647849943408,0.18648338898112282,0.07610794852130605,0.8975409142820173,0.6112977985334986,0.2077714631319054,0.08479607704812896
8,509063.24665459985,0.7985719834566253,0.015389546161343526,0.1474775785113142,0.9967767376846566,0.8011543139656053,0.015439311111022548,0.14795447459365837
9,1317714.5563358527,0.722612954103076,0.09581380884545053,0.1494401472424425,0.9852876163468532,0.7334030613135127,0.09724450734568144,0.15167159798122817
10,1820955.722187768,0.5068015089676919,0.1321183386057978,0.13600360495093206,0.8610705205629082,0.5885714315668132,0.1534349805860593,0.15794711548366833
11,1060315.9513742218,0.6210553590392888,0.1939406913290106,0.13613851942585467,0.9646258357389882,0.6438303184814719,0.20105276485823642,0.1411309073238336
12,624883.1821216496,0.46179208524124365,0.32151213498977554,0.12254789745473335,1.0000000000000118,0.46179208524123827,0.32151213498977177,0.12254789745473191
13,517817.45464760537,0.44412896278780206,0.20083652007590702,0.14608356272743134,0.967595737105932,0.459002603831417,0.20756242754500634,0.15097582298612192
14,5234860.790931942,0.18244061452676694,0.573759188226756,0.09972606571684685,0.8876005419544191,0.2055436042491013,0.6464159958300479,0.11235466970001927
15,2849205.7871077238,0.3753235832508465,0.026462309454449613,0.051014381137899474,0.66043933535557,0.5682938055904534,0.04006773678948533,0.07724309926275688
16,67601047.87894528,0.07676045743288379,0.020750931212351425,0.01509753074534772,0.1360544851283118,0.5641890993927299,0.152519273383611,0.1109667993018339
17,8389640.492146479,0.5915905435747238,0.011323148603829698,0.04054000542751146,0.683099300529166,0.8660388659693335,0.016576138483904417,0.059347162844562956
18,3422511.2439139336,0.3750386479742424,0.05275546384925094,0.05288698927101966,0.5025757595134344,0.7462330621304414,0.10497017186090675,0.10523187453812312
19,9986248.475948067,0.09553397353434698,0.2243332779659914,0.05566867173015044,0.5327551315846459,0.1793206069178298,0.42108140244229364,0.10449204227196753
20,39618811.18366511,0.03218472126705993,0.10004781849916543,0.03879427505865646,0.23396969705774828,0.13755935777920897,0.42761015532054847,0.1658089724716841
